datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt
2007-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,360000.0,51000.0,0.0,0.0,1283000.0,0.0,2224000.0,-1934000.0,7000.0,0.0,0.0,7000.0,-3182000.0,-3176000.0,9.0,0.0,0.0,0.0,136000.0,0.0,76000.0,3779000.0,-3242000.0,-3242000.0,-3242000.0,0.0,0.0,0.0,0.0,1286000.0,1279000.0,0.0,0.0,25000.0,0.0,2300000.0,-900000.0,0.0,0.0,0.0,3630000.0,516000.0,2351000.0,3106000.0,1561000.0,0.0,2069000.0,0.0,0.0,0.0,0.0,1553000.0
2009-01-26,3360000.0,569000.0,0.0,0.0,3386000.0,0.0,23949000.0,-1187000.0,7000.0,554000.0,0.0,14000.0,-2251000.0,-2236000.0,14.0,0.0,0.0,0.0,313000.0,0.0,-356000.0,1753000.0,30674000.0,30674000.0,30674000.0,1395000.0,554000.0,1395000.0,0.0,673000.0,651000.0,0.0,0.0,25000.0,0.0,2251000.0,33594000.0,0.0,0.0,0.0,40867000.0,6534000.0,25962000.0,152000.0,34257000.0,0.0,6610000.0,0.0,0.0,0.0,0.0,76000.0
2010-02-23,381940.0,383180.0,0.0,0.0,2928980.0,0.0,14731380.0,-7947780.0,540740.0,554000.0,0.0,23760.0,-4642000.0,-4618000.0,23.0,0.0,0.0,0.0,313000.0,0.0,667960.0,-189990.0,-3974390.0,-3974390.0,-3974390.0,1395000.0,554000.0,1395000.0,0.0,3539660.0,3497950.0,0.0,0.0,553760.0,0.0,2216800.0,-2438570.0,0.0,0.0,0.0,31088650.0,937540.0,15292690.0,76490.0,30151100.0,0.0,937540.0,0.0,0.0,0.0,0.0,76000.0
2011-01-25,452240.0,225380.0,0.0,0.0,3039190.0,0.0,10119880.0,-1876880.0,540740.0,554000.0,0.0,41170.0,-1958000.0,-1917000.0,26.0,0.0,0.0,0.0,313000.0,0.0,1204950.0,282100.0,-6184080.0,-6184080.0,-6184080.0,1395000.0,554000.0,1395000.0,0.0,6454660.0,6371770.0,0.0,0.0,553760.0,0.0,2261840.0,-5127190.0,0.0,0.0,0.0,25280490.0,727800.0,10527720.0,76490.0,24552690.0,0.0,727800.0,0.0,0.0,0.0,0.0,76000.0
2012-02-03,437730.0,8552050.0,0.0,0.0,3347170.0,0.0,554870.0,-2098570.0,132300.0,554000.0,0.0,41370.0,-1958000.0,-3257000.0,24.0,0.0,0.0,0.0,313000.0,0.0,839210.0,708510.0,71760.0,71760.0,71760.0,1395000.0,554000.0,1395000.0,0.0,6859180.0,6772930.0,0.0,0.0,148310.0,0.0,2574920.0,1801470.0,0.0,0.0,0.0,24011870.0,734080.0,9372990.0,76490.0,23277790.0,0.0,734080.0,0.0,0.0,0.0,0.0,76000.0
2013-02-18,553670.0,105140.0,0.0,0.0,3642800.0,0.0,1969780.0,-1610340.0,269100.0,554000.0,0.0,36350.0,-1713000.0,-1677000.0,21.0,0.0,0.0,0.0,313000.0,0.0,761830.0,6245660.0,-10841140.0,-10841140.0,-10841140.0,1395000.0,554000.0,1395000.0,0.0,9393880.0,9292890.0,0.0,0.0,309710.0,0.0,1753220.0,-9886490.0,0.0,0.0,0.0,18968240.0,996390.0,2632140.0,76490.0,17971850.0,0.0,996390.0,0.0,0.0,0.0,0.0,76000.0
2014-03-05,553670.0,105140.0,0.0,0.0,3642800.0,0.0,1969780.0,-1610340.0,269100.0,554000.0,0.0,36350.0,-1318000.0,-1289000.0,21.0,0.0,0.0,0.0,313000.0,0.0,761830.0,6245660.0,-10841140.0,-10841140.0,-10841140.0,1395000.0,554000.0,1395000.0,0.0,9393880.0,9292890.0,0.0,0.0,309710.0,0.0,1753220.0,-9886490.0,0.0,0.0,0.0,18968240.0,996390.0,2632140.0,76490.0,17971850.0,0.0,996390.0,0.0,0.0,0.0,0.0,76000.0
2014-03-06,89300.0,70200.0,0.0,0.0,3011380.0,0.0,2431170.0,-2131370.0,246360.0,554000.0,0.0,29380.0,-1318000.0,-1289000.0,20.0,0.0,0.0,0.0,2450.0,0.0,-11660.0,5618240.0,-1437340.0,-1437340.0,-1437340.0,1395000.0,554000.0,1395000.0,0.0,12374200.0,12274890.0,0.0,0.0,276950.0,0.0,1348790.0,-9886490.0,0.0,0.0,0.0,23937500.0,538540.0,3507640.0,76490.0,23398960.0,0.0,538540.0,0.0,0.0,0.0,0.0,76000.0
2015-03-31,90210.0,26710.0,0.0,0.0,1296550.0,0.0,612620.0,-1313040.0,223030.0,554000.0,0.0,10160.0,-1561000.0,-1289000.0,19.0,0.0,0.0,0.0,2450.0,0.0,-11660.0,791030.0,-15298900.0,-15298900.0,-15298900.0,1395000.0,554000.0,1395000.0,0.0,13651090.0,7450.0,0.0,0.0,226160.0,0.0,1563820.0,-13553820.0,0.0,0.0,0.0,9694640.0,553030.0,836940.0,76490.0,9141610.0,0.0,553030.0,0.0,0.0,0.0,0.0,76000.0
