datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc,count
2003-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2004-11-19,,32000.0,,,8000.0,,3113000.0,-219000.0,,,,3000.0,,,6.0,,,,,329000.0,,2595000.0,-537000.0,-537000.0,-539000.0,,18000.0,,,11000.0,8000.0,,,,,431000.0,-192000.0,,,,3505000.0,95000.0,3168000.0,50000.0,3412000.0,,95000.0,,,,,,,,2
2005-01-27,,32000.0,,,8000.0,,3113000.0,-219000.0,,,,3000.0,-430000.0,-428000.0,6.0,,,,,329000.0,,2595000.0,-537000.0,-537000.0,-539000.0,,18000.0,,,11000.0,8000.0,,,,,431000.0,-192000.0,,,,3505000.0,95000.0,3168000.0,50000.0,3412000.0,,95000.0,,,,,,,,2
2005-10-27,,176000.0,,,25000.0,,4635000.0,-629000.0,,,,8000.0,-430000.0,-428000.0,7.0,,,,,909000.0,,4766000.0,-301000.0,-301000.0,-335000.0,,25000.0,,,36000.0,25000.0,,,,,559000.0,-192000.0,,,,8664000.0,1374000.0,4830000.0,1274000.0,7334000.0,,1374000.0,,,,,,,,2
2005-10-28,,176000.0,,,25000.0,,4635000.0,-629000.0,,,,8000.0,-558000.0,-551000.0,7.0,,,,,909000.0,,4766000.0,-301000.0,-301000.0,-335000.0,,25000.0,,,36000.0,25000.0,,,,,559000.0,-192000.0,,,,8664000.0,1374000.0,4830000.0,1274000.0,7334000.0,,1374000.0,,,,,,,,2
2006-11-03,,533000.0,,,14000.0,,4668000.0,-592000.0,,,,10000.0,-827000.0,-448000.0,7.0,,,,,3969000.0,,264000.0,-617000.0,-617000.0,-738000.0,,64000.0,,,73000.0,52000.0,,,,,945000.0,-192000.0,,,,11846000.0,1656000.0,5205000.0,1500000.0,10286000.0,,1656000.0,,,,,,,,4
2007-09-17,,4597000.0,,,35000.0,,7495000.0,-1150000.0,,,,25000.0,-1889000.0,-1865000.0,8.0,,,,,5343000.0,,5423000.0,-1697000.0,-1697000.0,-1798000.0,,1214000.0,1999000.0,,92000.0,56000.0,,,,,1968000.0,-192000.0,,,,22994000.0,3338000.0,13204000.0,2026000.0,17077000.0,,3338000.0,,,,,,,,4
2008-09-26,,6614000.0,,,81000.0,,9234000.0,-8606000.0,,,,32000.0,-4797000.0,-4765000.0,9.0,3287000.0,,,,3287000.0,,11154000.0,-3331000.0,-3331000.0,-4076000.0,,287000.0,1311000.0,,3349000.0,3282000.0,,,,,4718000.0,-79000.0,,,,31622000.0,378000.0,15859000.0,2026000.0,29416000.0,,378000.0,,,,,,,,5
2009-09-29,504000.0,422000.0,,,4702000.0,,7641000.0,3849000.0,,,,34000.0,-811000.0,-778000.0,8.0,3287000.0,,,,40014000.0,,2000.0,-4201000.0,-4201000.0,-4777000.0,,915000.0,1311000.0,,169000.0,78000.0,,,,,2410000.0,-2929000.0,,,,48207000.0,1464000.0,8115000.0,2026000.0,37743000.0,,10464000.0,,,,,,,,6
2010-10-04,1260000.0,8312000.0,,,25000.0,,12997000.0,-9428000.0,458000.0,,,401000.0,-2396000.0,-2322000.0,10.0,3287000.0,,,,80706000.0,,23992000.0,-2228000.0,-2228000.0,-2228000.0,,1400000.0,1311000.0,,247000.0,112000.0,,,950000.0,,4503000.0,1615000.0,,,,102856000.0,3131000.0,22038000.0,2026000.0,83150000.0,682000.0,19706000.0,,,,,,,,7
