datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc
2002-12-31,,308000.0,,,1253000.0,,134000.0,-233000.0,425000.0,,,77000.0,,,,,,12000.0,578000.0,,,,-376000.0,-376000.0,-348000.0,,18000.0,,16000.0,9443000.0,9226000.0,,,1556000.0,,407000.0,-506000.0,,,,12239000.0,8303000.0,2645000.0,16113000.0,-240000.0,2162000.0,12481000.0,,,,,4162000.0,,
2003-12-31,,361000.0,,,213000.0,,209000.0,-139000.0,1672000.0,,,144000.0,,,10,,,4000.0,617000.0,,1000.0,,-317000.0,-317000.0,-370000.0,,15000.0,,13000.0,5271000.0,2472000.0,,,2502000.0,,791000.0,201000.0,,,,7032000.0,6864000.0,3713000.0,5450000.0,153000.0,3077000.0,6877000.0,,,,,4162000.0,,
2004-12-31,,361000.0,,,213000.0,,209000.0,-139000.0,1672000.0,,,144000.0,,,10,,,4000.0,617000.0,,1000.0,,-317000.0,-317000.0,-370000.0,,15000.0,,13000.0,5271000.0,2472000.0,,,2502000.0,,791000.0,201000.0,,,,7032000.0,6864000.0,3713000.0,5450000.0,153000.0,3077000.0,6877000.0,,,,,4162000.0,,
2005-06-16,,1917000.0,,,88000.0,,41000.0,-2509000.0,1367000.0,,,143000.0,,,7,,,4000.0,458000.0,,39000.0,,-794000.0,-794000.0,-807000.0,,15000.0,,13000.0,2992000.0,2988000.0,,,1662000.0,,737000.0,-1000.0,,-13000.0,-13000.0,10125000.0,5528000.0,6216000.0,7938000.0,3132000.0,4246000.0,6994000.0,,,,-13000.0,1466000.0,,
2006-03-21,,226000.0,,,2000.0,,8335000.0,3441000.0,1951000.0,,,18000.0,2428000.0,2445000.0,8,,362000.0,683000.0,213000.0,,24000.0,7189000.0,1664000.0,1664000.0,2421000.0,,756000.0,,13000.0,2964000.0,2963000.0,,,4853000.0,,673000.0,-1000.0,683000.0,74000.0,757000.0,14842000.0,1526000.0,11128000.0,2793000.0,11985000.0,2516000.0,2857000.0,,,,74000.0,1331000.0,,
2007-03-07,,226000.0,,,2000.0,,8335000.0,3441000.0,1951000.0,,,18000.0,-64000.0,468000.0,8,,362000.0,683000.0,213000.0,,24000.0,7189000.0,1664000.0,1664000.0,2421000.0,,756000.0,,13000.0,2964000.0,2963000.0,,,4853000.0,,673000.0,-1000.0,683000.0,74000.0,757000.0,14842000.0,1526000.0,11128000.0,2793000.0,11985000.0,2516000.0,2857000.0,,,,74000.0,1331000.0,,
2007-03-09,,892000.0,,,2000.0,,6811000.0,-1153000.0,188000.0,303000.0,,1000.0,-64000.0,468000.0,9,,434000.0,64000.0,131000.0,,439000.0,7189000.0,226000.0,226000.0,243000.0,,520000.0,,13000.0,3000.0,2000.0,,,1158000.0,,1035000.0,-1000.0,64000.0,29000.0,17000.0,13845000.0,817000.0,10383000.0,2516000.0,11274000.0,2559000.0,2570000.0,,,,-47000.0,1191000.0,303000.0,
2008-03-10,,644000.0,,,176000.0,,1735000.0,-4531000.0,188000.0,179000.0,,18000.0,31000.0,48000.0,8,,434000.0,40000.0,86000.0,,439000.0,7189000.0,291000.0,291000.0,230000.0,,219000.0,1000.0,13000.0,178000.0,159000.0,,,917000.0,,939000.0,-1000.0,42000.0,-103000.0,-61000.0,13214000.0,531000.0,10004000.0,2243000.0,11217000.0,7478000.0,1995000.0,,,,-103000.0,1052000.0,179000.0,
2009-04-27,,431000.0,,,176000.0,,18000.0,-2456050.0,142000.0,198000.0,,35530.0,-161000.0,-125000.0,8,,434000.0,40000.0,90000.0,,439000.0,7189000.0,-184000.0,-184000.0,-200000.0,,198000.0,1000.0,13000.0,178000.0,124000.0,,,860000.0,,900000.0,-1000.0,-17000.0,1000.0,-16000.0,13828000.0,1729000.0,10670000.0,3075000.0,10838000.0,10161000.0,2989000.0,,,,1000.0,852000.0,198000.0,
2009-12-31,,431000.0,,,176000.0,,18000.0,-2456050.0,142000.0,198000.0,,35530.0,-161000.0,-125000.0,8,,434000.0,40000.0,90000.0,,439000.0,7189000.0,-184000.0,-184000.0,-200000.0,,198000.0,1000.0,13000.0,178000.0,124000.0,,,860000.0,,900000.0,-1000.0,-17000.0,1000.0,-16000.0,13828000.0,1729000.0,10670000.0,3075000.0,10838000.0,10161000.0,2989000.0,,,,1000.0,852000.0,198000.0,
2010-03-12,,205480.0,,,176000.0,,44000.0,611460.0,974690.0,456740.0,,35440.0,-161000.0,-125000.0,7,,434000.0,40000.0,57690.0,,439000.0,7189000.0,-883350.0,-883350.0,-905220.0,,456740.0,6720.0,13000.0,177900.0,88290.0,,,854380.0,,1038210.0,-1000.0,-15060.0,-6810.0,-21870.0,12809110.0,1688180.0,9696880.0,2331220.0,10084080.0,9373410.0,2725030.0,,,,-6810.0,638580.0,456740.0,
2010-12-31,,205480.0,,,176000.0,,44000.0,611460.0,974690.0,456740.0,,35440.0,-161000.0,-125000.0,7,,434000.0,40000.0,57690.0,,439000.0,7189000.0,-883350.0,-883350.0,-905220.0,,456740.0,6720.0,13000.0,177900.0,88290.0,,,854380.0,,1038210.0,-1000.0,-15060.0,-6810.0,-21870.0,12809110.0,1688180.0,9696880.0,2331220.0,10084080.0,9373410.0,2725030.0,,,,-6810.0,638580.0,456740.0,
2011-12-31,,205480.0,,,176000.0,,44000.0,611460.0,974690.0,456740.0,,35440.0,-161000.0,-125000.0,7,,434000.0,40000.0,57690.0,,439000.0,7189000.0,-883350.0,-883350.0,-905220.0,,456740.0,6720.0,13000.0,177900.0,88290.0,,,854380.0,,1038210.0,-1000.0,-15060.0,-6810.0,-21870.0,12809110.0,1688180.0,9696880.0,2331220.0,10084080.0,9373410.0,2725030.0,,,,-6810.0,638580.0,456740.0,
2012-12-31,,205480.0,,,176000.0,,44000.0,611460.0,974690.0,456740.0,,35440.0,-161000.0,-125000.0,7,,434000.0,40000.0,57690.0,,439000.0,7189000.0,-883350.0,-883350.0,-905220.0,,456740.0,6720.0,13000.0,177900.0,88290.0,,,854380.0,,1038210.0,-1000.0,-15060.0,-6810.0,-21870.0,12809110.0,1688180.0,9696880.0,2331220.0,10084080.0,9373410.0,2725030.0,,,,-6810.0,638580.0,456740.0,
2013-12-31,,205480.0,,,176000.0,,44000.0,611460.0,974690.0,456740.0,,35440.0,-161000.0,-125000.0,7,,434000.0,40000.0,57690.0,,439000.0,7189000.0,-883350.0,-883350.0,-905220.0,,456740.0,6720.0,13000.0,177900.0,88290.0,,,854380.0,,1038210.0,-1000.0,-15060.0,-6810.0,-21870.0,12809110.0,1688180.0,9696880.0,2331220.0,10084080.0,9373410.0,2725030.0,,,,-6810.0,638580.0,456740.0,
2014-12-31,,205480.0,,,176000.0,,44000.0,611460.0,974690.0,456740.0,,35440.0,-161000.0,-125000.0,7,,434000.0,40000.0,57690.0,,439000.0,7189000.0,-883350.0,-883350.0,-905220.0,,456740.0,6720.0,13000.0,177900.0,88290.0,,,854380.0,,1038210.0,-1000.0,-15060.0,-6810.0,-21870.0,12809110.0,1688180.0,9696880.0,2331220.0,10084080.0,9373410.0,2725030.0,,,,-6810.0,638580.0,456740.0,
2015-12-31,,205480.0,,,176000.0,,44000.0,611460.0,974690.0,456740.0,,35440.0,-161000.0,-125000.0,7,,434000.0,40000.0,57690.0,,439000.0,7189000.0,-883350.0,-883350.0,-905220.0,,456740.0,6720.0,13000.0,177900.0,88290.0,,,854380.0,,1038210.0,-1000.0,-15060.0,-6810.0,-21870.0,12809110.0,1688180.0,9696880.0,2331220.0,10084080.0,9373410.0,2725030.0,,,,-6810.0,638580.0,456740.0,
2017-01-25,,464680.0,,,4000.0,,1260530.0,2468750.0,691980.0,456740.0,,3510.0,-161000.0,-125000.0,7,,434000.0,40000.0,86860.0,,13690.0,7189000.0,1221890.0,1221890.0,1491820.0,,456740.0,6720.0,438610.0,177900.0,11850.0,,,3141620.0,,884650.0,-1000.0,-15060.0,-6810.0,-21870.0,15110290.0,632990.0,11098430.0,2331220.0,14038690.0,9373230.0,1071600.0,,,,-6810.0,638580.0,456740.0,
2018-08-29,,677410.0,,,4000.0,,7853160.0,-58330.0,-1108410.0,456740.0,,1520.0,-161000.0,-125000.0,7,,434000.0,40000.0,81230.0,,2440.0,7189000.0,1430570.0,1430570.0,1764380.0,,456740.0,6720.0,385290.0,177900.0,2670.0,,,1465000.0,,730240.0,-1000.0,-15060.0,-6810.0,-21870.0,23319250.0,7826000.0,19316590.0,7000000.0,15107960.0,10786010.0,8211290.0,,,,-6810.0,638580.0,456740.0,
2019-05-10,,754910.0,,,14050.0,,8722620.0,-3313170.0,4892250.0,456740.0,,2930.0,-161000.0,-125000.0,7,,434000.0,40000.0,150060.0,,100560.0,7189000.0,3227750.0,3227750.0,3401810.0,,456740.0,6720.0,2620.0,177900.0,13790.0,,,8817320.0,,473770.0,466110.0,-15060.0,-6810.0,-21870.0,25362970.0,7386240.0,25349180.0,7000000.0,17974100.0,15871650.0,7388860.0,,,,-6810.0,638580.0,456740.0,
2020-05-27,,2254030.0,,,14050.0,,275300.0,846800.0,1126930.0,456740.0,,3950.0,-161000.0,-125000.0,7,,434000.0,40000.0,122360.0,,67620.0,7189000.0,1047560.0,1047560.0,1293800.0,,456740.0,6720.0,1870.0,177900.0,9840.0,,,3049550.0,,574080.0,466110.0,-15060.0,-6810.0,-21870.0,19006660.0,344870.0,18996820.0,7000000.0,18659910.0,16467490.0,346740.0,,,,-6810.0,638580.0,456740.0,
2021-06-07,,10982400.0,,,14050.0,,108060.0,8206130.0,10569920.0,456740.0,,2810.0,-161000.0,-125000.0,7,,434000.0,40000.0,23430.0,,61890.0,7189000.0,-874680.0,-874680.0,-1075700.0,,456740.0,6720.0,1340.0,177900.0,7030.0,,,9963610.0,,507850.0,466110.0,-15060.0,-6810.0,-21870.0,18165200.0,378640.0,18158180.0,7000000.0,17785230.0,7067720.0,379970.0,,,,-6810.0,638580.0,456740.0,
