datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt
2003-12-31,495715.014750859,3124965.36164777,,,145359.702679572,,2486417.30264433,5634720.41556644,1915255.73147647,,,320664.954965779,,,,,,,85469.2971693958,61614.088505154,3743.45877436975,-201507.35510318,5166824.02289404,5166824.02289404,5150603.77817074,,38649.2731426126,,416736.494405498,409454.726857387,202767.158697595,,349362.696260682,8066533.97886801,,1310733.66828188,,,,-16220.2447232955,5914412.47965464,1218282.92624571,5650031.23245189,359043.520345361,4279393.05900344,,1635019.4206512,,,,-16220.2447232955,
2004-12-31,941413.323169326,1580490.4703824674,,,547838.465515138,,5889308.55894356,10300842.0751793,2252224.64562008,,,176923.980937457,,,,,,,76231.0641837385,214763.353078352,62008.6344753718,-201507.35510318,10269553.2952127,9832648.22659544,9850852.42776957,,103211.558943558,,1042.4410564421,358633.646921648,253858.779763277,,415856.946893176,15041379.883184,,2504810.58718495,,,,18204.2011741258,14676878.1765392,1283366.4997085,14198873.3674499,1042.4410564421,13392990.1029326,,1284408.94076494,,,,18204.2011741258,
2006-02-15,2268883.13439657,2569270.453758624,,,589032.337276075,,10469980.5375863,19507820.6246108,2588641.9146805,,,240816.933180715,19504668.5218766,19724443.8393897,235,152227.528931197,22697674.0144686,,28787.17829953,806455.815034513,163312.855870896,-201507.35510318,19746422.7591376,19746422.7591376,19758601.8970388,,695480.781775773,,47643.3785860595,853518.579500112,542672.638724115,,565227.158337181,26349231.2025717,,3519246.64971169,,12179.1379012302,,12179.1379012302,14469141.2182242,2964363.91617234,13085151.1517067,1042.4410564421,11457133.2355344,,3012007.98268983,,,,18204.2011741258,
2007-02-28,2892096.03578733,3694122.612211502,,,3391453.18969135,,51774896.3469471,38973270.3394782,4962146.47676858,1438645.6429448,,682583.981051029,34244787.2532388,34927664.5547778,292,133756.091790818,17976848.1090511,202676.729681582,54198.7503991766,2223314.229477048,1803587.84787744,393344.38532334,32419501.4181391,32419501.4181391,32604636.2438078,,1646937.47957931,,23483.7448436943,2151331.05094945,1539217.69894829,,840887.023871419,48337866.1391642,,11503036.0202162,,69760.7144798828,,185134.825668703,59443417.2602103,5904164.03578734,55616048.5305288,1042.4410564421,53515769.4795793,,5927647.78063103,,,,115374.11118882021,
2008-03-04,2650251.0,8592658.41454519,,,4229952.51032169,,61154793.9337661,33609815.3802611,11367394.0672551,19968079.3867532,,3742953.20518302,37061341.2637822,37993883.2408182,546,8545799.51922095,18580542.8630826,459007.386753228,70338.3273761762,30913716.198701553,1173197.57961923,2827484.08813568,22286449.4747246,22286449.4747246,22734250.8023196,,35929543.8675323,,52400.5470129112,4007622.67948063,2567115.93376614,,1559788.6114961,55628335.2944051,,18857599.7202568,,277594.189364651,,447801.327595011,103949293.867532,40196145.2264935,70264401.9337661,1042.4410564421,63700748.0940258,,40248545.7735065,,,,170207.13823036,
2009-03-19,5260116.3528606,11717711.95538223,,,10944558.9522092,,30187371.9545435,65696024.4055856,11367394.0672551,3203472.02303574,17332389.2033939,5650037.7685523,66219390.2447056,67740468.8078973,751,10322404.9286423,38609865.6714332,99391.7334116101,315377.615632994,41173025.5657595,3753949.315776971,137529488.349338,38887971.3870368,38887971.3870368,39616206.9722257,,7073059.79787814,619286.954333879,30293453.5161656,7940826.08574104,4609291.63696342,,1559788.6114961,106511622.006961,,40655997.4140702,,728235.585188913,,728235.585188913,267254814.246376,16955847.444123,42472763.6180652,1042.4410564421,220005513.286088,,47249300.9602885,,,,170207.13823036,
2010-03-17,7709197.96140411,12576299.37582317,,,12139394.6057378,,52058133.883067,62643990.8377713,11367394.0672551,3049471.22487545,13067263.3568115,7779209.07060643,76115457.4427166,83985945.6563548,817,19233558.2660482,38904907.5187539,963317.413960946,82418.14121285,58010850.5984081,79759.49149630597,3071626.63917998,61601800.1488862,61601800.1488862,62335587.4706522,886.216572181183,17098662.5436637,422725.3049304242,20290814.6366604,12321069.003035,7439788.12346103,,1559788.6114961,101715507.072095,,51689467.7890397,,1191961.28958369,-458173.967817672,733787.32176602,289956769.1691,28484773.0630476,66592971.8834106,1042.4410564421,239204032.296856,,50752736.8722442,,,,-458173.96781766997,
2011-01-25,10633760.9524447,16369131.375827748,,,12932025.4163601,,58799552.6988161,60889429.7505184,11367394.0672551,3124953.62183132,9835371.31964417,14655723.7642967,76115457.4427166,83985945.6563548,1122,31416760.684904,39514241.0159855,1285484.48933182,363606.019664237,86085440.2782422,-209244.97358036198,5254278.49642164,55458493.6124674,55458493.6124674,57467759.8956592,886.216572181183,38332993.1108287,2773353.46130694,15346918.2262056,18335519.5906628,11041960.1631998,,1559788.6114961,122025837.174771,,83170589.1913584,-1545325.58357301,1444990.90361849,-240974.74416427,2009266.28319176,329400469.413417,55155774.4498696,78267910.8554612,1042.4410564421,257225532.071433,,72174937.3419838,,,,564275.37957327,
2011-03-10,10633760.9524447,16369131.375827748,,,12932025.4163601,,58799552.6988161,60889429.7505184,11367394.0672551,3124953.62183132,9835371.31964417,14655723.7642967,73896049.1545527,88579033.4592999,1122,31416760.684904,39514241.0159855,1285484.48933182,363606.019664237,86085440.2782422,-209244.97358036198,5254278.49642164,55458493.6124674,55458493.6124674,57467759.8956592,886.216572181183,38332993.1108287,2773353.46130694,15346918.2262056,18335519.5906628,11041960.1631998,,1559788.6114961,122025837.174771,,83170589.1913584,-1545325.58357301,1444990.90361849,-240974.74416427,2009266.28319176,329400469.413417,55155774.4498696,78267910.8554612,1042.4410564421,257225532.071433,,72174937.3419838,,,,564275.37957327,
2012-03-15,9891052.03883495,32337990.52427179,,,18484684.6990291,,139106355.961165,61962816.3106796,11367394.0672551,4154741.82524272,7432038.17475728,24279324.6213592,93418848.549862,104494592.430764,2255,137258137.475728,39905511.9467961,1530738.21359223,988271.922330097,304315256.582524,-4666376.699029132,98158067.1456311,64742643.5728155,64742643.5728155,65548426.8349515,886.216572181183,66759184.9320389,2349853.98058252,135890722.446602,29235683.3009709,17955550.9126214,,1559788.6114961,172893423.106796,,105155132.349515,-2397351.02912621,1554903.37864078,-281649.165048544,797450.446601942,650743729.592233,100109612.543689,179987982.252427,34397029.2427184,398924377.592233,,251860182.7961165,,,,-757452.932038838,11454288.2330097
2013-03-14,9891052.03883495,32337990.52427179,,,18484684.6990291,,139106355.961165,61962816.3106796,11367394.0672551,4154741.82524272,7432038.17475728,24279324.6213592,146263027.555625,161015921.663481,2255,137258137.475728,39905511.9467961,1530738.21359223,988271.922330097,304315256.582524,-4666376.699029132,98158067.1456311,64742643.5728155,64742643.5728155,65548426.8349515,886.216572181183,66759184.9320389,2349853.98058252,135890722.446602,29235683.3009709,17955550.9126214,,1559788.6114961,172893423.106796,,105155132.349515,-2397351.02912621,1554903.37864078,-281649.165048544,797450.446601942,650743729.592233,100109612.543689,179987982.252427,34397029.2427184,398924377.592233,,251860182.7961165,,,,-757452.932038838,11454288.2330097
2013-04-09,11478544.3054676,46622959.87703187,,,20352535.6238125,,103410821.062909,91578291.3763985,11367394.0672551,2986954.62581803,7381731.84504961,35531688.5687144,146263027.555625,161015921.663481,2813,147948839.521321,36372809.795229,1579943.92548026,2526611.25184716,302338426.81285596,-35815039.25216377,1142333.55763141,70435783.7898459,70435783.7898459,72282840.5372599,886.216572181183,90047872.9285413,4201546.66719443,42111270.0548871,33527124.5645978,16484677.0107663,,1559788.6114961,257779299.134473,,151245937.30209,-402698.965590036,2891963.13595102,-1186175.78372388,1705787.35222715,636896830.338294,147710954.850116,158501013.827317,81570897.3242558,417353635.60798,,219441708.0958417,,,,-1186175.7837238698,25371658.6183238
2014-02-20,13026803.9008165,42390453.583308116,,,30951838.8267312,,442701289.839734,166069956.758391,11367394.0672551,3936019.20169338,5864593.89174479,48802154.9742969,115764852.874604,131349787.234043,3261,163723787.118234,156940990.763532,1427958.8751134,993759.752041125,326372454.036891,-343706.38040520996,483181.433323254,405621680.97974,405621680.97974,407845809.948594,886.216572181183,64848427.7290596,5065102.96341095,18521124.7354097,43056280.9192622,18127605.8361052,,1559788.6114961,304857596.915634,,177202224.523738,281674020.411249,2757122.9210765,-683261.717568793,2073861.20350771,884979173.268824,97598498.4880556,494144338.524342,81570897.3242558,764639599.485939,,120339573.782885,,,,-683261.7175687898,25371658.6183238
