datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt
2004-08-02,,607000.0,,,117000.0,,4258000.0,-1448000.0,454000.0,,,,,,104.0,,,,335000.0,,21000.0,,-2005000.0,-2005000.0,-2005000.0,,,,-2161000.0,42576000.0,39141000.0,17000,,839000.0,,403000.0,-1137000.0,,,,44585000.0,7731000.0,6064000.0,83829000.0,-1545000.0,,46130000.0,1700000.0,,1700000.0,,40560000.0
2005-07-15,,4989000.0,,,2979000.0,,16766000.0,-1737000.0,12943000.0,,,2626000.0,,,171.0,,,,8606000.0,,-820000.0,460000.0,-3678000.0,-3678000.0,-3166000.0,,3241000.0,,3466000.0,223479000.0,193370000.0,21000,,23169000.0,,2152000.0,725000.0,,510000.0,512000.0,220234000.0,22960000.0,26864000.0,397137000.0,-4523000.0,,224757000.0,2125000.0,,2125000.0,512000.0,198331000.0
2005-10-31,,6076000.0,,,2979000.0,43787000.0,13572000.0,18590000.0,18183000.0,,,-5351000.0,,,396.0,,,,20625000.0,,399000.0,44000.0,78579000.0,78579000.0,104689000.0,,8232000.0,18105000.0,2723000.0,1735000.0,1531000.0,21000,,52926000.0,,7752000.0,95544000.0,,26124000.0,26110000.0,482375000.0,39839000.0,25298000.0,543202000.0,89634000.0,137000.0,392741000.0,2125000.0,,2125000.0,26110000.0,267744000.0
2006-10-31,,6076000.0,,,2979000.0,43787000.0,13572000.0,18590000.0,18183000.0,,,-5351000.0,,,396.0,,,,20625000.0,,399000.0,44000.0,78579000.0,78579000.0,104689000.0,,8232000.0,18105000.0,2723000.0,1735000.0,1531000.0,21000,,52926000.0,,7752000.0,95544000.0,,26124000.0,26110000.0,482375000.0,39839000.0,25298000.0,543202000.0,89634000.0,137000.0,392741000.0,2125000.0,,2125000.0,26110000.0,267744000.0
2007-07-10,,5758000.0,,,17000.0,41882000.0,12527000.0,-35000.0,21853000.0,,,103000.0,,,438.0,,,,25067000.0,,-3926000.0,75000.0,45137000.0,45137000.0,60986000.0,,8568000.0,10303000.0,2244000.0,1637000.0,1408000.0,21000,,64313000.0,,9008000.0,56630000.0,13000.0,15836000.0,15849000.0,567391000.0,50547000.0,28468000.0,566602000.0,136518000.0,172000.0,430873000.0,2125000.0,,2125000.0,15836000.0,276468000.0
2008-01-22,,7099000.0,,,198000.0,55453000.0,18583000.0,25877000.0,23469000.0,,,123000.0,40602000.0,40725000.0,464.0,,8418000.0,,20387000.0,,1381000.0,29243000.0,78185000.0,78185000.0,103618000.0,3009000.0,8084000.0,11416000.0,1735000.0,1806000.0,1477000.0,21000,,74303000.0,,9474000.0,82022000.0,76000.0,25925000.0,25433000.0,723456000.0,53890000.0,34574000.0,603958000.0,247943000.0,252000.0,475513000.0,2125000.0,,2125000.0,25357000.0,295839000.0
2009-01-20,,6144000.0,,,357000.0,64608000.0,12704000.0,21595000.0,25640000.0,,,143000.0,45002000.0,45145000.0,494.0,,8724000.0,,22589000.0,,827000.0,29243000.0,12513000.0,12513000.0,14927000.0,190000.0,12505000.0,5685000.0,1442000.0,2155000.0,76910000.0,21000,,82875000.0,,12233000.0,-8313000.0,24000.0,2390000.0,2414000.0,777496000.0,56023000.0,25952000.0,695920000.0,255826000.0,258000.0,521670000.0,2125000.0,,2125000.0,2390000.0,341135000.0
2010-01-29,,7980000.0,,,215000.0,61653000.0,26352000.0,24997000.0,26606000.0,,,168000.0,47219000.0,45736000.0,486.0,,8812000.0,,21978000.0,,344000.0,29243000.0,-265000.0,-265000.0,-9418000.0,190000.0,21986000.0,11449000.0,1005000.0,2318000.0,73693000.0,21000,,84433000.0,,10608000.0,-32957000.0,15000.0,-9168000.0,-9153000.0,784880000.0,57470000.0,40319000.0,727892000.0,248595000.0,228000.0,536285000.0,2125000.0,,2125000.0,-9168000.0,357553000.0
2011-01-18,,9490000.0,,,227000.0,59125000.0,15481000.0,27761000.0,28951000.0,,,168000.0,48444000.0,49178000.0,495.0,,9375000.0,,22834000.0,,290000.0,29243000.0,26340000.0,26340000.0,29221000.0,72000.0,10057000.0,8797000.0,5701000.0,2541000.0,70924000.0,21000,,89214000.0,,11085000.0,-10602000.0,17000.0,2864000.0,2881000.0,816237000.0,49154000.0,32050000.0,747277000.0,270189000.0,253000.0,546048000.0,2125000.0,,2125000.0,2864000.0,368636000.0
2012-01-26,,8805000.0,,,1612000.0,52494000.0,14674000.0,25649000.0,31222000.0,,,168000.0,48362000.0,50512000.0,521.0,,9936000.0,365000.0,23435000.0,,212000.0,29243000.0,13028000.0,13028000.0,8547000.0,6000.0,5270000.0,7115000.0,6693000.0,3551000.0,65390000.0,21000,,95060000.0,,13326000.0,-3562000.0,17000.0,-4846000.0,-4481000.0,833062000.0,55323000.0,31940000.0,778937000.0,275159000.0,242000.0,557903000.0,2125000.0,,2125000.0,-4481000.0,379377000.0
