datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
1996-03-26,,,,,,,,18705123.88,,,,,,
1997-03-17,,,,,,,,29423957.14,,,,,,
1998-05-19,,,,,,,,51435559.4,,,,,,
1999-07-07,,,,,,,,44589043.98,,,,,,
2000-01-03,,,,,,12856705.4,34619.2,113313587.2,,,,,,
2001-05-02,,,,,,12826038.72,635464564.02,201269323.2,,,,,,
2002-02-13,,,,,,12245364.26,-2580975.63,217812198.91,,,,,,
2003-02-03,,,,11310321.33,,76981693.14,-64778141.34,199116527.94,,,,,,
2004-02-04,,,,26438136.0,,49973118.21,-11449057.2,222399616.5,,22433206.5,38675296.11,,,
2005-02-02,,,,17268632.56,,43851838.75,-416589079.87,250040187.25,,15802300.05,48397313.15,,,
2006-02-06,,,,19819173.22,71547964.84,48878307.5,16944286.26,-61654356.28,,-1646610.68,19110909.84,,,
2007-03-01,,,,9628917.72,61401261.44,48878307.5,21319825.72,375447128.92,,4667173.84,15844498.72,,,
