datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2001-07-31,,,,2066000.0,,453000.0,7645000.0,8013000.0,,3564000.0,3535000.0,,,
2002-03-20,,,,735000.0,,429000.0,7645000.0,12000.0,,181000.0,160000.0,,,
2003-03-07,,,,717000.0,,405000.0,-5874000.0,-641000.0,,-133000.0,-151000.0,,,
2004-03-10,,,,1256000.0,,381000.0,-11733000.0,1338000.0,,666000.0,653000.0,,,
2005-03-15,,,,1256000.0,,381000.0,97000.0,4274000.0,,1889000.0,1954000.0,,,
2006-03-15,,,,1256000.0,,381000.0,1086000.0,8537000.0,,3410000.0,3387000.0,,,
2007-04-17,,,,1256000.0,,381000.0,18842000.0,12850000.0,,6483000.0,5968000.0,,,
2008-03-17,,,,1256000.0,,381000.0,-940000.0,8799000.0,,3413000.0,3231000.0,,,
2009-03-16,,,,1256000.0,,381000.0,-7622000.0,40000.0,,-1700000.0,-1635000.0,,,
2010-03-09,,,,1256000.0,,381000.0,-3286000.0,71747000.0,,2149000.0,2108000.0,,,
2011-03-22,,,,1256000.0,,381000.0,-2935000.0,5507000.0,,1610000.0,1977000.0,,,
2012-04-04,,,,1256000.0,,381000.0,-780000.0,-1088000.0,,-75000.0,189000.0,,,
2013-03-19,,,,1256000.0,,381000.0,-780000.0,1987000.0,,566000.0,494000.0,,,
2014-03-17,,,,1256000.0,,381000.0,1004000.0,3398000.0,,1146000.0,1100000.0,,,
2015-03-31,,,,1256000.0,,381000.0,-88000.0,5208000.0,,1861000.0,1804000.0,,,
2016-03-22,,,,1256000.0,,381000.0,-10047000.0,6445000.0,,864000.0,1002000.0,,,
2017-03-29,,,,1256000.0,,381000.0,-10047000.0,1302000.0,,1208000.0,554000.0,,,
2018-03-26,,,,1256000.0,,381000.0,-718000.0,2826000.0,,1176000.0,912000.0,,,
2019-03-21,,,,1256000.0,,381000.0,-718000.0,2727000.0,,405000.0,485000.0,,,
2020-10-09,,,9237000.0,1256000.0,,381000.0,-718000.0,1048000.0,,191000.0,-1107000.0,,,
2021-04-21,,,7772000.0,1256000.0,,381000.0,-718000.0,7225000.0,,2300000.0,1966000.0,,,
2022-03-18,,,6592000.0,1256000.0,,381000.0,-718000.0,13254000.0,,2340000.0,2800000.0,,,
2023-03-16,,,5408000.0,1256000.0,,381000.0,-718000.0,3085000.0,,2340000.0,2800000.0,,,
