datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt
1996-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-27,,1561000.0,,,250000.0,,2288000.0,2699000.0,3798000.0,,,49000.0,,,,,4686000.0,,,,,,14242000.0,14242000.0,15211000.0,739000.0,3529000.0,739000.0,,357000.0,276000.0,,,17467000.0,,678000.0,,,,,127176000.0,12342000.0,4588000.0,56820000.0,90709000.0,,36388000.0,50000,,50000.0,,24046000.0
1998-03-31,,2082000.0,,,61000.0,,2664000.0,6516000.0,4134000.0,,,87000.0,,,,,4940000.0,100000.0,,,,,47901000.0,47901000.0,49196000.0,5244000.0,11323000.0,5244000.0,,371000.0,241000.0,,,49700000.0,,865000.0,,,,,176656000.0,18035000.0,9990000.0,54838000.0,134340000.0,,42167000.0,50000,,50000.0,,24132000.0
1999-05-26,,2404000.0,,,74000.0,,3667000.0,4219000.0,5556000.0,,,94000.0,,,,,5283000.0,100000.0,,,,,9428000.0,9428000.0,9615000.0,115000.0,4168000.0,115000.0,,430000.0,221000.0,,,14308000.0,,956000.0,-129000.0,,,,179437000.0,15282000.0,6186000.0,60430000.0,139049000.0,,40003000.0,50000,,50000.0,,24721000.0
2001-05-24,,2217000.0,,,87000.0,,4408000.0,5767000.0,5052000.0,,,112000.0,,,,,5529000.0,181000.0,,,,,-1860000.0,-1860000.0,-1238000.0,115000.0,4468000.0,115000.0,,488000.0,175000.0,,,-1882000.0,,934000.0,-443000.0,,,,179828000.0,7418000.0,6625000.0,77350000.0,134302000.0,,44678000.0,50000,,50000.0,,37260000.0
2002-01-11,,2308000.0,,,87000.0,,629000.0,4994000.0,3791000.0,,,112000.0,,,,,5633000.0,181000.0,,,,,-2586000.0,-2586000.0,-2715000.0,115000.0,4946000.0,115000.0,,488000.0,175000.0,,,1511000.0,,353000.0,-82000.0,,,,175845000.0,11247000.0,2937000.0,83213000.0,126081000.0,,49764000.0,50000,,50000.0,,38517000.0
2002-05-23,,2146000.0,,,87000.0,,1511000.0,5106000.0,3530000.0,,,112000.0,,,,,5713000.0,181000.0,,,,117000.0,-11551000.0,-11551000.0,-11639000.0,1546000.0,3626000.0,1546000.0,,488000.0,175000.0,,,-7800000.0,,309000.0,-82000.0,,,,161768000.0,13626000.0,5203000.0,88420000.0,108932000.0,,52836000.0,50000,,50000.0,,39210000.0
2003-05-22,,2063000.0,,,87000.0,,368000.0,5319000.0,4160000.0,,,112000.0,,,,,5713000.0,181000.0,,,,117000.0,-51921000.0,-51921000.0,-52027000.0,1546000.0,3358000.0,1546000.0,,488000.0,175000.0,,,-47631000.0,,236000.0,-82000.0,,,,79512000.0,4106000.0,2431000.0,48968000.0,51296000.0,,28216000.0,50000,,50000.0,,24110000.0
2004-05-20,,1865000.0,,,87000.0,,937000.0,5712000.0,2540000.0,,,112000.0,,,,,5713000.0,181000.0,,,,117000.0,22567000.0,22567000.0,22537000.0,343000.0,6206000.0,343000.0,,488000.0,175000.0,,,25457000.0,,380000.0,-82000.0,,,,100901000.0,7856000.0,3145000.0,51444000.0,68148000.0,,32753000.0,50000,,50000.0,,24897000.0
2005-05-20,409000.0,1800000.0,,,87000.0,,1123000.0,4588000.0,2851000.0,,,112000.0,,,,,5713000.0,181000.0,,,,117000.0,15614000.0,15614000.0,15614000.0,343000.0,753000.0,343000.0,,488000.0,175000.0,,,18864000.0,,401000.0,-82000.0,,,,119035000.0,12267000.0,2923000.0,62537000.0,81052000.0,,37983000.0,50000,,50000.0,,25716000.0
