datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc,count
2000-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2002-03-06,,5000.0,,,,,1269000.0,39000.0,,,,,,,,,,26000.0,,,,3475000.0,-147000.0,-147000.0,-121000.0,,26000.0,,,,,,,96000.0,,121000.0,,,,,3313000.0,57000.0,1274000.0,,3256000.0,,57000.0,,,,,,,,2
2003-02-27,,30000.0,,,,,2379000.0,-173000.0,,,,,,,,,,114000.0,,,,3475000.0,351000.0,351000.0,424000.0,,114000.0,,,,,,,73000.0,,213000.0,,,,,4451000.0,137000.0,2409000.0,,4314000.0,,137000.0,,,,,,,,3
2004-03-03,,12000.0,,,,,2991000.0,-161000.0,,,,,,,,,,372000.0,,,8000.0,17000.0,303000.0,303000.0,407000.0,,372000.0,,,,,,,139000.0,,288000.0,,,,,7537000.0,422000.0,3003000.0,,7116000.0,,422000.0,,,,,,,,4
2004-10-22,,12000.0,,,,,2991000.0,-161000.0,,,,,260000.0,,,,,372000.0,,,8000.0,17000.0,303000.0,303000.0,407000.0,,372000.0,,,,,,,139000.0,,288000.0,,,,,7537000.0,422000.0,3003000.0,,7116000.0,,422000.0,,,,,,,,4
2005-02-24,,12000.0,,,,,3732000.0,-477000.0,,,,,260000.0,,,,,412000.0,,,8000.0,-375000.0,215000.0,215000.0,150000.0,,412000.0,,,,,,,135000.0,,333000.0,,,,,9477000.0,446000.0,3744000.0,,9030000.0,,446000.0,,,,,,,,5
2005-05-13,,12000.0,,,,,3732000.0,-477000.0,,,,,-330000.0,,,,,412000.0,,,8000.0,-375000.0,215000.0,215000.0,150000.0,,412000.0,,,,,,,135000.0,,333000.0,,,,,9477000.0,446000.0,3744000.0,,9030000.0,,446000.0,,,,,,,,5
2006-06-01,,12000.0,,,,,4457000.0,-530000.0,,,,,-400000.0,,,,,656000.0,,,25000.0,-637000.0,1531000.0,1531000.0,2187000.0,,659000.0,,,,,,,228000.0,,400000.0,,,,,10299000.0,719000.0,4467000.0,,9581000.0,,719000.0,,,,,,,,6
2007-06-27,,12000.0,,,,,4457000.0,-530000.0,,,,,-493000.0,,,,,656000.0,,,25000.0,-637000.0,1531000.0,1531000.0,2187000.0,,659000.0,,,,,,,228000.0,,400000.0,,,,,10299000.0,719000.0,4467000.0,,9581000.0,,719000.0,,,,,,,,7
2007-06-28,,107000.0,,,,,4215000.0,49000.0,,,,,-493000.0,,,,,155000.0,,,25000.0,-290000.0,228000.0,228000.0,385000.0,,171000.0,,,,,,,182000.0,,493000.0,,,,157000.0,9435000.0,303000.0,4332000.0,,8187000.0,,1248000.0,,,,157000.0,,,,7
