datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt
2002-12-31,63000.0,72000.0,0.0,0.0,3000.0,0.0,32000.0,-304000.0,0.0,0.0,0.0,13000.0,0.0,0.0,6,7000.0,0.0,0.0,0.0,22000.0,2000.0,77000.0,-308000.0,-308000.0,-308000.0,0.0,5000.0,0.0,0.0,68000.0,14000.0,0.0,0.0,93000.0,0.0,284000.0,0.0,0.0,0.0,0.0,146000.0,113000.0,110000.0,0.0,33000.0,0.0,113000.0,0.0,0.0,0.0,0.0,0.0
2003-12-31,202000.0,186000.0,0.0,0.0,1000.0,0.0,20000.0,-150000.0,0.0,0.0,0.0,12000.0,0.0,0.0,9,7000.0,0.0,0.0,1000.0,23000.0,1000.0,139000.0,-253000.0,-253000.0,-253000.0,0.0,4000.0,0.0,0.0,68000.0,5000.0,0.0,0.0,372000.0,0.0,364000.0,0.0,0.0,0.0,0.0,242000.0,320000.0,214000.0,0.0,-78000.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0
2004-12-31,202000.0,186000.0,0.0,0.0,1000.0,0.0,20000.0,-150000.0,0.0,0.0,0.0,12000.0,0.0,0.0,9,7000.0,0.0,0.0,1000.0,23000.0,1000.0,139000.0,-253000.0,-253000.0,-253000.0,0.0,4000.0,0.0,0.0,68000.0,5000.0,0.0,0.0,372000.0,0.0,364000.0,0.0,0.0,0.0,0.0,242000.0,320000.0,214000.0,0.0,-78000.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0
2005-05-13,67000.0,618000.0,0.0,0.0,7000.0,0.0,70000.0,-477000.0,0.0,0.0,0.0,3000.0,0.0,0.0,12,7000.0,0.0,14000.0,1000.0,24000.0,10000.0,525000.0,20000.0,20000.0,34000.0,0.0,33000.0,0.0,0.0,73000.0,9000.0,0.0,0.0,1069000.0,0.0,567000.0,0.0,0.0,0.0,14000.0,762000.0,295000.0,729000.0,0.0,467000.0,0.0,295000.0,0.0,0.0,0.0,14000.0,0.0
2006-02-16,67000.0,618000.0,0.0,0.0,7000.0,0.0,70000.0,-477000.0,0.0,0.0,0.0,3000.0,643000.0,0.0,12,7000.0,0.0,14000.0,1000.0,24000.0,10000.0,525000.0,20000.0,20000.0,34000.0,0.0,33000.0,0.0,0.0,73000.0,9000.0,0.0,0.0,1069000.0,0.0,567000.0,0.0,0.0,0.0,14000.0,762000.0,295000.0,729000.0,0.0,467000.0,0.0,295000.0,0.0,0.0,0.0,14000.0,0.0
2006-04-04,397000.0,1323000.0,0.0,0.0,483000.0,0.0,2968000.0,413000.0,0.0,0.0,0.0,3000.0,643000.0,0.0,29,1953000.0,0.0,91000.0,12000.0,2555000.0,127000.0,525000.0,283000.0,283000.0,430000.0,0.0,91000.0,295000.0,0.0,155000.0,70000.0,0.0,0.0,2155000.0,0.0,1050000.0,0.0,46000.0,101000.0,147000.0,7211000.0,1148000.0,4291000.0,0.0,6063000.0,0.0,1148000.0,0.0,0.0,0.0,101000.0,0.0
2007-04-02,767000.0,3019000.0,0.0,0.0,1216000.0,0.0,3605000.0,1801000.0,0.0,0.0,0.0,508000.0,2134000.0,2663000.0,68,1953000.0,270000.0,535000.0,2000.0,3106000.0,106000.0,525000.0,1448000.0,1448000.0,2238000.0,0.0,606000.0,21000.0,0.0,347000.0,202000.0,0.0,0.0,8392000.0,0.0,3482000.0,0.0,417000.0,274000.0,790000.0,9953000.0,2468000.0,6624000.0,0.0,7485000.0,0.0,2468000.0,0.0,0.0,0.0,373000.0,0.0
2008-04-07,1159000.0,4161000.0,0.0,0.0,2824000.0,0.0,4219000.0,3413000.0,0.0,0.0,0.0,1050000.0,3034000.0,4084000.0,120,1953000.0,404000.0,91000.0,3000.0,4648000.0,155000.0,18000.0,2370000.0,2370000.0,3186000.0,0.0,301000.0,21000.0,0.0,689000.0,436000.0,0.0,0.0,12462000.0,0.0,5078000.0,-5000.0,435000.0,330000.0,816000.0,13464000.0,3138000.0,8380000.0,0.0,10017000.0,0.0,3447000.0,0.0,0.0,0.0,381000.0,0.0
2009-04-15,2194000.0,8462000.0,0.0,0.0,4001000.0,0.0,2478000.0,4965000.0,0.0,0.0,0.0,2172000.0,4732000.0,6904000.0,210,6266000.0,601000.0,469000.0,130000.0,13569000.0,128000.0,561000.0,3494000.0,3494000.0,4730000.0,0.0,1411000.0,21000.0,474000.0,2257000.0,883000.0,0.0,0.0,21728000.0,0.0,9578000.0,-541000.0,558000.0,553000.0,1236000.0,26147000.0,8595000.0,11695000.0,1470000.0,16216000.0,0.0,9931000.0,0.0,0.0,0.0,678000.0,0.0
2010-03-29,3752000.0,18748000.0,0.0,0.0,5240000.0,0.0,12093000.0,12156000.0,0.0,0.0,0.0,6158000.0,4732000.0,8547000.0,479,16742000.0,1054000.0,907000.0,216000.0,32357000.0,66000.0,27329000.0,1579000.0,1579000.0,2239000.0,0.0,1653000.0,21000.0,266000.0,12213000.0,2279000.0,0.0,0.0,49516000.0,0.0,22374000.0,-5503000.0,59000.0,-852000.0,660000.0,65961000.0,21270000.0,30841000.0,1136000.0,44320000.0,0.0,21641000.0,0.0,0.0,0.0,601000.0,0.0
