datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt
2005-07-31,,19000.0,,,,,245000.0,172000.0,,,,,,,2.0,,,26000.0,,,3000.0,,111000.0,111000.0,137000.0,,26000.0,,,,,,,216000.0,,82000.0,,26000.0,,26000.0,264000.0,126000.0,264000.0,15000.0,138000.0,,126000.0,,,,,
2006-07-31,,289000.0,,,8000.0,,259000.0,15000.0,,,,1000.0,,,3.0,,,46000.0,,,7000.0,,215000.0,215000.0,261000.0,,46000.0,,,8000.0,7000.0,,,500000.0,,246000.0,,46000.0,,46000.0,559000.0,206000.0,552000.0,29000.0,353000.0,,206000.0,,,,,
2007-07-31,,289000.0,,,8000.0,,259000.0,15000.0,,,,1000.0,,,3.0,,,46000.0,,,7000.0,,215000.0,215000.0,261000.0,,46000.0,,,8000.0,7000.0,,,500000.0,,246000.0,,46000.0,,46000.0,559000.0,206000.0,552000.0,29000.0,353000.0,,206000.0,,,,,
2007-11-27,,146000.0,,,4000.0,,715000.0,502000.0,,,,3000.0,,,5.0,,,90000.0,,,15000.0,3000.0,330000.0,330000.0,422000.0,,90000.0,,,12000.0,8000.0,,,742000.0,,335000.0,,90000.0,2000.0,92000.0,887000.0,239000.0,879000.0,40000.0,646000.0,,241000.0,,,,2000.0,
2008-12-05,,403000.0,,,3000.0,,1898000.0,-398000.0,,,,5000.0,300000.0,305000.0,8.0,,,109000.0,,,93000.0,1644000.0,299000.0,299000.0,393000.0,,109000.0,18000.0,,15000.0,6000.0,,,805000.0,,505000.0,,112000.0,-18000.0,94000.0,3003000.0,411000.0,2979000.0,40000.0,2592000.0,,411000.0,,,,-18000.0,
2009-07-31,,403000.0,,,3000.0,,1898000.0,-398000.0,,,,5000.0,300000.0,305000.0,8.0,,,109000.0,,,93000.0,1644000.0,299000.0,299000.0,393000.0,,109000.0,18000.0,,15000.0,6000.0,,,805000.0,,505000.0,,112000.0,-18000.0,94000.0,3003000.0,411000.0,2979000.0,40000.0,2592000.0,,411000.0,,,,-18000.0,
2009-11-25,,675000.0,,,6000.0,,2986000.0,1579000.0,,,,4000.0,300000.0,305000.0,26.0,815000.0,,346000.0,,1892000.0,63000.0,181000.0,511000.0,511000.0,729000.0,,861000.0,18000.0,,21000.0,8000.0,,,2311000.0,,1645000.0,,235000.0,-14000.0,218000.0,5615000.0,1349000.0,3715000.0,40000.0,3995000.0,,1620000.0,,,,-17000.0,
2010-07-31,,675000.0,,,6000.0,,2986000.0,1579000.0,,,,4000.0,300000.0,305000.0,26.0,815000.0,,346000.0,,1892000.0,63000.0,181000.0,511000.0,511000.0,729000.0,,861000.0,18000.0,,21000.0,8000.0,,,2311000.0,,1645000.0,,235000.0,-14000.0,218000.0,5615000.0,1349000.0,3715000.0,40000.0,3995000.0,,1620000.0,,,,-17000.0,
2010-11-26,,1011000.0,,,9000.0,,2546000.0,214000.0,,,,84000.0,300000.0,305000.0,36.0,850000.0,,201000.0,,2351000.0,11000.0,181000.0,486000.0,486000.0,584000.0,,368000.0,18000.0,,30000.0,11000.0,,,2647000.0,,2074000.0,-24000.0,174000.0,-38000.0,98000.0,5962000.0,908000.0,3600000.0,40000.0,4692000.0,,1270000.0,,,,-76000.0,
2011-11-07,,1917000.0,,,453000.0,,4690000.0,1701000.0,472000.0,,,135000.0,1107000.0,1242000.0,44.0,1121000.0,,540000.0,,4470000.0,17000.0,1950000.0,907000.0,907000.0,1115000.0,,1540000.0,18000.0,,555000.0,474000.0,,,4083000.0,,2513000.0,8000.0,272000.0,-42000.0,208000.0,11750000.0,3277000.0,6806000.0,40000.0,7656000.0,134000.0,4094000.0,,,,-64000.0,
