datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc
1985-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,,,,,458766409.043869,,,773435645.680619,3192266060.74855,,,415695134.619218,,,,,,,,,,22786837.2273298,118280859.983174,118280859.983174,365643282.086069,,,,,,,,,6317883886.36181,,1185574633.30573,-43993084.588827,,,,,,,,,,,,,,,,,
1995-03-09,,,,,458766409.043869,,,773435645.680619,3192266060.74855,,,415695134.619218,,,,,,,,,,22786837.2273298,118280859.983174,118280859.983174,365643282.086069,,,,,,,,,6317883886.36181,,1185574633.30573,-43993084.588827,,,,,,,,,,,,,,,,,
1995-12-31,,1070823453.725931,,,681458300.391322,,308305148.103028,922975546.747985,3695227725.66811,254542272.83832,,430518506.212342,,,44671,147293650.531918,,,,236944630.6769333,,22786837.2273298,526543623.726519,526543623.726519,791062512.593342,,730787124.087806,,286966274.930953,8446175416.90789,5161374589.52345,,,7584722335.669,,1314973418.20123,-116532366.824649,,,,9229478339.25684,2812990027.70318,2893634340.60024,6172061218.8553505,3421425041.33032,1318160392.76589,5702190316.7351885,,,,,2602234014.10106,254542272.83832,
1996-03-07,,1070823453.725931,,,681458300.391322,,308305148.103028,922975546.747985,3695227725.66811,254542272.83832,,430518506.212342,,,44671,147293650.531918,,,,236944630.6769333,,22786837.2273298,526543623.726519,526543623.726519,791062512.593342,,730787124.087806,,286966274.930953,8446175416.90789,5161374589.52345,,,7584722335.669,,1314973418.20123,-116532366.824649,,,,9229478339.25684,2812990027.70318,2893634340.60024,6172061218.8553505,3421425041.33032,1318160392.76589,5702190316.7351885,,,,,2602234014.10106,254542272.83832,
1997-03-05,,882068276.0274222,,,686422478.901854,,336008420.61402,768670051.261753,3363285458.9566,150951382.804246,,401141427.522206,,,43636,105025717.399692,24871271.8812869,,,183456411.401572,,4555627.01600057,282448998.493426,282448998.493426,437094134.547369,,496932937.192445,,272598989.82757,8118130892.18203,4888066800.43114,,,6372586231.48399,,1198007303.98476,-14898131.5931635,,54051922.5538859,140978249.030067,8339017336.51386,2612961048.835,2391828354.28653,5288469652.69819,2933578830.90862,1001253380.88428,5296595909.847519,,,,140978249.030067,2063946190.82184,150951382.804246,
1997-03-19,,882068276.0274222,,,686422478.901854,,336008420.61402,768670051.261753,3363285458.9566,150951382.804246,,401141427.522206,,,43636,105025717.399692,24871271.8812869,,,183456411.401572,,4555627.01600057,282448998.493426,282448998.493426,437094134.547369,,496932937.192445,,272598989.82757,8118130892.18203,4888066800.43114,,,6372586231.48399,,1198007303.98476,-14898131.5931635,,54051922.5538859,140978249.030067,8339017336.51386,2612961048.835,2391828354.28653,5288469652.69819,2933578830.90862,1001253380.88428,5296595909.847519,,,,140978249.030067,2063946190.82184,150951382.804246,
1998-02-16,,770603517.8725846,,,277323030.452909,,290000013.641088,724719569.872892,3402592036.26081,18847196.2443724,,365052081.927575,,,33814,134286273.241154,27934237.2907663,,,195203103.959572,,20866529.5755512,469160563.654557,469160563.654557,625098675.438352,,477911047.625158,,218088985.113452,7593288558.3354,4488661719.84277,,,5654831987.46331,,873926540.14084,-5160539.57226885,,50932304.1365779,154367512.096765,7606638655.67517,1979067791.35104,1916692546.63752,4616441222.95193,3027106525.36846,698243746.577226,4561582419.597784,,,,154367512.096765,1954274753.43433,18847196.2443724,
1998-02-20,,770603517.8725846,,,277323030.452909,,290000013.641088,724719569.872892,3402592036.26081,18847196.2443724,,365052081.927575,,,33814,134286273.241154,27934237.2907663,,,195203103.959572,,20866529.5755512,469160563.654557,469160563.654557,625098675.438352,,477911047.625158,,218088985.113452,7593288558.3354,4488661719.84277,,,5654831987.46331,,873926540.14084,-5160539.57226885,,50932304.1365779,154367512.096765,7606638655.67517,1979067791.35104,1916692546.63752,4616441222.95193,3027106525.36846,698243746.577226,4561582419.597784,,,,154367512.096765,1954274753.43433,18847196.2443724,
