datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
1998-03-31,,,,,,,,,,,,,,
1999-06-29,,,,,,,,-67648894.58159,,,,,,
2000-06-29,,,,,,,,-174942552.068966,,,,,,
2001-09-28,,,,,,,,-75167541.3041096,,,,,,
2002-06-30,,,,,,,,-57560341.0102623,,,,,,
2003-12-29,,,,,,,,71658782.6610526,,,,,,
2004-06-30,,,443869.659574468,,,,,5112396.0,,138950.50212766,-22807.5319148936,,,
2007-01-17,,,443869.659574468,,,,,15746263.3362069,,138950.50212766,-22807.5319148936,,,
2007-05-08,,,443869.659574468,,,,,25507170.9605839,,138950.50212766,-22807.5319148936,,,
2007-06-30,,,443869.659574468,,,,,62760567.3866667,,1549138.96533333,-4494653.10666667,,,
2008-10-06,,,922519.393939394,,,,,78078182.8882576,,1861353.94886364,5975150.51136363,,,
2009-10-06,,,803445.638834951,,,,,-57775903.2699029,,3465596.4776699,-22204562.4504854,,,
2011-12-08,,,803445.638834951,,,,,60312028.2762313,,6397984.69807281,53264118.2334047,,,
2012-12-06,,,32914.8765957447,,,,,189987322.13617,,6397984.69807281,13298539.193617,,,
2013-06-27,,,276037.322580645,,,,,146707496.034156,,6397984.69807281,-21934715.0075901,,,
2014-02-01,,,276037.322580645,,,,,93438120.195713,,6397984.69807281,-21934715.0075901,,,
2014-09-29,,,276037.322580645,,,,25488652.9641694,27094254.3355049,,6397984.69807281,-21934715.0075901,,,
2015-07-10,,,276037.322580645,,,,25488652.9641694,-87320395.6946265,,6397984.69807281,-30240148.4207077,,,
2017-01-16,,,276037.322580645,,,,25488652.9641694,-184643536.997724,,6397984.69807281,3002504.04005462,,,
2018-05-31,,,276037.322580645,,,,25488652.9641694,60235919.7947123,,6397984.69807281,42599966.0808709,,,
2018-11-30,,,276037.322580645,,,,25488652.9641694,63639929.1588192,,6397984.69807281,-18216389.8254153,,,
2021-06-18,,,276037.322580645,,,6427221.59317212,25488652.9641694,17612930.227596,,6397984.69807281,1226835.57610242,,,
2022-02-23,,,276037.322580645,,,6427221.59317212,25488652.9641694,73768905.06386,,6397984.69807281,7671324.01561022,,,
2022-10-28,,,276037.322580645,,,6427221.59317212,25488652.9641694,-493361784.763656,,6397984.69807281,7671324.01561022,,,
2023-06-29,,,276037.322580645,,,6427221.59317212,25488652.9641694,-174726148.138504,,6397984.69807281,7671324.01561022,,,
