Instrument,TR.ACCOUNTSPAYABLE,TR.ACCOUNTSPAYABLE.CALCDATE,TR.ACCTSRECEIVTRADENET,TR.ACCTSRECEIVTRADENET.CALCDATE,TR.ADVERTISINGEXPENSE,TR.ADVERTISINGEXPENSE.CALCDATE,TR.BACKLOGVALUEACTUAL,TR.BACKLOGVALUEACTUAL.CALCDATE,TR.CAPITALEXPENDITURES,TR.CAPITALEXPENDITURES.CALCDATE,TR.CAPITALLEASEOBLIGATIONS,TR.CAPITALLEASEOBLIGATIONS.CALCDATE,TR.CASHANDSTINVESTMENTS,TR.CASHANDSTINVESTMENTS.CALCDATE,TR.CASHFROMOPERATINGACT,TR.CASHFROMOPERATINGACT.CALCDATE,TR.COSTOFREVENUETOTAL,TR.COSTOFREVENUETOTAL.CALCDATE,TR.DEFERREDREVENUECURRENT,TR.DEFERREDREVENUECURRENT.CALCDATE,TR.DEFERREDREVENUELT,TR.DEFERREDREVENUELT.CALCDATE,TR.DEPRDEPLETIONANDAMORT,TR.DEPRDEPLETIONANDAMORT.CALCDATE,TR.EBITACTVALUE,TR.EBITACTVALUE.CALCDATE,TR.EBITDAACTVALUE,TR.EBITDAACTVALUE.CALCDATE,TR.EMPLOYEES,TR.EMPLOYEES.CALCDATE,TR.GOODWILLNET,TR.GOODWILLNET.CALCDATE,TR.GROSSDIVIDENDSCMNSTOCK,TR.GROSSDIVIDENDSCMNSTOCK.CALCDATE,TR.INCOMETAXESPAYABLE,TR.INCOMETAXESPAYABLE.CALCDATE,TR.INTEXPENSENETNONOPER,TR.INTEXPENSENETNONOPER.CALCDATE,TR.INTANGIBLESNET,TR.INTANGIBLESNET.CALCDATE,TR.INTERESTINCOMENONOPERATING,TR.INTERESTINCOMENONOPERATING.CALCDATE,TR.INVENTORYACTVALUE,TR.INVENTORYACTVALUE.CALCDATE,TR.ISSUANCERETIREMENTOFSTOCKNET,TR.ISSUANCERETIREMENTOFSTOCKNET.CALCDATE,TR.LEASEEXPENSETOTAL,TR.LEASEEXPENSETOTAL.CALCDATE,TR.MINORITYINTERESTBSSTMT,TR.MINORITYINTERESTBSSTMT.CALCDATE,TR.NETINCOME,TR.NETINCOME.CALCDATE,TR.NETINCOMEBEFOREEXTRAITEMS,TR.NETINCOMEBEFOREEXTRAITEMS.CALCDATE,TR.NETINCOMEBEFORETAXES,TR.NETINCOMEBEFORETAXES.CALCDATE,TR.OTHERCURRENTASSETS,TR.OTHERCURRENTASSETS.CALCDATE,TR.OTHERCURRENTLIABTOTAL,TR.OTHERCURRENTLIABTOTAL.CALCDATE,TR.OTHERLTASSETSTOTAL,TR.OTHERLTASSETSTOTAL.CALCDATE,TR.OTHERLIABILITIESTOTAL,TR.OTHERLIABILITIESTOTAL.CALCDATE,TR.OTHERNONOPERATINGINCOME,TR.OTHERNONOPERATINGINCOME.CALCDATE,TR.PPTYPLANTEQPMTTTLGROSS,TR.PPTYPLANTEQPMTTTLGROSS.CALCDATE,TR.PROPERTYPLANTEQUIPMENTTOTALNET,TR.PROPERTYPLANTEQUIPMENTTOTALNET.CALCDATE,TR.RECEIVABLESOTHER,TR.RECEIVABLESOTHER.CALCDATE,TR.REDEEMABLEPREFERREDTTL,TR.REDEEMABLEPREFERREDTTL.CALCDATE,TR.RESEARCHANDDEVELOPMENT,TR.RESEARCHANDDEVELOPMENT.CALCDATE,TR.REVENUE,TR.REVENUE.CALCDATE,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP.CALCDATE,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP.CALCDATE,TR.SGAEXPENSETOTAL,TR.SGAEXPENSETOTAL.CALCDATE,TR.SPECIALITEMSMM,TR.SPECIALITEMSMM.CALCDATE,TR.TAXCURDOM,TR.TAXCURDOM.CALCDATE,TR.TAXDEFTOT,TR.TAXDEFTOT.CALCDATE,TR.TAXOTHINCTOT,TR.TAXOTHINCTOT.CALCDATE,TR.TOTALASSETSREPORTED,TR.TOTALASSETSREPORTED.CALCDATE,TR.TOTALCURRLIABILITIES,TR.TOTALCURRLIABILITIES.CALCDATE,TR.TOTALCURRENTASSETS,TR.TOTALCURRENTASSETS.CALCDATE,TR.TOTALDEBTOUTSTANDING,TR.TOTALDEBTOUTSTANDING.CALCDATE,TR.TOTALEQUITY,TR.TOTALEQUITY.CALCDATE,TR.TOTALINVENTORY,TR.TOTALINVENTORY.CALCDATE,TR.TOTALLIABILITIES,TR.TOTALLIABILITIES.CALCDATE,TR.TOTALLONGTERMDEBT,TR.TOTALLONGTERMDEBT.CALCDATE,TR.TTLPREFERREDSHARESOUT,TR.TTLPREFERREDSHARESOUT.CALCDATE,TR.WARRANTSCONVERTED,TR.WARRANTSCONVERTED.CALCDATE
0GMB.L^A08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0GM4.L^C09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0GKF.L^B21,,1998-06-30,,1998-06-30,,,,,,,,,,1998-06-30,,,,1998-06-30,,,,,,,,,,,,1998-06-30,,,,1998-06-30,,,,,,1998-06-30,,,,,,,,,,,,1998-06-30,,1998-06-30,,1998-06-30,,1998-06-30,,1998-06-30,,1998-06-30,,1998-06-30,,,,,,1998-06-30,,,,,,,,1998-06-30,,,,,,1998-06-30,,,,,,1998-06-30,,1998-06-30,,1998-06-30,,1998-06-30,,1998-06-30,,1998-06-30,,1998-06-30,,1998-06-30,,1998-06-30,,1998-06-30,,,,
0GKF.L^B21,12713252.6293996,1999-09-01,37449840.5797101,1999-09-01,,,,,,,,,6961534.7826087,1999-09-01,,,115366515.031056,1999-09-01,,,,,,,,,,,1510,1999-09-01,,,940020.538302277,1999-09-01,,,,,605236.687370601,1999-09-01,,,,,,,,,,,6299844.34782609,1999-09-01,16687990.310559,1999-09-01,15744031.1387164,1999-09-01,-20080466.6666667,1999-09-01,25471143.1055901,1999-09-01,1050958.71635611,1999-09-01,38255291.1387164,1999-09-01,,,,,21188535.5693582,1999-09-01,,,,,,,148359791.759834,1999-09-01,,,,,16738536.1076605,1999-09-01,,,,,-3519825.50724638,1999-09-01,-943302.732919255,1999-09-01,103278848.695652,1999-09-01,39467733.8302277,1999-09-01,80394074.9482402,1999-09-01,1283338.0952381,1999-09-01,25555167.2877847,1999-09-01,56063166.252588,1999-09-01,77723024.9689441,1999-09-01,0.0,1999-09-01,,,,
0GIK.L^D10,,1995-12-31,,1995-12-31,,,,,,1995-12-31,,,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,,,1995-12-31,,,,,,1995-12-31,,1995-12-31,,1995-12-31,,,,1995-12-31,,1995-12-31,,1995-12-31,,,,1995-12-31,,,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,,,,,1995-12-31,,,,,,1995-12-31,,1995-12-31,,,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,1995-12-31,,,,
0GIK.L^D10,64264289.6697665,1997-04-22,91059648.6906215,1997-04-22,,,,,-127422677.388211,1997-04-22,,,123287263.654551,1997-04-22,106744385.433731,1997-04-22,351446376.390944,1997-04-22,1923716.71299302,1997-04-22,,,77993370.2101767,1997-04-22,,,,,8229,1997-04-22,2998601.6612315,1997-04-22,19418584.6431839,1997-04-22,,,-29900630.358483,1997-04-22,3634840.05082154,1997-04-22,16178660.3172367,1997-04-22,,,,1997-04-22,,,12540947.6302874,1997-04-22,41357329.15452,1997-04-22,41357329.15452,1997-04-22,63734986.6973768,1997-04-22,,,70528140.0966925,1997-04-22,4021349.43505997,1997-04-22,96606660.7368685,1997-04-22,-1092867.47470203,1997-04-22,1285777641.55574,1997-04-22,722571918.61135,1997-04-22,53027845.3439697,1997-04-22,,,,,801279645.571094,1997-04-22,,,,,187110246.429357,1997-04-22,3425802.92524434,1997-04-22,,,1548964.34613794,1997-04-22,21111619.304641,1997-04-22,1240777918.1373,1997-04-22,404625261.340736,1997-04-22,437923718.039517,1997-04-22,436677576.686448,1997-04-22,512782468.373234,1997-04-22,169424597.099901,1997-04-22,727995449.764065,1997-04-22,166844745.112171,1997-04-22,,,,
0GIK.L^D10,63455141.0570283,1998-04-16,93571435.01337,1998-04-16,,,,,-88336791.9829937,1998-04-16,,,165892558.181774,1998-04-16,106644395.246712,1998-04-16,345482383.82251,1998-04-16,1952320.39527602,1998-04-16,,,75222892.6494317,1998-04-16,,,,,7574,1998-04-16,6800764.97494095,1998-04-16,14057676.7011261,1998-04-16,,,-18542899.8589399,1998-04-16,3610157.01787421,1998-04-16,10235006.6794837,1998-04-16,,,,1998-04-16,,,12779543.034507,1998-04-16,65935933.116089,1998-04-16,65935933.116089,1998-04-16,78357586.9309311,1998-04-16,,,65462722.5174183,1998-04-16,30626151.6053392,1998-04-16,95177548.4743312,1998-04-16,-1720950.57942324,1998-04-16,1041107658.26549,1998-04-16,516094006.974611,1998-04-16,48718332.9668992,1998-04-16,,,,,742856935.544697,1998-04-16,,,,,159687306.273837,1998-04-16,4558700.25292287,1998-04-16,,,-12340943.7242076,1998-04-16,10724310.6034166,1998-04-16,1077476516.25149,1998-04-16,297516233.54797,1998-04-16,451459184.554002,1998-04-16,275270396.086306,1998-04-16,492068904.225477,1998-04-16,141647380.360297,1998-04-16,585407660.051854,1998-04-16,106672026.112782,1998-04-16,,,,
0GIK.L^D10,65547270.9299905,1999-04-08,105880835.876941,1999-04-08,,,,,-168596197.256971,1999-04-08,,,308208406.572594,1999-04-08,120968763.556454,1999-04-08,364653303.3485,1999-04-08,1221790.99342452,1999-04-08,,,67778765.2606677,1999-04-08,,,,,7988,1999-04-08,30168181.7023805,1999-04-08,22352028.0596599,1999-04-08,,,-22400234.3278831,1999-04-08,4541942.26258542,1999-04-08,21992026.6930858,1999-04-08,,,0.0,1999-04-08,,,16757634.7169966,1999-04-08,80601979.641865,1999-04-08,80601979.641865,1999-04-08,115567247.020793,1999-04-08,,,60391677.7978598,1999-04-08,33526599.9126083,1999-04-08,116265206.771277,1999-04-08,-1297602.01540139,1999-04-08,1245763038.97275,1999-04-08,653006413.91303,1999-04-08,39778678.3560369,1999-04-08,,,,,810242321.660349,1999-04-08,,,,,172778138.152982,1999-04-08,1690715.90491227,1999-04-08,,,,1999-04-08,,1999-04-08,1440482886.37372,1999-04-08,572338717.069986,1999-04-08,612206546.052639,1999-04-08,523493664.413048,1999-04-08,577187407.874867,1999-04-08,157661832.542823,1999-04-08,863295478.498857,1999-04-08,77093896.070912,1999-04-08,,,,
0GIG.L^C09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0GEB.L^A08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
