Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-08-29,37.4985,37.4985,37.4985,,1,403
2019-08-30,37.75,37.67217,37.525,,6,399
2019-09-02,37.75514,37.66883,37.66882,,4,6427
2019-09-03,37.71732,37.69849,37.69849,,2,1623
2019-09-04,37.76074,37.76074,37.7,,8,9360
2019-09-05,37.59623,37.57368,37.44745,,8,101850
2019-09-06,37.54625,37.54625,37.4985,,2,342
2019-09-09,37.525,37.525,37.4187,,6,1973
2019-09-10,37.57744,37.54625,37.37222,,9,11764
2019-09-11,37.59733,37.49625,37.47,,8,4049
2019-09-12,37.62744,37.6008,37.59541,,3,439
2019-09-13,37.57744,37.57744,37.5,,6,5871
2019-09-16,37.6,37.57124,37.57124,,5,16989
2019-09-17,38.12313,37.98858,37.65,,34,1261960
2019-09-18,38.1,38.02337,37.925,,25,826541
2019-09-19,38.01956,37.77643,37.65,,48,1982500
2019-09-20,37.8189,37.736,37.65,,37,2423328
2019-09-23,37.76273,37.7,37.65,,4,77755
