Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2018-01-30,2.8,2.76,,,2,1544
2018-01-31,2.85,2.85,,,1,450
2018-02-02,2.74,2.74,,,1,1000
2018-04-05,4.34,4.34,,,1,951
2018-04-06,5.05,5.05,,,2,2153
2018-04-09,5.59,5.59,,,1,609
2018-04-10,5.7,5.7,,,1,3758
2018-04-11,6.57,6.34,,,2,741
2018-04-13,,,6.94,,,
2018-04-16,7.9,7.46,7.08,,4,1788
2018-04-17,8.73,8.41,8.41,,3,938
2018-04-18,,,9.11,,,
2018-04-19,8.45,8.35,9.07,,2,2888
2018-04-20,9.31,9.02,9.19,,3,1405
2018-04-23,9.01,9.01,9.31,,1,2282
2018-04-24,9.84,9.71,9.3,,3,1420
2018-04-25,10.58,10.41,10.02,,2,1006
2018-04-26,,,10.23,,,
2018-04-27,,,9.99,,,
2018-04-30,10.22,9.89,10.34,,2,3269
2018-05-01,,,9.77,,,
2018-05-02,,,13.03,,,
2018-05-03,,,12.31,,,
2018-05-04,,,11.62,,,
2018-05-08,,,12.57,,,
2018-05-09,,,12.38,,,
2018-05-10,,,13.12,,,
2018-05-11,,,12.93,,,
2018-05-14,,,14.06,,,
2018-05-15,,,13.67,,,
2018-05-16,,,13.67,,,
2018-05-17,,,13.69,,,
2018-05-18,,,14.36,,,
2018-05-21,,,14.12,,,
2018-05-22,,,14.73,,,
2018-06-07,17.56,16.67,,,3,500
2018-06-13,16.53,15.79,,,19,200
2018-06-14,16.28,15.87,,,11,28989
2018-06-15,17.35,17.35,,,2,255
2018-06-18,17.423,17.423,,,1,2850
2018-07-12,19.25,19.235,,,9,1190
2018-07-31,20.0,19.09,,,19,495
2018-09-07,22.13,21.48,,,44,2540
2018-10-08,32.47,31.46,,,3,700
2019-02-01,24.96,24.96,24.96,24.96,1,1000
2019-02-13,22.89,22.89,,,1,300
2019-03-05,18.95,18.95,,,1,1000
2019-04-01,15.54,15.24,,,5,1254
2019-10-11,24.04,24.04,,,1,200
2019-10-25,26.02,26.02,,,1,500
2019-10-28,26.45542,26.45542,,,1,3627
2019-11-01,25.1343,25.1343,,,1,4000
2020-01-16,7.05,7.05,,,1,710
2020-01-30,3.18,3.18,,,1,27500
2020-02-14,3.08,3.08,,,1,1620
2020-02-21,4.55,4.55,,,1,5000
2020-02-26,4.25,4.25,,,1,2500
2020-06-08,0.72,0.72,,,1,10000
2020-06-11,0.73,0.73,,,1,9998
2020-06-18,0.7348,0.7348,,,1,6500
2020-10-15,0.63,0.63,,,1,6500
2020-10-20,0.63,0.63,,,1,6000
2020-10-28,0.529,0.529,,,3,2400
2020-11-11,0.52,0.52,,,1,300
2020-11-20,0.4491,0.4491,,,1,7000
2020-11-23,0.4405,0.4405,,,1,500
2020-11-24,0.48,0.48,,,1,1000
2020-12-01,0.4749,0.4749,,,1,100
2021-01-05,0.413,0.413,,,1,2000
2021-01-08,0.5489,0.5489,,,1,6000
2021-01-11,0.54553,0.54553,,,1,10000
2021-01-12,0.56,0.56,,,1,200
2021-01-14,0.6,0.6,,,1,5000
2021-01-15,0.9,0.75,,,5,14350
2021-01-19,0.80143,0.7884,,,4,35500
2021-01-20,0.95,0.87,,,22,41850
2021-01-22,0.9018,0.8582,,,2,16000
2021-01-25,0.87,0.87,,,1,2350
2021-01-26,0.83,0.83,,,1,1000
2021-01-27,0.73,0.73,,,2,1100
2021-01-28,0.71,0.71,,,1,200
2021-01-29,0.6501,0.6501,,,1,1000
2021-02-03,0.71,0.71,,,1,100
