Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2017-12-11,0.981,0.95,,,8,6407
2017-12-13,1.04,1.0381,,,21,559013
2017-12-14,0.99,0.85,0.99,,4,273200
2017-12-15,1.11,1.06,0.99,,6,18985
2017-12-18,,,0.99,,,
2017-12-19,,,0.99,,,
2017-12-20,,,0.99,,,
2017-12-21,1.0255,1.0255,1.025,,1,66608
2017-12-22,,,1.027,,,
2017-12-27,0.96,0.955,1.008,,4,10000
2017-12-28,0.9635,0.9635,1.008,,1,25000
2017-12-29,,,0.968,,,
2018-01-02,1.02,0.999,0.972,,2,6440
2018-01-03,,,0.972,,,
2018-01-04,,,0.999,,,
2018-01-05,1.723,1.674,0.981,,31,6077549
2018-01-08,1.7021,1.6981,0.981,,3,207806
2018-01-09,1.7061,1.7,1.702,,3,512167
2018-01-10,1.7084,1.7084,1.704,,1,28405
2018-01-11,1.7096,1.7096,1.706,,1,20
2018-01-12,1.7116,1.7056,1.708,,6,25712
2018-01-15,,,1.704,,,
2018-01-16,1.7164,1.7164,1.72,,1,9900
2018-01-17,1.721,1.721,1.724,,1,376075
2018-01-18,1.7236,1.7196,1.72,,2,27211
2018-01-19,1.7184,1.7184,1.722,,1,12686
2018-01-22,,,1.72,,,
2018-01-23,,,1.716,,,
2018-01-24,1.7096,1.706,1.708,,4,1041077
2018-01-25,,,1.71,,,
2018-01-26,1.7096,1.708,1.71,,5,73674
2018-01-29,1.71,1.704,1.71,,17,852535
2018-01-30,1.7124,1.7101,1.71,,9,7489
2018-01-31,1.7378,1.7101,1.714,,12,489706
2018-02-01,1.7261,1.7181,1.714,,20,194952
2018-02-02,1.7279,1.722,1.73,,6,53973
2018-02-05,1.7239,1.7021,1.73,,11,44092
2018-02-06,1.7059,1.6901,1.71,,12,28588
2018-02-07,1.7139,1.7001,1.704,,14,20664
2018-02-08,1.7079,1.7061,1.71,,3,1480
2018-02-09,1.7021,1.6901,1.708,,5,7420
2018-02-12,1.7099,1.7093,1.706,,2,13742
2018-02-13,1.7119,1.7081,1.712,,7,9406
2018-02-14,1.714,1.7081,1.71,,4,33090
2018-02-15,1.7119,1.7099,1.71,,4,26780
2018-02-16,1.7421,1.7321,1.71,,12,35325
2018-02-19,1.7301,1.7301,1.738,,3,4380
2018-02-20,1.7359,1.7301,1.73,,5,18460
2018-02-21,1.734,1.7301,1.736,,2,22532
2018-02-22,1.7364,1.7301,1.736,,3,73070
2018-02-23,1.7319,1.7301,1.73,,9,46739
2018-02-26,1.7323,1.7301,1.73,,9,99386
2018-02-27,1.7299,1.7299,1.732,,1,2652
2018-02-28,,,1.724,,,
2018-03-01,1.7301,1.7161,1.724,,3,3174
2018-03-02,1.7319,1.7301,1.732,,12,25755
2018-03-05,1.7301,1.7301,1.732,,1,1250
2018-03-06,1.7359,1.7301,1.734,,2,2100
2018-03-07,1.7338,1.7321,1.736,,5,46624
2018-03-08,1.7321,1.7321,1.734,,3,7945
2018-03-09,1.7301,1.7301,1.732,,3,3722
2018-03-12,1.7359,1.7321,1.73,,3,6247
2018-03-13,,,1.734,,,
2018-03-14,1.7268,1.7201,1.732,,2,9843
2018-03-15,1.7221,1.7201,1.718,,3,8569
2018-03-16,1.7199,1.7168,1.722,,2,1481
2018-03-19,1.7161,1.7081,1.72,,10,17406
2018-03-20,1.7081,1.7041,1.714,,3,6848
2018-03-21,1.7055,1.7055,1.71,,1,2397
2018-03-22,1.7099,1.7099,1.71,,1,11681
2018-03-23,1.706,1.706,1.71,,1,2000000
2018-03-26,,,1.716,,,
2018-03-27,1.7558,1.7558,1.76,,1,1126
2018-03-28,1.755,1.752,1.756,,3,1604949
2018-03-29,1.7641,1.7641,1.756,,1,1985
2018-04-03,1.7576,1.7521,1.762,,2,4517
2018-04-04,1.759,1.759,1.762,,1,4818
2018-04-05,,,1.76,,,
2018-04-06,,,1.766,,,
2018-04-09,,,1.76,,,
2018-04-10,,,1.744,,,
2018-04-11,1.7458,1.7458,1.746,,1,623
2018-04-12,,,1.75,,,
2018-04-13,,,1.76,,,
2018-04-16,,,1.76,,,
2018-04-17,1.7601,1.7601,1.76,,1,3268
2018-04-18,,,1.762,,,
2018-04-19,,,1.76,,,
2018-04-20,,,1.758,,,
2018-04-23,,,1.756,,,
2018-04-24,1.7379,1.7339,1.746,,2,4071
2018-04-25,,,1.74,,,
2018-04-26,,,1.758,,,
2018-04-27,,,1.758,,,
2018-04-30,,,1.758,,,
2018-05-01,,,1.766,,,
2018-05-02,,,1.766,,,
2018-05-03,1.7672,1.7672,1.764,,1,2566
2018-05-04,,,1.764,,,
2018-05-08,,,1.772,,,
2018-05-09,,,1.77,,,
2018-05-10,,,1.77,,,
2018-05-11,,,1.776,,,
2018-05-14,,,1.77,,,
2018-05-15,,,1.774,,,
2018-05-16,,,1.762,,,
2018-05-17,,,1.764,,,
2018-05-18,,,1.768,,,
2018-05-21,,,1.766,,,
2018-05-22,,,1.768,,,
2018-05-24,1.76781,1.76781,,,1,580
2018-05-25,1.76619,1.76619,,,1,580
