Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-11-05,,103.0,,,,
2007-11-06,,102.5908,,,,
2007-11-07,,104.75,,,,
2007-11-08,,101.3705,,,,
2007-11-13,,95.0,,,,
2007-11-14,,95.25,,,,
2007-11-19,,84.5,,,,
2007-11-21,,86.6032,,,,
2007-11-23,,85.18,,,,
2007-11-27,,86.5,,,1,20
2007-11-28,,85.71,,,2,5650
2007-11-29,,89.25,,,1,1600
2007-11-30,,93.64,,,1,1650
2007-12-03,,90.25,,,,
2007-12-04,,85.5,,,1,6650
2007-12-05,,86.5359,,,1,7650
2007-12-07,,90.0,,,1,5
2007-12-10,,94.0,,,6,13799
2007-12-11,,92.9375,,,10,5850
2007-12-12,,90.2965,,,1,8600
2007-12-14,,89.25,,,1,11178
2007-12-19,,81.25,,,1,12444
2007-12-21,,81.0,,,1,443
2007-12-27,,80.81,,,1,700
2008-01-07,,74.75,,,24,20618
2008-01-08,,78.0,,,9,6225
2008-01-10,,69.1877,,,1,186940
2008-01-14,,69.8799,,,1,253300
2008-01-15,,68.6875,,,6,2310
2008-01-18,,65.9974,,,,
2008-01-23,,65.5929,,,1,4360
2008-01-24,,63.3523,,,,
2008-01-25,,54.5,,,6,16455
2008-01-28,,51.68,,,2,3876
2008-01-30,,55.0,,,3,1960
2008-01-31,,57.25,,,8,31667
2008-02-01,,65.0,,,6,67368
2008-02-05,,57.5,,,3,154814
2008-02-06,,57.4016,,,2,75000
2008-02-07,,58.0,,,1,3900
2008-02-08,,58.75,,,1,3100
2008-02-15,,63.1824,,,1,14
2008-02-21,,65.5,,,,
2008-02-22,,69.1,,,,
2008-02-28,,72.5643,,,2,588370
2008-02-29,,72.2248,,,2,30195
2008-03-03,,69.5,,,1,36
2008-03-04,,68.25,,,1,36
2008-03-18,,60.5017,,,2,14966
2008-03-27,,62.2626,,,2,64996
2008-03-28,,62.5,,,1,394
2008-03-31,,62.0799,,,1,294
2008-04-02,,64.3466,,,1,63400
2008-04-10,,63.5476,,,1,35100
2008-04-11,,64.25,,,1,1300
2008-04-14,,62.8042,,,1,53000
2008-04-16,,64.4538,,,1,106800
2008-04-21,,65.875,,,1,399200
2008-04-22,,64.57,,,2,50000
2008-04-23,,67.0,,,1,59844
2008-04-24,,65.5626,,,1,139100
2008-04-28,,68.25,,,1,24
2008-04-29,,68.25,,,2,1173
2008-04-30,,66.4916,,,,
2008-05-06,,66.159,,,,
2008-05-07,,66.8883,,,2,13300
2008-05-08,,67.25,,,1,85
2008-05-09,,69.25,,,1,25600
2008-05-12,,71.0,,,1,434137
2008-05-13,,71.375,,,1,56357
2008-05-14,,72.75,,,2,50
2008-05-15,,76.5,,,2,8800
2008-05-20,,74.75,,,3,120
2008-05-21,,73.625,,,1,1847
2008-05-22,,73.5,,,1,5000
2008-05-23,,73.4859,,,1,1132
2008-05-28,,71.375,,,1,14028
2008-06-02,,67.8863,,,,
2008-06-05,,62.5,,,2,24900
2008-06-09,,61.25,,,1,40
2008-06-10,,59.0621,,,3,48232
2008-06-13,,55.25,,,1,65
2008-06-17,,56.625,,,1,9099
2008-06-25,,49.8933,,,2,148400
2008-06-26,,50.7906,,,3,38724
2008-06-27,,50.8359,,,,
2008-07-02,,46.8566,,,2,27100
2008-07-03,,45.1,,,4,10201
2008-07-04,,44.1349,,,1,12600
2008-07-07,,44.4468,,,1,117560
2008-07-10,,45.1,,,1,6200
2008-07-11,,44.6925,,,1,68
2008-07-14,,44.1779,,,1,2217
2008-07-15,,41.75,,,1,4500
2008-07-16,,42.399,,,1,122300
2008-07-17,,44.5772,,,5,135014
2008-07-21,,44.9,,,1,100
2008-07-23,,36.6,,,1,60
2008-07-24,,36.6884,,,,
2008-07-28,,34.2375,,,1,3200
2008-07-30,,35.8,,,1,143
2008-07-31,,35.9,,,1,3100
2008-08-01,,35.7,,,1,1850
2008-08-04,,34.5597,,,1,100
2008-08-13,,37.9578,,,,
