Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
1996-12-30,28.9375,28.9375,28.9375,28.9375,,
1996-12-31,,,28.94,,,
1997-01-02,28.5,28.5,28.5,28.5,,
1997-01-03,28.75,28.75,28.75,28.75,,
1997-01-06,28.8125,28.8125,28.8125,28.8125,,
1997-01-07,28.25,27.4375,27.81,28.1875,,
1997-01-08,27.5625,27.375,27.56,27.4375,,
1997-01-09,27.5625,27.5,27.56,27.5,,
1997-01-10,27.0,26.8125,26.8125,27.0,,
1997-01-13,27.6875,27.5625,27.5625,27.5625,,
1997-01-14,27.8125,27.5625,27.5625,27.8125,,
1997-01-15,27.6875,27.375,27.6875,27.6875,,
1997-01-16,27.0,26.6875,26.81,26.9375,,
1997-01-17,27.0,27.0,27.0,27.0,,
1997-01-20,28.625,28.4375,28.625,28.5,,
1997-01-21,28.9375,28.625,28.69,28.9375,,
1997-01-22,29.5625,28.75,29.06,29.5625,,
1997-01-23,29.8125,29.625,29.8125,29.625,,
1997-01-24,29.625,29.0625,29.25,29.625,,
1997-01-27,29.0625,29.0625,29.0625,29.0625,,
1997-01-28,29.5625,29.4375,29.4375,29.5625,,
1997-01-29,29.5,29.4375,29.5,29.4375,,
1997-01-30,29.4375,29.4375,29.4375,29.4375,,
1997-01-31,29.6875,29.5625,29.6875,29.6875,,
1997-02-03,29.625,29.5625,29.625,29.5625,,
1997-02-04,29.1875,28.9375,29.1875,29.1875,,
1997-02-05,28.75,28.25,28.6875,28.25,,
1997-02-06,28.75,28.5625,28.75,28.5625,,
1997-02-07,28.9375,28.625,28.75,28.9375,,
1997-02-10,28.75,28.3125,28.5625,28.3125,,
1997-02-11,28.25,28.0,28.1875,28.0625,,
1997-02-12,28.0,28.0,28.0,28.0,,
1997-02-13,28.9375,28.75,28.75,28.8125,,
1997-02-14,29.1875,29.0,29.0,29.0,,
1997-02-17,,,29.0,,,
1997-02-18,29.0,28.9375,28.9375,29.0,,
1997-02-19,30.0625,29.5625,29.8125,29.625,,
1997-02-20,30.5,30.25,30.25,30.5,,
1997-02-21,30.4375,30.375,30.375,30.4375,,
1997-02-24,29.875,29.625,29.875,29.875,,
1997-02-25,29.875,29.625,29.875,29.625,,
1997-02-26,29.3125,29.3125,29.875,29.3125,,
1997-02-27,29.0,27.875,28.875,28.9375,,
1997-02-28,28.5625,28.1875,28.375,28.5625,,
1997-03-03,28.75,28.3125,28.625,28.3125,,
1997-03-04,28.875,28.5,28.625,28.875,,
1997-03-05,28.75,28.5625,28.5625,28.5625,,
1997-03-06,28.75,28.625,28.75,28.6875,,
1997-03-07,28.8125,28.6875,28.8125,28.6875,,
1997-03-10,30.0625,29.375,29.625,29.375,,
1997-03-11,30.375,30.125,30.375,30.1875,,
1997-03-12,29.9375,29.0625,29.3125,29.9375,,
1997-03-13,29.625,29.0625,29.1875,29.625,,
1997-03-14,29.25,28.625,29.1875,29.25,,
1997-03-17,28.5625,28.5,28.5,28.5625,,
1997-03-18,28.25,28.1875,28.25,28.1875,,
1997-03-19,29.4375,28.75,29.0,28.75,,
1997-03-20,29.375,28.125,29.0,29.375,,
