Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2016-02-09,204.5,199.0,200.0,202.0,1435,30045134
2016-02-10,208.5,200.0,206.0,200.0,199,5256680
2016-02-11,215.0,205.25,210.25,209.75,151,1031619
2016-02-12,221.25,210.25,218.0,213.5,86,631420
2016-02-15,224.4,214.0,221.875,223.83,75,169791
2016-02-16,225.5,217.2964,220.0,220.0,23,281948
2016-02-17,228.84,218.5,220.5,218.5,37,1013477
2016-02-18,224.75,219.6285,220.0,219.7185,6,8428
2016-02-19,223.5,221.55,225.125,221.55,2,491
2016-02-22,231.25,220.0,223.0,222.4904,13,235482
2016-02-23,228.1449,222.25,228.0,222.25,16,48089
2016-02-24,228.89,225.115,225.125,228.89,13,455756
2016-02-25,237.8444,227.71,230.0,227.71,12,31333
2016-02-26,242.5,233.125,236.25,236.0,14,393140
2016-02-29,240.6803,235.0,235.25,240.1427,13,8645
2016-03-01,239.0,233.28,237.75,233.28,23,27537
2016-03-02,242.2898,235.75,239.5,235.75,11,82264
2016-03-03,242.0,237.5,239.75,242.0,2,27000
2016-03-04,244.5,238.4479,244.25,238.4981,32,67464
2016-03-07,247.75,241.5,245.0,245.0,80,194095
2016-03-08,245.0,240.0,244.0,241.5,12,446918
2016-03-09,248.0,242.88,248.0,244.0,19,173178
2016-03-10,250.0,236.0,236.25,236.0,8,7820
2016-03-11,242.65,240.0,240.0,240.25,4,3604
2016-03-14,243.5,239.477,240.0,243.5,14,53728
2016-03-15,241.7829,230.0,232.0,241.7829,32,171952
2016-03-16,242.0,234.0675,242.0,234.0675,9,11305
2016-03-17,235.0,230.5,230.75,235.0,6,4488
2016-03-18,234.75,230.0,232.5,230.0,33,128788
2016-03-21,236.5,225.5,232.0,225.5,22,22259
2016-03-22,234.25,234.0,234.0,234.0,13,9384
2016-03-23,240.564,227.0529,234.0,235.25,64,123458
2016-03-24,237.0,230.0,234.0,237.0,32,16962
2016-03-29,235.0,230.0,234.5,230.25,25,13405
2016-03-30,235.0,225.75,230.0,235.0,22,25681
2016-03-31,234.1,230.0,230.0,230.0,24,1631978
2016-04-01,230.5,229.75,230.125,230.0,46,559997
2016-04-04,235.0,230.0,230.25,230.0,14,5192
2016-04-05,240.0,225.75,240.0,225.75,22,441742
2016-04-06,237.0,234.25,237.0,237.0,32,35288
2016-04-07,237.586,234.975,236.25,237.0,53,41950
2016-04-08,239.0,230.0,236.25,230.0,158,203236
2016-04-11,240.0,234.0,238.0,235.0,41,141876
2016-04-12,248.5,230.0,236.25,230.0,134,84327
2016-04-13,239.75,234.0,238.0,239.25,47,27818
2016-04-14,240.0,239.0,239.75,240.0,11,208102
2016-04-15,240.72,236.45,237.25,240.0,85,88109
2016-04-18,240.0,235.0,236.0,240.0,13,10321
2016-04-19,240.0,237.5,237.5,240.0,10,33940
2016-04-20,239.0,237.75,239.0,238.75,22,15024
2016-04-21,239.0,232.0,239.0,239.0,18,45013
2016-04-22,248.25,240.0,240.0,240.94,50,237742
2016-04-25,240.0,236.0,239.0,240.0,25,20431
2016-04-26,240.94,233.0,240.0,240.94,24,32080
2016-04-27,240.0,236.0,236.25,240.0,10,10244
2016-04-28,235.0,225.75,233.0,230.0,119,181958
2016-04-29,240.75,225.75,226.0,225.75,99,1516499
2016-05-03,235.0,220.0,231.75,226.0,108,499209
2016-05-04,242.5,234.0,235.0,242.5,33,115699
2016-05-05,245.0,236.25,236.25,245.0,13,7777
2016-05-06,240.0,234.5,238.0,238.0,30,135716
2016-05-09,239.93,233.0,239.0,239.0,30,50735
2016-05-10,241.94,237.75,237.75,241.94,11,12761
2016-05-11,238.75,236.0,236.0,236.0,9,13220
2016-05-12,235.0,230.75,233.0,233.0,33,118307
2016-05-13,233.5,230.25,230.25,233.0,6,15949
2016-05-16,236.5,230.25,230.25,236.5,7,12843
2016-05-17,233.0,230.25,232.0,233.0,17,9645
2016-05-18,234.234,225.0,225.0,231.0,9,187955
2016-05-19,231.0,223.0,229.25,223.25,66,68501
2016-05-20,232.99,229.0,229.0,229.25,7,7173
2016-05-23,235.92,228.0,234.0,228.0,30,341212
2016-05-24,235.0,226.75,229.0,235.0,48,106763
2016-05-25,234.75,224.5,225.0,224.5,75,155814
2016-05-26,233.5,222.5,228.0,222.5,36,39172
2016-05-27,233.8,222.5,231.0,222.5,11,33314
2016-05-31,237.0,228.0,235.5,228.0,43,81768
2016-06-01,240.0,231.0,235.25,231.0,103,214969
2016-06-02,245.0,237.0,243.75,238.0,219,1506491
2016-06-03,249.75,245.0,247.0,245.0,71,293717
2016-06-06,255.5,245.25,251.5,250.0,103,148004
2016-06-07,253.0,250.0,253.0,252.75,78,317423
2016-06-08,255.5,252.5,254.5,252.5,18,116130
2016-06-09,260.0,253.9773,254.0,254.0,165,588522
2016-06-10,254.0,251.5,252.0,252.24,131,186246
2016-06-13,253.75,245.0,250.0,245.25,72,73360
2016-06-14,254.0,245.0,249.25,245.0,437,554023
2016-06-15,254.0,245.25,250.5,245.25,178,351051
2016-06-16,255.5,246.0,254.0,246.0,280,484319
2016-06-17,268.0,242.25,268.0,253.25,705,9079110
2016-06-20,270.0,263.0,267.0,270.0,263,368343
2016-06-21,269.48,258.3,267.0,269.48,148,86034
2016-06-22,270.0,260.5,262.6,268.0,368,1328798
2016-06-23,269.6,257.0,259.0,269.6,164,159666
2016-06-24,256.4,200.3,243.1,247.1,661,701793
2016-06-27,249.0,229.5,231.8,249.0,781,2070102
2016-06-28,245.3,232.7,240.0,237.9,329,217387
2016-06-29,254.9,245.1,250.0,245.1,519,388703
2016-06-30,253.5,245.5,250.0,249.8,404,377145
2016-07-01,255.4,242.9,250.0,255.4,231,172702
2016-07-04,251.2,237.6,243.8,251.2,326,155874
2016-07-05,248.6,224.9,242.6,245.3,460,191176
2016-07-06,247.4,229.3,240.0,247.4,396,156941
2016-07-07,240.3,233.6,238.0,233.6,355,346699
2016-07-08,237.4,231.0,233.7,232.3,293,124118
2016-07-11,245.5,236.1,244.5,238.1,473,153657
2016-07-12,257.0,245.6,257.0,246.4,370,126624
2016-07-13,261.3,249.1,256.9,249.1,380,168859
2016-07-14,264.2,252.4,264.2,252.4,388,129294
2016-07-15,262.5,249.2,257.7,257.4,253,67903
2016-07-18,262.9,245.8,245.8,249.3,165,135555
2016-07-19,255.76,247.1,249.9,247.1,164,117046
2016-07-20,260.3,246.0,251.0,246.0,238,76433
2016-07-21,254.8,242.1,254.3,249.1,207,57637
2016-07-22,253.9,243.9,247.2,253.2,168,54748
2016-07-25,255.2,245.5,251.3,245.5,158,41326
2016-07-26,256.4,246.8,256.4,250.1,102,28007
2016-07-27,270.8,246.8,267.2,247.2,484,114436
2016-07-28,274.1,256.7,272.4,260.7,250,74489
2016-07-29,272.3,264.0,270.3,264.0,91,89627
2016-08-01,270.4,262.3,265.4,262.4,93,41483
2016-08-02,262.8,243.0,250.0,262.8,263,119270
2016-08-03,248.5,240.0,242.3,248.5,124,77331
2016-08-04,251.6,240.0,248.0,240.4,359,357999
2016-08-05,252.2,243.2,246.5,243.2,330,54983
2016-08-08,251.0,239.2,242.0,248.2,90,71309
2016-08-09,245.4,236.8,245.4,242.1664,161,89413
2016-08-10,244.9,236.9,240.1,239.5,143,93132
2016-08-11,250.7,241.8,246.2,242.8,161,75307
2016-08-12,251.0,242.3,250.0,251.0,105,47692
2016-08-15,248.9,240.8,245.3,241.8942,64,76879
2016-08-16,251.7,241.5,245.0,243.8,204,58855
2016-08-17,252.4,245.0,248.9,245.0,47,9869
2016-08-18,258.1,245.0,257.1,245.9,97,44466
2016-08-19,255.9,253.3,255.3,253.7,97,28801
2016-08-22,256.9,251.0,255.0,253.8,53,27016
2016-08-23,262.0,255.0,262.0,256.7,100,45015
2016-08-24,268.4,259.5,268.4,259.9,199,41285
2016-08-25,280.6,256.4,265.5,265.736,214,235018
2016-08-26,266.4,254.6,266.4,256.2,64,27124
2016-08-30,268.2,256.6,268.2,264.5,81,76314
2016-08-31,266.6,238.9,265.0,263.9,181,729087
2016-09-01,256.0,249.0,255.0,250.375,6856,21579939
2016-09-02,255.7,250.1,254.0,253.9,967,5684997
2016-09-05,259.6,253.5,255.0,256.203,155,104642
2016-09-06,265.6,253.6,265.6,255.0,248,305405
2016-09-07,263.2,253.0,260.0,262.0,182,61201
2016-09-08,266.0,255.0,260.0,262.5044,540,1924333
2016-09-09,263.8,257.0,260.0,259.0,314,266140
2016-09-12,262.0,257.7,259.9,257.7,205,196384
2016-09-13,261.0,257.7,260.0,257.92,158,270014
2016-09-14,265.0,258.4,262.2,261.6648,281,560611
2016-09-15,267.8,257.0,262.0,267.8,327,264299
2016-09-16,270.3,261.0,267.7,265.5,921,5308123
2016-09-19,284.7,266.3,275.0,274.6,321,159588
2016-09-20,280.9,270.4,279.0,277.0,257,1126181
2016-09-21,279.0,270.8,273.2,273.3,195,112394
2016-09-22,272.236,265.1,269.5,270.1,313,186861
2016-09-23,270.2,265.2,268.0,270.2,207,67212
2016-09-26,270.1,261.7,269.9,265.0,840,1311686
2016-09-27,273.3,265.0,270.6,265.0,473,269862
2016-09-28,279.0,265.0,277.4,265.0,162,77818
2016-09-29,291.4,275.2,283.5,281.9,244,98679
2016-09-30,283.9,274.1,281.0,279.0,255,93292
2016-10-03,294.2,279.8,287.5,281.1,366,163795
2016-10-04,297.4,279.9,282.8,280.4,860,694868
2016-10-05,290.9,279.2,286.1,281.2,286,373894
2016-10-06,286.0,280.0,285.4,281.8,267,691717
2016-10-07,286.0,280.0,284.3,281.6,319,755252
2016-10-10,285.9,275.5,281.9,277.7,257,85923
2016-10-11,284.9,275.5,284.8,275.5,448,233631
2016-10-12,289.8,280.2,283.7,286.0,233,89891
2016-10-13,286.0,279.1,286.0,279.1,261,436923
2016-10-14,287.0,279.3,286.3,285.0,431,224401
2016-10-17,290.0,277.4,284.0,277.4,301,138030
2016-10-18,299.9,277.4,288.1,277.4,341,162802
2016-10-19,291.1,282.5,289.7,289.1,249,84652
2016-10-20,291.1,282.1,287.3,291.1,361,158843
2016-10-21,291.0,280.7,288.2,280.7,124,191643
2016-10-24,290.6,282.0,287.2,282.0,108,38482
2016-10-25,295.2,283.7,289.6,284.8,254,61541
2016-10-26,291.1,282.8,285.7,291.1,139,69648
2016-10-27,290.6,276.9,287.0,290.6,236,61560
2016-10-28,291.0,278.1,288.2,288.164,295,124177
2016-10-31,291.9,283.0,288.5,283.2,406,240166
2016-11-01,291.1,282.0,285.9,290.0,247,95304
2016-11-02,296.2,282.1,289.9,282.1,399,97392
2016-11-03,310.5,290.4,291.4,295.8,596,714196
2016-11-04,295.7,282.3,287.7,295.7,451,110177
2016-11-07,295.0,286.8,294.8,295.0,371,862808
2016-11-08,295.0,286.4,291.7,286.4,176,32023
2016-11-09,295.0,291.0,295.0,295.0,296,121699
2016-11-10,301.7,291.9,297.9,291.9,439,189020
2016-11-11,296.3,285.2,290.0,290.5,414,156099
2016-11-14,290.5,282.4,284.8,285.5,305,104204
2016-11-15,290.0,278.3,280.0,290.0,247,61484
2016-11-16,287.3,280.8,282.0,284.8,340,100772
2016-11-17,290.1,283.6,284.3,286.6,304,53184
2016-11-18,288.236,282.6,283.6,288.236,181,57887
2016-11-21,288.0,279.9,282.0,288.0,304,84263
2016-11-22,289.0,276.6,277.6,288.7,291,63112
2016-11-23,286.2,275.4,280.3,286.2,192,30975
2016-11-24,284.9,273.3,275.3,284.9,237,36032
2016-11-25,279.8,273.9,276.7,273.9,160,16019
2016-11-28,279.1,268.9,277.3,271.9,258,160883
2016-11-29,279.7,271.5,277.5,271.8,231,379009
2016-11-30,278.4,271.9,276.3,278.4,259,54626
2016-12-01,266.0,258.0,265.1,260.0,4151,17880890
2016-12-02,265.5,260.260004,265.0,262.8,1268,2662045
2016-12-05,265.2,260.260007,265.0,263.2,346,925945
2016-12-06,267.0,261.716,266.3,263.9,810,2762002
2016-12-07,266.0,255.2,263.0,265.4,684,302468
2016-12-08,266.5,261.966,264.5,261.966,390,519665
2016-12-09,268.9,260.0,265.1,260.0,528,428835
2016-12-12,268.1,259.1,267.0,268.1,650,288597
2016-12-13,269.1,265.8,268.7,267.1,791,484114
2016-12-14,269.4,262.9,267.0,269.4,531,204475
2016-12-15,268.9,265.0,268.9,265.0,1146,603304
2016-12-16,270.4,264.1,264.1,270.4,1152,2643317
2016-12-19,278.3,265.4,265.5,265.4,939,446587
2016-12-20,267.9,261.2,265.2,261.2,922,216274
2016-12-21,269.0,262.8,265.3,266.0,259,77863
2016-12-22,268.9,265.2,267.8,268.7,141,37065
2016-12-23,273.8,269.2,269.9,271.4,510,292987
2016-12-28,271.7,267.0,270.0,271.7,431,141179
2016-12-29,270.4,267.5,267.9,270.4,570,517864
2016-12-30,271.5,267.7,269.9,271.5,137,419086
2017-01-03,275.0,268.7,269.9,268.7,215,643111
2017-01-04,270.8466,268.0,268.0,268.5,675,287725
2017-01-05,275.0,269.7,273.1,269.9,352,268075
2017-01-06,280.2,270.3,278.9,270.3,295,396548
2017-01-09,287.6209,278.3,283.0,283.8786,277,104046
2017-01-10,288.3,276.3,283.0,276.3,386,136134
2017-01-11,285.804,276.5,279.5,276.5,583,186420
2017-01-12,286.4,279.9,281.9,282.0,178,79331
2017-01-13,295.5,280.4,291.4,295.5,375,3843791
2017-01-16,297.714,291.6,296.2,297.3,457,780750
2017-01-17,299.9,289.0,293.9,289.0,1376,442869
2017-01-18,296.2,289.6,293.5,292.5,1239,650393
2017-01-19,293.6,290.0,292.5,292.1981,1054,632322
2017-01-20,297.9,290.1,292.4,291.4,347,140169
2017-01-23,296.0749,286.3,293.9,286.3,585,182815
2017-01-24,295.8,289.8,290.7,292.5,643,251362
2017-01-25,289.796,280.1,288.0,289.6,303,126598
2017-01-26,290.5,287.8,289.0,288.5,282,77151
2017-01-27,290.0,288.8,289.0,289.0,338,158965
2017-01-30,290.0,288.5,288.5,290.0,219,104039
2017-01-31,288.5,285.1,286.1,288.4,529,85567
2017-02-01,291.4,285.3202,288.5,291.4,335,764773
2017-02-02,295.9,282.3,288.7,295.9,281,84049
2017-02-03,293.4,287.7,292.0,291.0,192,586618
2017-02-06,294.4,283.6,289.9,294.4,243,243713
