Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2000-04-10,1400.0,1175.0,1212.5,1360.0,,838500.6
2000-04-11,1190.0,925.0,970.0,1150.0,,339607.4
2000-04-12,975.0,860.0,912.5,975.0,,65164.0
2000-04-13,875.0,700.0,762.5,875.0,,88021.8
2000-04-14,775.0,750.0,762.5,750.0,,6321.0
2000-04-17,700.0,650.0,687.5,700.0,,10887.6
2000-04-18,750.0,700.0,732.5,722.5,,430950.2
2000-04-19,835.0,750.0,822.5,750.0,,38610.8
2000-04-20,865.0,825.0,862.5,835.0,,27976.2
2000-04-25,860.0,850.0,855.0,850.0,,18788.0
2000-04-26,925.0,885.0,932.5,900.0,,139296.2
2000-04-27,950.0,930.0,937.5,950.0,,6788.8
2000-04-28,975.0,925.0,950.0,960.0,,8281.0
2000-05-02,975.0,935.0,955.0,975.0,,2089.4
2000-05-03,965.0,938.75,952.5,961.25,,14532.2
2000-05-04,965.0,940.0,952.5,940.0,,248963.0
2000-05-05,965.0,940.0,952.5,965.0,,387019.0
2000-05-08,950.0,940.0,955.0,940.0,,238701.0
2000-05-09,990.0,950.0,982.5,950.0,,10570.8
2000-05-10,1070.0,990.0,1062.5,996.25,,110307.4
2000-05-11,1050.0,975.0,1000.0,1050.0,,8965.8
2000-05-12,1025.0,980.0,995.0,1015.0,,5146.0
2000-05-15,990.0,980.0,995.0,980.0,,98094.0
2000-05-16,1000.0,975.0,992.5,975.0,,44800.0
2000-05-17,965.0,950.0,950.0,965.0,,4989.0
2000-05-18,935.0,925.0,937.5,930.0,,1766.8
2000-05-19,950.0,900.0,917.5,950.0,,5401.0
2000-05-22,911.25,860.0,847.5,875.0,,6776.0
2000-05-23,835.0,800.0,832.5,825.0,,11050.0
2000-05-24,800.0,775.0,805.0,780.0,,4264.0
2000-05-25,790.0,785.0,805.0,790.0,,1149.0
2000-05-26,820.0,740.0,800.0,820.0,,2400.0
2000-05-30,785.0,775.0,792.5,785.0,,5000.0
2000-05-31,,,792.5,,,
2000-06-01,806.25,775.0,792.5,806.25,,1369.0
2000-06-02,850.0,800.0,837.5,805.0,,19152.2
2000-06-05,865.0,835.0,855.0,835.0,,3020.0
2000-06-06,852.5,840.0,857.5,840.0,,5700.0
2000-06-07,843.75,840.0,857.5,843.75,,3370.0
2000-06-08,875.0,840.0,857.5,875.0,,12961.4
2000-06-09,875.0,852.5,862.5,875.0,,366.0
2000-06-12,855.0,855.0,862.5,855.0,,150.0
2000-06-13,852.5,840.0,852.5,852.5,,1258.6
2000-06-14,895.0,840.0,875.0,840.0,,382636.8
2000-06-15,895.0,870.0,875.0,885.0,,867.0
2000-06-16,900.0,890.0,887.5,890.0,,1388.8
2000-06-19,900.0,875.0,887.5,895.0,,8889.0
2000-06-20,900.0,885.0,900.0,900.0,,35000.0
2000-06-21,915.0,885.0,900.0,915.0,,128.0
2000-06-22,890.0,885.0,900.0,885.0,,10110.0
2000-06-23,887.5,880.0,897.5,885.0,,6571.4
2000-06-26,885.0,850.0,875.0,885.0,,7000.0
2000-06-27,875.0,850.0,875.0,875.0,,55000.0
2000-06-28,875.0,850.0,867.5,855.0,,4674.0
2000-06-29,885.0,850.0,867.5,850.0,,2448.0
2000-06-30,885.0,855.0,867.5,867.5,,51269.6
2000-07-03,877.5,850.0,867.5,853.75,,126489.0
2000-07-04,875.0,875.0,867.5,875.0,,400.0
2000-07-05,853.75,850.0,867.5,853.75,,3640.0
