Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2007-02-02,197.5,192.5,197.5,192.5,,25705
2007-02-05,,,197.5,,,
2007-02-06,,,196.0,,,
2007-02-07,,,196.0,,,
2007-02-08,,,196.0,,,
2007-02-09,,,196.0,,,
2007-02-12,197.5,196.0,197.5,196.0,,600
2007-02-13,,,197.5,,,
2007-02-14,,,200.5,,,
2007-02-15,,,200.5,,,
2007-02-16,201.0,201.0,201.0,201.0,,5000
2007-02-19,,,203.5,,,
2007-02-20,,,204.5,,,
2007-02-21,,,204.5,,,
2007-02-22,,,205.5,,,
2007-02-23,,,204.5,,,
2007-02-26,,,203.5,,,
2007-02-27,,,201.5,,,
2007-02-28,,,196.0,,,
2007-03-01,198.0,197.5,198.0,197.5,,111111
2007-03-02,,,198.0,,,
2007-03-05,,,197.0,,,
2007-03-06,,,196.5,,,
2007-03-07,196.5,195.5,195.5,196.5,,5000
2007-03-08,,,196.5,,,
2007-03-09,,,195.5,,,
2007-03-12,199.0,196.5,199.0,196.5,,1500
2007-03-13,200.0,199.0,200.0,199.0,,3000
2007-03-14,200.0,198.5,198.5,200.0,,51672
2007-03-15,198.5,198.5,198.5,198.5,,73000
2007-03-16,,,198.5,,,
2007-03-19,,,197.5,,,
2007-03-20,,,195.0,,,
2007-03-21,,,194.0,,,
2007-03-22,,,195.5,,,
2007-03-23,,,195.5,,,
2007-03-26,,,195.5,,,
2007-03-27,,,196.0,,,
2007-03-28,,,196.0,,,
2007-03-29,,,196.0,,,
2007-03-30,,,196.0,,,
2007-04-02,196.0,196.0,196.0,196.0,,12800
2007-04-03,,,195.0,,,
2007-04-04,,,195.0,,,
2007-04-05,,,195.0,,,
2007-04-10,,,195.0,,,
2007-04-11,196.0,195.0,196.0,195.0,,75211
2007-04-12,,,196.0,,,
2007-04-13,,,196.5,,,
2007-04-16,,,197.0,,,
2007-04-17,,,197.0,,,
2007-04-18,,,197.0,,,
2007-04-19,,,197.0,,,
2007-04-20,,,197.5,,,
2007-04-23,,,216.5,,,
2007-04-24,237.5,226.5,231.5,226.5,,5400
2007-04-25,,,233.5,,,
2007-04-26,,,227.5,,,
2007-04-27,227.5,227.5,227.5,227.5,,5000
2007-04-30,,,213.5,,,
2007-05-01,,,213.5,,,
2007-05-02,,,213.5,,,
2007-05-03,,,216.5,,,
2007-05-04,,,217.5,,,
2007-05-08,,,222.0,,,
2007-05-09,223.5,223.5,223.5,223.5,,350
2007-05-10,,,216.5,,,
2007-05-11,,,216.5,,,
2007-05-14,,,216.5,,,
2007-05-15,,,220.5,,,
2007-05-16,,,220.5,,,
2007-05-17,,,220.5,,,
2007-05-18,,,223.5,,,
2007-05-21,,,224.0,,,
2007-05-22,,,223.5,,,
2007-05-23,224.5,224.5,224.5,224.5,,540000
2007-05-24,,,223.5,,,
2007-05-25,,,218.5,,,
2007-05-29,,,218.5,,,
2007-05-30,,,221.5,,,
2007-05-31,238.5,235.0,237.5,235.0,,1500
2007-06-01,240.0,237.5,240.0,239.0,,820
2007-06-04,,,241.5,,,
2007-06-05,,,237.5,,,
2007-06-06,,,232.5,,,
2007-06-07,,,233.5,,,
2007-06-08,,,236.5,,,
2007-06-11,,,239.0,,,
2007-06-12,,,241.0,,,
2007-06-13,,,241.0,,,
2007-06-14,,,242.5,,,
2007-06-15,,,247.5,,,
2007-06-18,249.0,247.5,249.0,248.5,,
2007-06-19,,,252.0,,,
2007-06-20,,,276.0,,,
2007-06-21,277.5,274.0,274.0,277.5,,400
2007-06-22,,,264.5,,,
2007-06-25,,,256.5,,,
