Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2023-04-04,16.77,16.0,17.125,17.0,9,3249696
2023-04-05,17.0,16.45,17.375,17.125,19,448555
2023-04-06,17.9875,16.947,17.625,17.375,15,138375
2023-04-11,21.78,18.24,21.0,18.0,253,4049968
2023-04-12,26.8,21.5,23.0,21.0,176,2196531
2023-04-13,23.98,20.34,22.5,23.0,54,306522
2023-04-14,25.48,22.989,24.2,22.5,56,1160829
2023-04-17,27.0,24.228,26.0,24.2,69,1007339
2023-04-18,27.0,24.15,24.5,26.0,81,1257372
2023-04-19,26.0,24.21,24.5,25.0,24,128677
2023-04-20,24.69,22.34,23.0,24.5,29,510891
2023-04-21,23.2,22.25,23.0,23.0,21,102342
2023-04-24,22.588,21.55,22.0,23.0,20,259360
2023-04-25,21.44,20.54,21.0,21.5,23,183565
2023-04-26,23.0,21.45,22.3,21.0,30,552689
2023-04-27,22.44,21.0,21.5,22.3,12,108863
2023-04-28,22.0,20.31,22.0,21.5,18,83829
2023-05-02,21.9,20.155,21.0,21.0,11,60971
2023-05-03,21.14,20.22,20.5,21.0,11,60979
2023-05-04,20.979,20.6,21.0,20.5,7,50517
2023-05-05,20.979,20.31,21.0,21.0,7,23559
2023-05-09,22.0,20.225,21.0,21.0,7,96353
2023-05-10,21.244,20.26,21.0,21.0,11,111262
2023-05-11,21.0,20.225,21.0,21.0,3,24833
2023-05-12,21.244,20.46,21.0,21.0,7,75135
2023-05-15,21.85,21.199,21.0,21.0,3,14931
2023-05-16,23.0,20.62,23.0,21.0,16,271830
2023-05-17,22.8,22.0,23.0,23.0,8,43737
2023-05-18,22.06,22.06,23.0,23.0,1,12500
2023-05-19,22.75,22.0,23.0,23.0,7,29227
2023-05-22,22.68,20.5,21.25,23.0,16,135510
2023-05-23,20.72,20.5,20.75,21.25,5,42776
2023-05-24,20.625,20.6,20.75,20.75,4,12071
2023-05-25,20.5,20.0,20.25,20.75,8,50582
2023-05-26,20.34,19.5,20.0,20.25,14,167491
2023-05-30,20.19,19.5,19.75,20.0,7,85718
2023-05-31,19.8,19.5,20.0,19.75,3,22525
2023-06-01,21.0,19.5,21.0,20.0,11,115313
2023-06-02,21.4,20.0,20.5,21.0,10,82828
2023-06-05,20.7,20.1,21.0,20.5,6,49210
2023-06-06,20.7,20.7,21.0,21.0,3,12845
2023-06-07,21.5,20.67,21.0,21.0,2,25409
2023-06-08,20.115,19.0,19.75,21.0,4,111549
2023-06-09,19.78,19.7,19.75,19.75,3,21749
2023-06-12,19.68,19.5,19.5,19.75,4,70727
2023-06-13,19.0,17.38,17.75,19.5,18,196176
2023-06-14,17.88,17.0,17.25,17.75,9,191024
2023-06-15,17.345,15.6727,16.5,17.25,14,284984
2023-06-16,15.4,14.255,14.25,16.5,20,175611
2023-06-19,17.4,14.44,15.5,14.5,36,481712
2023-06-20,15.88,15.1,15.5,15.5,9,499331
2023-06-21,16.0,15.36,16.0,15.5,12,330269
2023-06-22,16.38,16.05,16.0,16.0,3,11057
2023-06-23,16.199,15.688,16.0,16.0,4,32135
2023-06-26,16.13,15.62,16.0,16.0,6,90878
2023-06-27,15.55,15.05,15.0,16.0,8,91135
2023-06-28,,,15.0,,,
2023-06-29,15.0,14.5,15.0,15.25,7,635500
2023-06-30,14.6,14.5,15.0,15.0,2,10728
2023-07-03,14.5,14.1,14.5,15.0,5,63203
2023-07-04,14.5,14.44,14.5,14.75,4,60071
2023-07-05,14.34,13.1,13.4,14.75,13,230507
2023-07-06,14.595,13.12,13.75,13.5,12,213985
2023-07-07,15.225,14.21,14.75,14.25,9,61348
2023-07-10,15.41,15.225,14.75,14.75,3,37939
2023-07-11,14.32,14.225,14.75,14.75,2,34241
2023-07-12,15.1,14.111,14.85,14.75,6,61308
2023-07-13,15.1,15.1,14.75,14.75,1,16516
2023-07-14,15.185,15.177,15.0,14.75,2,13134
2023-07-17,16.615,16.095,16.5,15.75,12,114326
2023-07-18,16.6,16.6,16.5,16.5,2,1352
2023-07-19,17.0,16.115,17.0,16.5,4,33566
2023-07-20,16.11,16.11,16.5,16.5,1,25000
2023-07-21,17.0,16.4,16.5,16.5,2,35000
