Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-11-22,,6.575,,,,
2007-12-11,,6.595,,,1,8947
2007-12-20,,6.59,,,1,944
2008-01-08,,6.6249,,,1,17277
2008-01-10,,6.615,,,1,48104
2008-01-23,,6.6136,,,1,5579
2008-02-05,,6.648,,,1,455000
2008-02-06,,6.648,,,1,240000
2008-02-08,,6.64,,,,
2008-02-11,,6.6433,,,,
2008-02-13,,6.648,,,1,152335
2008-02-14,,6.6525,,,2,1546
2008-02-18,,6.653,,,1,389718
2008-02-21,,6.6663,,,3,4585
2008-02-22,,6.6633,,,1,288461
2008-02-26,,6.67,,,1,58000
2008-02-27,,6.6703,,,1,389235
2008-02-29,,6.675,,,1,302873
2008-03-04,,6.685,,,1,877000
2008-03-05,,6.6839,,,,
2008-03-13,,6.7071,,,1,2602274
2008-03-31,,6.6436,,,,
2008-04-07,,6.7101,,,1,73663
2008-04-08,,,,,1,
2008-04-11,,6.7186,,,,
