Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
2017-12-14,,,20.79,,,,8778184.0
2017-12-15,,,20.79,,,,8778184.0
2017-12-18,,,20.79,,,,8778184.0
2017-12-19,,,20.79,,,,8778184.0
2017-12-20,,,20.79,,,,8778184.0
2017-12-21,,,20.9,,,,8778184.0
2017-12-22,,,20.8,,,,8778184.0
2017-12-27,,,19.49,,,,8778184.0
2017-12-28,,,19.49,,,,8778184.0
2017-12-29,,,19.42,,,,8778184.0
2018-01-02,,,19.49,,,,8780926.0
2018-01-03,,,19.49,,,,8780926.0
2018-01-04,,,19.9,,,,8780926.0
2018-01-05,,,19.85,,,,8780926.0
2018-01-08,,,19.85,,,,8780926.0
2018-01-09,,,20.2,,,,8780926.0
2018-01-10,,,21.0,,,,8780926.0
2018-01-11,,,22.1,,,,8780926.0
2018-01-12,,,21.4,,,,8780926.0
2018-01-15,,,21.0,,,,8780926.0
2018-01-16,,,21.1,,,,8780926.0
2018-01-17,,,21.1,,,,8780926.0
2018-01-18,,,21.4,,,,8780926.0
2018-01-19,,,20.8,,,,8780926.0
2018-01-22,,,20.5,,,,8780926.0
2018-01-23,,,20.5,,,,8780926.0
2018-01-24,,,20.2,,,,8780926.0
2018-01-25,,,19.9,,,,8780926.0
2018-01-26,,,19.6,,,,8780926.0
2018-01-29,,,19.85,,,,8780926.0
2018-01-30,,,19.65,,,,8780926.0
2018-01-31,,,19.55,,,,8780926.0
2018-02-01,,,19.55,,,,8780926.0
2018-02-02,19.7,19.7,19.8,,1.0,4000.0,8780926.0
2018-02-05,,,19.55,,,,8780926.0
2018-02-06,,,19.4,,,,8780926.0
2018-02-07,,,19.2,,,,8780926.0
2018-02-08,,,19.4,,,,8780926.0
2018-02-09,,,19.5,,,,8780926.0
2018-02-12,,,19.45,,,,8780926.0
2018-02-13,,,19.45,,,,8780926.0
2018-02-14,,,19.4,,,,8780926.0
2018-02-15,,,19.3,,,,8780926.0
2018-02-16,,,19.55,,,,8780926.0
2018-02-19,,,19.8,,,,8780926.0
2018-02-20,,,19.45,,,,8780926.0
2018-02-21,,,19.35,,,,8780926.0
2018-02-22,,,19.2,,,,8780926.0
2018-02-23,,,19.2,,,,8780926.0
2018-02-26,,,19.05,,,,8780926.0
2018-02-27,,,18.8,,,,8780926.0
2018-02-28,,,19.8,,,,8780926.0
2018-03-01,,,19.55,,,,8780926.0
2018-03-02,,,19.25,,,,8780926.0
2018-03-05,,,19.25,,,,8780926.0
2018-03-06,,,19.25,,,,8780926.0
2018-03-07,,,19.2,,,,8780926.0
2018-03-08,,,19.4,,,,8780926.0
2018-03-09,,,19.6,,,,8780926.0
2018-03-12,,,19.35,,,,8780926.0
2018-03-13,,,19.45,,,,8780926.0
2018-03-14,,,19.35,,,,8780926.0
2018-03-15,,,19.0,,,,8780926.0
2018-03-16,,,18.55,,,,8780926.0
2018-03-19,,,18.4,,,,8780926.0
2018-03-20,,,18.2,,,,8780926.0
2018-03-21,,,18.0,,,,8780926.0
2018-03-22,,,17.85,,,,8780926.0
2018-03-23,,,17.7,,,,8780926.0
2018-03-26,,,17.55,,,,8780926.0
2018-03-27,,,17.25,,,,8780926.0
2018-03-28,,,17.25,,,,8780926.0
2018-03-29,,,16.8,,,,8780926.0
2018-04-03,,,16.75,,,,8780926.0
2018-04-04,,,16.6,,,,8780926.0
2018-04-05,,,16.35,,,,8780926.0
2018-04-06,,,16.4,,,,8780926.0
2018-04-09,,,16.5,,,,8780926.0
2018-04-10,,,17.2,,,,8780926.0
2018-04-11,,,17.2,,,,8780926.0
2018-04-12,,,17.25,,,,8780926.0
2018-04-13,,,17.25,,,,8780926.0
2018-04-16,,,17.35,,,,8780926.0
2018-04-17,,,17.4,,,,8780926.0
2018-04-18,,,17.4,,,,8780926.0
2018-04-19,,,17.5,,,,8780926.0
2018-04-20,,,17.6,,,,8780926.0
2018-04-23,,,18.5,,,,8780926.0
2018-04-24,,,18.65,,,,8780926.0
2018-04-25,,,18.6,,,,8780926.0
2018-04-26,,,18.65,,,,8780926.0
2018-04-27,,,18.6,,,,8780926.0
2018-04-30,,,18.5,,,,8780926.0
2018-05-01,,,18.1,,,,8780926.0
2018-05-02,,,18.1,,,,8780926.0
2018-05-03,,,18.3,,,,8780926.0
2018-05-04,,,18.5,,,,8780926.0
2018-05-08,,,19.35,,,,8780926.0
2018-05-09,,,19.4,,,,8780926.0
2018-05-10,,,19.45,,,,8780926.0
2018-05-11,,,19.55,,,,8780926.0
2018-05-14,,,19.65,,,,8780926.0
2018-05-15,,,19.7,,,,8780926.0
2018-05-16,,,19.7,,,,8780926.0
2018-05-17,,,19.75,,,,8780926.0
2018-05-18,,,19.75,,,,8780926.0
2018-05-21,,,19.9,,,,8780926.0
2018-05-22,,,20.0,,,,8780926.0
2018-12-13,11.1,11.1,,,2.0,4600.0,8779367.0
2019-04-16,24.05,24.05,,,1.0,24.0,8779553.0
2019-06-14,25.8,25.8,,,1.0,371.0,8779553.0
2019-07-05,25.288,25.288,,,1.0,28674.0,8781765.0
2019-07-22,23.49765,23.49765,,,1.0,125.0,8781765.0
2019-07-23,23.20091,23.20091,,,1.0,124.0,8781765.0
