Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-11-02,,11.96,,,,
2007-11-08,,11.556,,,,
2007-11-09,,11.518,,,,
2007-11-22,,10.76,,,,
2007-11-28,,10.59,,,,
2007-11-29,,10.89,,,,
2007-12-03,,10.91,,,,
2007-12-05,,10.9354,,,1,2730
2007-12-06,,11.2662,,,,
2007-12-07,,11.0253,,,,
2007-12-12,,11.3574,,,1,3430
2007-12-13,,11.31,,,1,1
2007-12-19,,10.58,,,1,30235
2007-12-20,,10.62,,,1,493
2007-12-21,,10.748,,,2,90378
2007-12-27,,10.5843,,,1,732
2007-12-28,,10.52,,,1,396
2007-12-31,,10.5122,,,,
2008-01-01,,10.5122,,,,
2008-01-02,,10.28,,,1,503
2008-01-03,,9.9897,,,1,1167
2008-01-07,,9.71,,,2,1238
2008-01-08,,9.7,,,1,121
2008-01-09,,9.4066,,,2,63463
2008-01-10,,9.52,,,1,157
2008-01-11,,9.71,,,1,250
2008-01-14,,9.87,,,1,300
2008-01-16,,9.39,,,1,158
2008-01-17,,9.75,,,2,1053
2008-01-18,,9.78,,,1,128
2008-01-21,,9.52,,,1,296
2008-01-22,,9.554,,,1,500000
2008-01-23,,9.5612,,,,
2008-01-25,,9.69,,,1,664
2008-01-28,,9.51,,,2,2868
2008-01-29,,9.76,,,3,4972
2008-01-30,,9.685,,,2,5612
2008-01-31,,9.69,,,5,15347
2008-02-01,,9.97,,,2,1327
2008-02-04,,10.18,,,1,792
2008-02-05,,10.0339,,,1,405
2008-02-08,,9.64,,,1,147379
2008-02-11,,9.71,,,1,147379
2008-02-15,,9.75,,,1,3976
2008-02-19,,10.132,,,1,99000
2008-02-20,,10.1636,,,2,25328
2008-02-21,,10.4717,,,2,42796
2008-02-22,,10.26,,,2,117153
2008-02-25,,10.41,,,3,18137
2008-02-27,,10.9886,,,,
2008-02-28,,10.85,,,1,86
2008-02-29,,10.62,,,2,31078
2008-03-03,,10.3193,,,4,23066
2008-03-04,,10.04,,,1,472
2008-03-05,,9.7828,,,4,467324
2008-03-06,,9.8325,,,1,808
2008-03-07,,9.5838,,,1,115
2008-03-11,,9.4223,,,1,10028
2008-03-12,,9.5301,,,1,218
2008-03-13,,9.2755,,,3,21079
2008-03-14,,9.3544,,,4,170391
2008-03-17,,9.0853,,,1,685
2008-03-18,,9.1783,,,2,12254
2008-03-19,,9.2699,,,1,165
2008-03-20,,9.299,,,1,424
2008-03-26,,9.4102,,,2,16588
2008-03-27,,9.386,,,,
2008-03-28,,9.5001,,,2,776
2008-03-31,,9.4152,,,3,29732
2008-04-01,,9.3706,,,16,19200
2008-04-02,,9.435,,,5,4292
2008-04-03,,9.46,,,1,173
2008-04-04,,9.4364,,,1,413
2008-04-07,,9.466,,,1,192
2008-04-08,,9.3011,,,1,282
2008-04-09,,9.5182,,,2,12070
2008-04-10,,9.4017,,,1,94
2008-04-11,,9.34,,,2,1051
