Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2018-01-25,2.14,2.14,,,1,6009
2018-01-29,1.93,1.93,,,1,7695
2018-04-05,1.7222,1.7222,,,1,2100
2018-04-11,1.8772,1.8772,,,1,2200
2018-04-13,1.9481,1.9481,1.84,,1,2298
2018-04-16,1.9685,1.9685,1.94,,1,1831
2018-04-17,,,1.92,,,
2018-04-18,2.0498,2.0498,1.94,,1,3432
2018-04-19,,,2.06,,,
2018-04-20,2.0089,2.0089,2.04,,1,980
2018-04-23,,,2.02,,,
2018-04-24,,,1.94,,,
2018-04-25,,,1.96,,,
2018-04-26,,,1.93,,,
2018-04-27,,,1.98,,,
2018-04-30,,,1.97,,,
2018-05-01,,,1.89,,,
2018-05-02,,,1.89,,,
2018-05-03,,,1.93,,,
2018-05-04,,,1.93,,,
2018-05-08,,,1.96,,,
2018-05-09,,,1.92,,,
2018-05-10,,,1.87,,,
2018-05-11,,,1.91,,,
2018-05-14,1.86116,1.86116,1.88,,1,2000
2018-05-15,1.75118,1.7511,1.82,,2,4500
2018-05-16,,,1.77,,,
2018-05-17,,,1.78,,,
2018-05-18,,,1.77,,,
2018-05-21,,,1.81,,,
2018-05-22,1.81014,1.81014,1.81,,1,700
2018-05-31,1.76004,1.76004,,,1,500
2018-06-04,1.75992,1.75992,,,1,719
2018-06-08,1.73997,1.73997,,,1,2298
2018-06-12,1.79003,1.79003,,,1,3880
2018-06-25,1.75001,1.74019,,,2,7993
2018-06-26,1.69006,1.69006,,,1,5000
2018-06-29,1.71999,1.71999,,,1,1311
2018-07-04,1.84011,1.84011,,,1,4719
2018-07-10,1.88937,1.88937,,,1,1845
2018-07-30,1.55992,1.55992,,,1,1000
2018-07-31,1.55996,1.55994,,,2,5391
2018-08-07,1.58994,1.58994,,,1,1351
2018-08-10,1.60019,1.60015,,,2,2085
2018-08-13,1.42005,1.41998,,,2,10333
2018-08-14,1.41008,1.41008,,,1,3747
2018-08-15,1.3701,1.3701,,,1,500
2018-08-16,1.39997,1.39997,,,1,400
2018-09-26,1.37007,1.37007,,,1,12
2018-10-03,1.35003,1.35003,,,1,5840
2018-10-10,1.34993,1.34993,,,1,31250
2018-10-11,1.36997,1.36996,,,2,10000
2018-10-24,1.43,1.43,,,1,10000
2018-10-29,1.22,1.21996,,,2,8888
2018-10-30,1.25008,1.25008,,,1,846
2018-11-16,1.06012,1.06012,,,1,3192
2018-11-27,1.01999,1.01999,,,1,1623
2018-12-05,1.05016,1.05016,,,1,945
2018-12-21,1.17994,1.17994,,,1,1832
2019-01-04,1.26998,1.26998,,,1,33304
2019-01-07,1.32997,1.32997,,,1,2552
2019-01-18,1.26997,1.26997,,,1,605
2019-01-21,1.18003,1.18003,,,1,2354
2019-01-22,1.25006,1.25006,,,1,1686
2019-01-24,1.19389,1.19389,,,1,1750
2019-01-30,1.34994,1.34994,,,1,2522
2019-01-31,1.48018,1.48018,,,1,4580
2019-02-04,1.51004,1.51004,,,1,17688
2019-02-05,1.56992,1.54018,,,3,4596
2019-02-06,1.65003,1.62,,,4,17655
2019-02-08,1.58997,1.58997,,,1,1142
2019-02-11,1.64005,1.62995,,,2,883
2019-02-13,1.61002,1.61002,,,1,511
2019-02-15,1.70013,1.66994,,,4,12007
2019-02-19,1.83996,1.82003,,,3,1776
2019-02-20,1.85005,1.79007,,,3,3816
2019-02-21,1.76984,1.76984,,,1,300
2019-03-06,1.61996,1.61996,,,1,528
2019-03-08,1.72015,1.70001,,,2,3012
2019-03-11,1.75012,1.75012,,,1,1000
2019-03-13,1.83986,1.82992,,,2,6688
2019-03-14,1.71995,1.71995,,,1,1453
2019-03-18,1.72011,1.72011,,,1,513
2019-03-19,1.7469,1.7469,,,1,10000
2019-03-21,1.73015,1.73015,,,1,1311
2019-03-22,1.72131,1.72131,,,1,1370
2019-04-03,1.43993,1.43,,,4,12433
2019-04-05,1.42987,1.42987,,,1,1495
2019-04-08,1.42994,1.42994,,,1,373
2019-04-12,1.40996,1.38992,,,3,3465
2019-04-17,1.31994,1.31993,,,2,1375
2019-04-23,1.33001,1.32995,,,2,299
2019-04-25,1.35005,1.35005,,,1,5093
2019-04-26,1.41008,1.41008,,,1,1233
2019-05-08,1.44014,1.44003,,,2,4200
2019-05-13,1.40993,1.40993,,,1,3762
2019-05-15,1.42001,1.42001,,,1,2448
2019-05-31,1.38999,1.38999,,,1,858
2019-06-03,1.58999,1.58999,,,1,517
2019-06-14,1.39016,1.38991,,,3,625
2019-06-17,1.33007,1.33007,,,1,1268
2019-06-20,1.49014,1.49014,,,1,563
2019-06-21,1.49002,1.49002,,,1,1660
2019-06-24,1.58004,1.51998,,,4,7592
2019-06-25,1.58004,1.58004,,,1,2000
2019-06-27,1.53996,1.53996,,,1,1059
2019-07-02,1.49007,1.47989,,,2,1752
2019-07-04,1.56003,1.56003,,,1,608
2019-07-10,1.44015,1.44015,,,1,2250
2019-07-17,1.79008,1.79008,,,1,362
2019-07-18,2.06995,1.94001,,,5,7677
2019-07-19,2.1,2.1,,,1,1317
2019-07-22,2.21998,2.12006,,,10,8714
2019-07-23,2.44,2.36997,,,7,9022
2019-07-24,2.35007,2.35002,,,2,4495
2019-07-30,2.32008,2.32008,,,1,1361
2019-07-31,2.31,2.26009,,,4,13614
2019-08-01,2.13981,2.13981,,,1,591
2019-08-06,2.31024,2.22888,,,6,4533
2019-08-07,2.54008,2.46005,,,5,8015
2019-08-08,2.45005,2.40008,,,3,3668
2019-08-09,2.46002,2.43005,,,4,2909
2019-09-19,2.66005,2.66005,,,1,1000
2019-09-24,2.70994,2.63003,,,3,43030
2019-09-26,2.64001,2.64001,,,1,3952
2019-09-30,2.47008,2.46007,,,2,3338
2019-10-01,2.45008,2.45008,,,1,1198
2019-10-02,2.41998,2.39986,,,3,1799
2019-10-03,2.33003,2.33003,,,1,708
2019-10-07,2.38,2.38,,,1,1940
2019-10-15,2.21005,2.21005,,,1,590
2019-10-16,2.18014,2.18012,,,2,35147
2019-10-18,2.42015,2.39983,,,2,4050
2019-10-23,2.29014,2.29014,,,1,538
2019-10-24,2.43005,2.34991,,,2,1927
2019-10-25,2.6902,2.59004,,,3,2297
2019-10-30,2.37995,2.37995,,,1,640
2019-10-31,2.57004,2.48,,,4,4673
2019-11-01,2.44019,2.44001,,,2,919
2019-11-06,2.26008,2.24007,,,2,1280
2019-11-08,2.14023,2.14023,,,1,1425
2019-11-13,2.31985,2.31985,,,1,2000
2019-11-18,2.22995,2.22995,,,1,460
2019-11-19,2.27997,2.20992,,,2,846
2019-11-26,2.20993,2.1498,,,2,10776
2019-11-29,2.36993,2.26996,,,3,3125
2019-12-02,2.38021,2.27993,,,3,6185
2019-12-04,2.68003,2.68003,,,1,1272
2019-12-05,2.74,2.74,,,1,2728
2019-12-11,2.69006,2.68985,,,2,6505
2019-12-17,2.50984,2.46012,,,2,2301
2019-12-20,2.69012,2.65007,,,4,3146
2019-12-23,2.75007,2.75007,,,1,1856
2019-12-27,3.05003,3.00971,,,4,5347
2020-01-02,3.06005,2.96002,,,3,25584
2020-01-03,3.00987,2.98993,,,2,2105
2020-01-06,2.75,2.69008,,,2,3461
2020-01-08,2.77031,2.77031,,,1,1098
2020-01-13,2.46994,2.42019,,,4,5708
