Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2001-12-01,130.0,127.75,,,,
2005-02-18,126.5,119.5,123.5,119.5,,4273964
2005-02-21,124.5,123.5,124.5,123.5,,343475
2005-02-22,130.0,124.5,125.5,124.5,,1207071
2005-02-23,125.5,125.5,125.5,125.5,,9150
2005-02-24,125.5,125.0,125.0,125.5,,628644
2005-02-25,125.0,125.0,125.0,125.0,,12189
2005-02-28,125.0,125.0,125.0,125.0,,10481
2005-03-01,125.0,125.0,125.0,125.0,,156000
2005-03-02,125.0,125.0,125.0,125.0,,38330
2005-03-03,125.0,125.0,125.0,125.0,,11215
2005-03-04,125.5,125.0,125.5,125.0,,121745
2005-03-07,125.5,125.5,125.5,125.5,,8000
2005-03-08,125.5,125.5,125.5,125.5,,36843
2005-03-09,125.0,125.0,125.0,125.0,,1165000
2005-03-10,125.0,125.0,125.0,125.0,,15000
2005-03-11,,,125.5,,,
2005-03-14,125.5,125.5,125.5,125.5,,34000
2005-03-15,125.5,125.5,125.5,125.5,,5191
2005-03-16,125.5,123.5,123.5,125.5,,21500
2005-03-17,123.5,122.5,123.5,123.5,,13579
2005-03-18,123.5,123.5,123.5,123.5,,137125
2005-03-21,123.5,123.5,123.5,123.5,,262767
2005-03-22,124.5,123.5,124.5,123.5,,20000
2005-03-23,124.5,124.5,124.5,124.5,,525840
2005-03-24,,,124.5,,,
2005-03-29,124.5,124.5,124.5,124.5,,15977
2005-03-30,124.5,124.5,124.5,124.5,,400625
2005-03-31,124.5,124.5,124.5,124.5,,200
2005-04-01,,,124.5,,,
2005-04-04,124.5,124.5,124.5,124.5,,411240
2005-04-05,124.5,122.5,122.5,124.5,,1000
2005-04-06,120.5,120.5,120.5,120.5,,16154
2005-04-07,120.5,120.5,120.5,120.5,,214000
2005-04-08,,,120.5,,,
2005-04-11,,,120.5,,,
2005-04-12,,,120.5,,,
2005-04-13,,,120.5,,,
2005-04-14,120.5,120.5,120.5,120.5,,500
2005-04-15,,,120.5,,,
2005-04-18,120.5,120.5,120.5,120.5,,44347
2005-04-19,121.5,120.0,120.0,121.5,,11750
2005-04-20,120.0,118.5,118.5,120.0,,13480
2005-04-21,116.5,115.5,115.5,116.5,,37000
2005-04-22,,,115.0,,,
2005-04-25,115.0,115.0,115.0,115.0,,40000
2005-04-26,,,115.0,,,
2005-04-27,114.5,114.5,114.5,114.5,,500
2005-04-28,,,114.5,,,
2005-04-29,114.5,114.5,114.5,114.5,,800
2005-05-03,,,114.5,,,
2005-05-04,,,114.5,,,
2005-05-05,,,114.5,,,
2005-05-06,,,114.5,,,
2005-05-09,114.5,114.5,114.5,114.5,,6270
2005-05-10,,,114.5,,,
2005-05-11,114.5,114.5,114.5,114.5,,2950
2005-05-12,,,114.5,,,
2005-05-13,114.5,114.5,114.5,114.5,,30000
2005-05-16,114.5,114.5,114.5,114.5,,430
2005-05-17,,,114.5,,,
2005-05-18,,,114.5,,,
2005-05-19,,,114.5,,,
2005-05-20,,,114.5,,,
2005-05-23,,,114.5,,,
2005-05-24,,,114.5,,,
2005-05-25,,,114.5,,,
2005-05-26,,,114.5,,,
2005-05-27,,,114.5,,,
2005-05-31,,,114.5,,,
2005-06-01,,,114.5,,,
2005-06-02,,,114.5,,,
2005-06-03,114.5,114.5,114.5,114.5,,3500
2005-06-06,116.5,116.5,116.5,116.5,,50361
2005-06-07,116.5,116.5,116.5,116.5,,5422
2005-06-08,116.5,116.5,116.5,116.5,,25000
2005-06-09,,,115.5,,,
2005-06-10,,,115.5,,,
2005-06-13,115.5,115.5,115.5,115.5,,1000
2005-06-14,,,115.5,,,
2005-06-15,115.5,115.5,115.5,115.5,,90
2005-06-16,,,115.5,,,
2005-06-17,,,115.5,,,
2005-06-20,,,115.5,,,
2005-06-21,,,115.5,,,
2005-06-22,,,115.5,,,
2005-06-23,,,115.5,,,
2005-06-24,,,115.5,,,
2005-06-27,,,115.5,,,
2005-06-28,,,115.5,,,
2005-06-29,,,115.5,,,
2005-06-30,,,115.5,,,
2005-07-01,115.5,115.5,115.5,115.5,,13000
2005-07-04,115.5,115.0,115.0,115.5,,13330
2005-07-05,,,115.0,,,
2005-07-06,,,115.0,,,
2005-07-07,,,114.5,,,
2005-07-08,,,114.5,,,
2005-07-11,,,114.5,,,
2005-07-12,,,114.5,,,
2005-07-13,,,114.5,,,
2005-07-14,,,114.5,,,
2005-07-15,,,114.5,,,
2005-07-18,,,114.5,,,
2005-07-19,114.5,114.5,114.5,114.5,,30000
2005-07-20,,,114.5,,,
2005-07-21,113.5,113.5,113.5,113.5,,1700
2005-07-22,115.0,113.5,115.0,113.5,,22000
2005-07-25,,,115.0,,,
2005-07-26,,,115.0,,,
2005-07-27,,,115.0,,,
2005-07-28,,,115.0,,,
2005-07-29,,,115.0,,,
2005-08-01,115.0,113.5,113.5,115.0,,15312
2005-08-02,,,113.5,,,
2005-08-03,,,113.5,,,
2005-08-04,,,113.5,,,
2005-08-05,,,113.5,,,
2005-08-08,,,113.5,,,
2005-08-09,,,113.5,,,
2005-08-10,,,113.5,,,
2005-08-11,,,113.5,,,
2005-08-12,,,113.5,,,
2005-08-15,113.5,113.5,113.5,113.5,,859
2005-08-16,,,113.5,,,
2005-08-17,,,113.5,,,
2005-08-18,,,113.5,,,
2005-08-19,,,113.5,,,
2005-08-22,113.5,113.5,113.5,113.5,,18000
2005-08-23,,,113.5,,,
2005-08-24,,,113.5,,,
2005-08-25,,,113.5,,,
2005-08-26,,,113.5,,,
2005-08-30,,,113.5,,,
2005-08-31,,,113.5,,,
2005-09-01,,,113.5,,,
2005-09-02,113.5,113.5,113.5,113.5,,422
2005-09-05,113.5,113.5,113.5,113.5,,869
2005-09-06,113.5,113.5,113.5,113.5,,230
2005-09-07,113.5,113.5,113.5,113.5,,3385
2005-09-08,113.5,112.5,112.5,113.5,,3000
2005-09-09,,,112.5,,,
2005-09-12,,,112.5,,,
2005-09-13,112.5,112.5,112.5,112.5,,1200
2005-09-14,,,112.5,,,
2005-09-15,,,112.5,,,
2005-09-16,,,112.5,,,
2005-09-19,,,112.5,,,
2005-09-20,,,111.5,,,
2005-09-21,,,111.5,,,
2005-09-22,,,111.5,,,
2005-09-23,111.5,111.5,111.5,111.5,,1365
2005-09-26,,,111.5,,,
2005-09-27,,,111.5,,,
2005-09-28,,,111.5,,,
2005-09-29,111.5,111.5,111.5,111.5,,1750
2005-09-30,111.5,110.5,111.5,111.5,,4786
2005-10-03,111.5,110.5,111.5,111.5,,1330
2005-10-04,111.5,111.5,111.5,111.5,,19750
2005-10-05,112.5,111.5,112.5,111.5,,10435
2005-10-06,,,112.5,,,
2005-10-07,,,112.5,,,
2005-10-10,,,112.5,,,
2005-10-11,113.5,112.5,112.5,112.5,,5000
2005-10-12,,,112.5,,,
2005-10-13,,,112.5,,,
2005-10-14,112.5,112.5,112.5,112.5,,422
2005-10-17,,,112.5,,,
2005-10-18,112.5,112.5,112.5,112.5,,1000
2005-10-19,112.5,112.5,112.5,112.5,,5000
2005-10-20,111.5,111.5,111.5,111.5,,8162
2005-10-21,,,111.5,,,
2005-10-24,,,111.5,,,
2005-10-25,,,111.5,,,
2005-10-26,111.5,110.0,110.0,111.5,,9000
2005-10-27,110.0,109.5,109.5,110.0,,2600
2005-10-28,,,109.5,,,
2005-10-31,,,109.5,,,
2005-11-01,109.5,109.5,109.5,109.5,,20000
2005-11-02,,,109.5,,,
2005-11-03,109.5,109.5,109.5,109.5,,2397
2005-11-04,,,109.5,,,
2005-11-07,,,109.5,,,
2005-11-08,109.5,108.5,108.5,109.5,,2000
2005-11-09,108.5,108.5,108.5,108.5,,2500
2005-11-10,,,108.5,,,
2005-11-11,108.5,106.5,106.5,108.5,,2500
2005-11-14,106.5,105.5,105.5,106.5,,10000
2005-11-15,105.0,105.0,105.0,105.0,,29454
2005-11-16,,,105.0,,,
2005-11-17,105.0,105.0,105.0,105.0,,375
2005-11-18,,,105.0,,,
2005-11-21,,,104.0,,,
2005-11-22,104.0,104.0,104.0,104.0,,8880
2005-11-23,,,104.0,,,
2005-11-24,,,104.0,,,
2005-11-25,,,104.0,,,
2005-11-28,,,104.0,,,
2005-11-29,105.0,104.0,105.0,104.0,,44000
2005-11-30,105.0,105.0,105.0,105.0,,13000
2005-12-01,,,105.0,,,
2005-12-02,,,105.0,,,
2005-12-05,,,105.0,,,
2005-12-06,,,105.0,,,
2005-12-07,106.5,105.0,106.5,105.0,,2977
2005-12-08,106.5,106.5,106.5,106.5,,400
2005-12-09,105.0,105.0,105.0,105.0,,285500
2005-12-12,105.0,105.0,105.0,105.0,,770
2005-12-13,,,105.0,,,
2005-12-14,105.0,105.0,105.0,105.0,,1365
2005-12-15,105.0,104.5,105.0,104.5,,471
2005-12-16,,,105.0,,,
2005-12-19,105.0,104.5,104.5,105.0,,5000
2005-12-20,104.5,103.5,103.5,104.5,,17936
2005-12-21,103.5,102.0,102.0,103.5,,5000
2005-12-22,102.0,101.5,101.5,102.0,,3100
2005-12-23,101.5,101.5,101.5,101.5,,3100
2005-12-28,,,101.5,,,
2005-12-29,,,101.5,,,
2005-12-30,,,101.5,,,
2006-01-03,101.5,101.5,101.5,101.5,,7451
2006-01-04,,,101.5,,,
2006-01-05,,,101.5,,,
2006-01-06,102.5,101.5,102.5,101.5,,7000
2006-01-09,,,102.5,,,
2006-01-10,,,102.5,,,
2006-01-11,,,102.5,,,
2006-01-12,,,102.5,,,
2006-01-13,102.5,102.5,102.5,102.5,,4401
2006-01-16,,,102.5,,,
2006-01-17,,,102.5,,,
2006-01-18,,,101.5,,,
2006-01-19,,,101.0,,,
2006-01-20,101.0,101.0,101.0,101.0,,1215000
2006-01-23,,,101.0,,,
2006-01-24,103.0,100.5,103.0,101.0,,8078042
2006-01-25,105.5,104.5,105.5,104.5,,2000
2006-01-26,,,106.0,,,
2006-01-27,106.0,104.5,106.0,106.0,,861
2006-01-30,,,106.0,,,
2006-01-31,,,106.0,,,
2006-02-01,106.0,106.0,106.0,106.0,,3000
2006-02-02,,,108.0,,,
2006-02-03,108.0,108.0,108.0,108.0,,10000
2006-02-06,,,108.0,,,
2006-02-07,,,108.0,,,
2006-02-08,109.5,108.0,109.5,108.0,,31500
2006-02-09,,,109.5,,,
2006-02-10,109.5,109.5,109.5,109.5,,26345
2006-02-13,,,109.5,,,
2006-02-14,,,109.5,,,
2006-02-15,110.5,109.5,110.5,109.5,,25613
2006-02-16,,,110.5,,,
2006-02-17,112.0,110.5,112.0,110.5,,17232
2006-02-20,112.0,112.0,112.0,112.0,,9150
2006-02-21,,,112.0,,,
2006-02-22,112.0,112.0,112.0,112.0,,25000
2006-02-23,,,112.0,,,
2006-02-24,,,112.0,,,
2006-02-27,112.0,112.0,112.0,112.0,,515
2006-02-28,,,112.0,,,
2006-03-01,112.0,111.0,111.5,112.0,,125000
2006-03-02,,,111.5,,,
2006-03-03,,,111.0,,,
2006-03-06,111.0,111.0,111.0,111.0,,11245
2006-03-07,,,111.0,,,
2006-03-08,,,111.0,,,
2006-03-09,,,111.0,,,
2006-03-10,,,111.0,,,
2006-03-13,111.0,111.0,111.0,111.0,,50000
2006-03-14,,,111.0,,,
2006-03-15,111.0,111.0,111.0,111.0,,12000
2006-03-16,,,111.0,,,
2006-03-17,,,111.0,,,
2006-03-20,,,111.0,,,
2006-03-21,111.0,111.0,111.0,111.0,,5000
2006-03-22,,,111.0,,,
2006-03-23,,,111.0,,,
2006-03-24,,,111.0,,,
2006-03-27,111.0,111.0,111.0,111.0,,2000
2006-03-28,,,111.0,,,
2006-03-29,,,111.0,,,
2006-03-30,,,111.0,,,
2006-03-31,,,111.0,,,
2006-04-03,111.0,110.5,110.5,111.0,,14266
2006-04-04,110.5,110.5,110.5,110.5,,12500
2006-04-05,110.5,110.5,110.5,110.5,,2700
2006-04-06,110.5,110.0,110.0,110.5,,5600
2006-04-07,,,110.0,,,
2006-04-10,,,110.0,,,
2006-04-11,,,110.0,,,
2006-04-12,,,110.0,,,
2006-04-13,110.0,110.0,110.0,110.0,,225
2006-04-18,,,110.0,,,
2006-04-19,,,110.0,,,
2006-04-20,,,110.0,,,
2006-04-21,110.0,110.0,110.0,110.0,,10000
2006-04-24,110.0,108.5,108.5,110.0,,5000
2006-04-25,108.5,105.0,105.0,108.5,,10422
2006-04-26,105.0,102.5,102.5,105.0,,10000
2006-04-27,,,102.5,,,
2006-04-28,102.5,102.5,102.5,102.5,,5000
2006-05-02,102.5,102.5,102.5,102.5,,5935
2006-05-03,102.5,101.5,101.5,102.5,,5000
2006-05-04,101.5,101.0,101.0,101.5,,5000
2006-05-05,,,101.0,,,
2006-05-08,101.0,99.5,99.5,101.0,,969
2006-05-09,99.5,99.5,99.5,99.5,,23233
2006-05-10,98.5,97.5,97.5,98.5,,5000
2006-05-11,97.5,97.5,97.5,97.5,,5000
2006-05-12,97.5,93.5,93.5,97.5,,18455
2006-05-15,,,93.5,,,
2006-05-16,,,93.5,,,
2006-05-17,,,93.5,,,
2006-05-18,,,93.5,,,
2006-05-19,,,93.5,,,
2006-05-22,93.5,93.5,93.5,93.5,,515
2006-05-23,93.5,93.5,93.5,93.5,,4000
2006-05-24,93.5,93.5,93.5,93.5,,5000
2006-05-25,,,93.5,,,
2006-05-26,94.0,93.5,94.0,93.5,,2072
2006-05-30,,,94.0,,,
2006-05-31,,,94.0,,,
