Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2005-07-07,53.0,53.0,53.0,53.0,,
2005-07-08,53.0,53.0,53.0,53.0,,
2005-07-11,53.0,53.0,53.0,53.0,,
2005-07-12,53.0,50.0,50.0,53.0,,
2005-07-13,50.0,50.0,50.0,50.0,,
2005-07-14,50.0,45.0,45.0,50.0,,
2005-07-15,45.0,45.0,45.0,45.0,,
2005-07-18,45.0,45.0,45.0,45.0,,
2005-07-19,45.0,45.0,45.0,45.0,,
2005-07-20,65.0,45.0,60.0,45.0,,5300
2005-07-21,55.0,55.0,55.0,55.0,,
2005-07-22,60.0,55.0,60.0,55.0,,
2005-07-25,60.0,60.0,60.0,60.0,,
2005-07-26,60.0,60.0,60.0,60.0,,
2005-07-27,65.0,65.0,65.0,65.0,,
2005-07-28,60.0,60.0,60.0,60.0,,
2005-07-29,62.0,60.0,60.0,62.0,,
2005-08-01,60.0,60.0,60.0,60.0,,
2005-08-02,60.0,55.0,60.0,60.0,,
2005-08-03,60.0,60.0,60.0,60.0,,
2005-08-04,60.0,60.0,60.0,60.0,,
2005-08-05,60.0,60.0,60.0,60.0,,
2005-08-08,60.0,60.0,60.0,60.0,,
2005-08-09,60.0,60.0,60.0,60.0,,
2005-08-10,60.0,60.0,60.0,60.0,,
2005-08-11,60.0,60.0,60.0,60.0,,
2005-08-12,60.0,60.0,60.0,60.0,,
2005-08-15,65.0,65.0,65.0,65.0,,
2005-08-16,65.0,65.0,65.0,65.0,,
2005-08-17,65.0,65.0,65.0,65.0,,
2005-08-18,65.0,65.0,65.0,65.0,,
2005-08-19,65.0,65.0,65.0,65.0,,
2005-08-22,70.0,70.0,70.0,70.0,,
2005-08-23,70.0,70.0,70.0,70.0,,
2005-08-24,70.0,70.0,70.0,70.0,,
2005-08-25,70.0,70.0,70.0,70.0,,
2005-08-26,70.0,70.0,70.0,70.0,,
2005-08-30,70.0,70.0,70.0,70.0,,
2005-08-31,70.0,65.0,65.0,70.0,,
2005-09-01,65.0,65.0,65.0,65.0,,
2005-09-02,65.0,65.0,65.0,65.0,,
2005-09-05,65.0,65.0,65.0,65.0,,
2005-09-06,65.0,65.0,65.0,65.0,,
2005-09-07,65.0,65.0,65.0,65.0,,
2005-09-08,65.0,65.0,65.0,65.0,,
2005-09-09,90.0,70.0,85.0,70.0,,34238
2005-09-12,100.0,83.0,83.0,86.5,,40146
