Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2000-10-23,323.0,265.0,292.0,310.0,,6995039
2000-10-24,299.0,274.0,280.0,292.0,,6209359
2000-10-25,288.5,274.5,277.0,288.0,,3409742
2000-10-26,280.0,265.75,265.75,279.0,,6831867
2000-10-27,271.5,266.0,268.0,270.0,,4622840
2000-10-30,270.0,260.25,264.0,266.0,,1382026
2000-10-31,272.5,260.5,270.75,262.0,,5268783
2000-11-01,277.0,258.25,268.0,272.5,,5877198
2000-11-02,268.25,255.0,263.0,266.0,,4386119
2000-11-03,270.0,251.0,266.0,251.0,,4617025
2000-11-06,268.5,248.0,250.0,257.0,,5014368
2000-11-07,253.0,241.0,250.0,250.5,,7350189
2000-11-08,270.0,250.0,255.0,250.0,,29026519
2000-11-09,259.75,249.5,252.0,254.0,,12697376
2000-11-10,257.0,248.0,255.0,250.25,,9080751
2000-11-13,323.0,244.0,245.5,323.0,,3665502
2000-11-14,254.0,246.0,251.0,246.0,,3435061
2000-11-15,257.0,245.5,250.0,257.0,,9496029
2000-11-16,258.0,252.0,255.0,254.0,,3961059
2000-11-17,259.75,253.0,254.0,256.0,,5147876
2000-11-20,256.75,248.0,250.0,256.75,,4545165
2000-11-21,257.25,250.0,252.0,255.0,,3273383
2000-11-22,254.5,241.75,246.5,252.0,,6127934
2000-11-23,252.0,227.0,251.5,227.0,,2574149
2000-11-24,255.0,242.0,255.0,242.0,,2794939
2000-11-27,256.5,246.0,250.5,250.0,,2562654
2000-11-28,254.75,249.0,253.0,250.0,,2974079
2000-11-29,252.75,237.0,251.0,237.0,,2471769
2000-11-30,255.0,231.5,255.0,250.0,,3430561
2000-12-01,268.0,251.0,256.0,256.0,,1211808
2000-12-04,261.5,250.0,252.0,250.6,,6512542
2000-12-05,255.0,248.0,252.5,252.0,,2512030
2000-12-06,270.5,247.0,263.75,270.5,,2931351
2000-12-07,274.25,252.75,255.0,263.0,,2715573
2000-12-08,262.5,250.5,262.5,258.0,,6801445
2000-12-11,277.0,263.0,271.0,274.0,,7626172
2000-12-12,278.0,271.0,278.0,272.0,,6460662
2000-12-13,288.0,277.5,285.0,280.5,,8627817
2000-12-14,289.0,266.0,268.0,283.0,,7287227
2000-12-15,268.0,255.0,260.0,268.0,,22395489
2000-12-18,275.0,257.0,275.0,266.0,,5462029
2000-12-19,275.0,264.0,274.5,271.0,,3233493
2000-12-20,276.25,266.5,273.0,272.0,,6763724
2000-12-21,277.0,258.5,269.0,273.0,,5677784
2000-12-22,280.0,260.0,261.0,280.0,,2125860
2000-12-27,263.0,256.5,260.5,259.0,,2353171
2000-12-28,272.0,261.25,265.5,268.0,,6227260
2000-12-29,285.0,272.0,283.0,272.0,,13274555
2001-01-02,295.0,276.25,280.25,277.25,,8260046
2001-01-03,284.0,278.0,283.0,279.0,,18333999
2001-01-04,305.25,278.0,305.25,289.0,,14413354
2001-01-05,320.0,281.0,310.0,298.0,,14157146
2001-01-08,312.5,304.0,305.75,305.0,,4196750
2001-01-09,314.0,305.0,311.5,306.2,,6180481
2001-01-10,318.75,309.0,317.0,309.0,,4859938
2001-01-11,325.0,309.0,309.0,317.25,,5031298
2001-01-12,311.75,297.0,298.0,309.77,,8334621
2001-01-15,306.0,295.0,303.25,295.0,,5626456
2001-01-16,304.25,297.5,300.0,302.0,,5250201
2001-01-17,318.0,296.0,314.0,300.0,,11301910
2001-01-18,328.0,308.0,310.0,313.25,,12693294
2001-01-19,322.5,307.5,322.25,307.5,,14418652
2001-01-22,334.0,319.25,334.0,319.75,,8108256
2001-01-23,332.0,309.0,332.0,330.0,,8227746
2001-01-24,350.0,322.0,346.5,331.0,,7523430
2001-01-25,368.2,340.0,349.0,345.0,,22773311
2001-01-26,350.0,344.0,346.0,349.0,,7899030
2001-01-29,346.5,340.0,340.5,340.0,,2931033
2001-01-30,347.0,335.0,343.0,341.0,,3720240
2001-01-31,350.0,341.5,347.5,347.5,,5952220
2001-02-01,354.5,337.0,348.0,354.5,,14334480
2001-02-02,350.0,345.25,348.5,350.0,,4313302
2001-02-05,350.25,346.4,348.0,349.6,,3997843
2001-02-06,359.75,347.0,354.0,347.0,,11143210
2001-02-07,363.726,350.5,362.5,352.0,,7010441
2001-02-08,380.75,358.0,380.5,359.0,,9232031
2001-02-09,388.0,373.0,380.0,380.2,,7548606
2001-02-12,376.6,362.2,367.75,362.2,,1141859
2001-02-13,371.5,355.0,358.0,371.5,,2642162
2001-02-14,362.0,309.0,352.25,357.0,,5157087
2001-02-15,353.0,325.0,335.0,352.25,,10087944
2001-02-16,353.25,330.0,349.0,332.5,,10946212
2001-02-19,354.5,341.0,354.0,353.25,,3408705
2001-02-20,358.5,350.0,350.0,353.0,,2667383
2001-02-21,363.25,344.0,363.25,345.5,,3926003
2001-02-22,376.5,351.0,370.5,351.0,,3425335
2001-02-23,369.2,358.0,364.5,369.2,,2691773
2001-02-26,368.8,361.0,364.0,368.0,,4250364
2001-02-27,379.25,360.0,373.0,361.5,,6600387
2001-02-28,370.0,366.25,367.5,370.0,,3125836
2001-03-01,368.0,357.0,360.0,368.0,,3432760
