Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
1986-01-02,,,350,,,,
1986-01-06,,,375,,,,
1986-01-07,,,388,,,,
1986-01-08,,,385,,,,
1986-01-09,,,405,,,,
1986-01-10,,,435,,,,
1986-01-13,,,470,,,,
1986-01-14,,,465,,,,
1986-01-15,,,495,,,,
1986-01-16,,,575,,,,
1986-01-17,,,538,,,,
1986-01-20,,,544,,,,
1986-01-21,,,556,,,,
1986-01-22,,,545,,,,
1986-01-23,,,531,,,,
1986-01-24,,,544,,,,
1986-01-27,,,594,,,,
1986-01-28,,,555,,,,
1986-01-29,,,544,,,,
1986-01-30,,,550,,,,
1986-01-31,,,544,,,,
1986-02-03,,,569,,,,
1986-02-04,,,544,,,,
1986-02-06,,,531,,,,
1986-02-07,,,500,,,,
1986-02-10,,,494,,,,
1986-02-11,,,485,,,,
1986-02-12,,,488,,,,
1986-02-14,,,473,,,,
1986-02-17,,,481,,,,
1986-02-18,,,465,,,,
1986-02-19,,,505,,,,
1986-02-20,,,494,,,,
1986-02-21,,,495,,,,
1986-02-24,,,503,,,,
1986-02-27,,,506,,,,
1986-02-28,,,519,,,,
1986-03-03,,,513,,,,
1986-03-06,,,525,,,,
1986-03-07,,,505,,,,
1986-03-10,,,508,,,,
1986-03-11,,,488,,,,
1986-03-12,,,494,,,,
1986-03-13,,,506,,,,
1986-03-14,,,488,,,,
1986-03-17,,,480,,,,
1986-03-18,,,488,,,,
1986-03-20,,,469,,,,
1986-03-21,,,473,,,,
1986-03-24,,,456,,,,
1986-03-25,,,455,,,,
1986-03-26,,,425,,,,
1986-03-27,,,406,,,,
1986-04-02,,,394,,,,
1986-04-03,,,420,,,,
1986-04-04,,,431,,,,
1986-04-07,,,425,,,,
1986-04-08,,,431,,,,
1986-04-09,,,413,,,,
1986-04-10,,,400,,,,
1986-04-14,,,413,,,,
1986-04-17,,,388,,,,
1986-04-18,,,393,,,,
1986-04-21,,,375,,,,
1986-04-22,,,368,,,,
1986-04-23,,,388,,,,
1986-04-25,,,363,,,,
1986-04-28,,,368,,,,
1986-04-29,,,363,,,,
1986-04-30,,,348,,,,
1986-05-01,,,363,,,,
1986-05-06,,,373,,,,
1986-05-07,,,368,,,,
1986-05-12,,,375,,,,
1986-05-13,,,369,,,,
1986-05-14,,,363,,,,
1986-05-15,,,348,,,,
1986-05-19,,,338,,,,
1986-05-20,,,305,,,,
1986-05-21,,,313,,,,
1986-05-22,,,323,,,,
1986-05-29,,,325,,,,
1986-05-30,,,313,,,,
1986-06-03,,,308,,,,
1986-06-04,,,323,,,,
1986-06-05,,,315,,,,
1986-06-06,,,313,,,,
1986-06-09,,,290,,,,
1986-06-10,,,288,,,,
1986-06-11,,,275,,,,
1986-06-12,,,258,,,,
1986-06-13,,,263,,,,
1986-06-16,,,283,,,,
1986-06-17,,,298,,,,
1986-06-18,,,313,,,,
1986-06-19,,,315,,,,
1986-06-20,,,313,,,,
1986-06-23,,,310,,,,
1986-06-24,,,313,,,,
1986-06-25,,,293,,,,
1986-06-26,,,305,,,,
1986-06-27,,,303,,,,
1986-06-30,,,313,,,,
1986-07-02,,,306,,,,
1986-07-03,,,300,,,,
1986-07-08,,,303,,,,
1986-07-09,,,313,,,,
1986-07-10,,,318,,,,
1986-07-11,,,298,,,,
1986-07-14,,,303,,,,
1986-07-15,,,308,,,,
1986-07-16,,,298,,,,
1986-07-17,,,300,,,,
1986-07-18,,,290,,,,
1986-07-21,,,300,,,,
1986-07-22,,,305,,,,
1986-07-23,,,318,,,,
1986-07-24,,,323,,,,
1986-07-28,,,348,,,,
1986-07-29,,,338,,,,
1986-07-30,,,303,,,,
1986-07-31,,,323,,,,
1986-08-01,,,313,,,,
1986-08-05,,,323,,,,
1986-08-07,,,313,,,,
1986-08-11,,,373,,,,
1986-08-12,,,355,,,,
1986-08-13,,,348,,,,
1986-08-15,,,338,,,,
1986-08-19,,,330,,,,
1986-08-20,,,348,,,,
1986-08-21,,,363,,,,
1986-08-22,,,373,,,,
1986-08-27,,,363,,,,
1986-08-29,,,388,,,,
1986-09-02,,,413,,,,
1986-09-03,,,423,,,,
1986-09-04,,,418,,,,
1986-09-05,,,463,,,,
1986-09-10,,,431,,,,
1986-09-11,,,450,,,,
1986-09-12,,,488,,,,
1986-09-15,,,488,,,,
1986-09-17,,,498,,,,
1986-09-18,,,488,,,,
1986-09-19,,,523,,,,
1986-09-22,,,538,,,,
1986-09-23,,,498,,,,
1986-09-24,,,513,,,,
1986-09-25,,,503,,,,
1986-09-26,,,498,,,,
1986-09-29,,,488,,,,
1986-10-03,,,505,,,,
1986-10-06,,,475,,,,
1986-10-07,,,493,,,,
1986-10-08,,,505,,,,
1986-10-09,,,513,,,,
1986-10-10,,,475,,,,
1986-10-14,,,513,,,,
1986-10-15,,,483,,,,
1986-10-16,,,463,,,,
1986-10-20,,,433,,,,
1986-10-21,,,438,,,,
1986-10-23,,,398,,,,
1986-10-24,,,355,,,,
1986-10-27,,,405,,,,
1986-10-28,,,413,,,,
1986-10-29,,,433,,,,
1986-10-30,,,438,,,,
1986-10-31,,,360,,,,
1986-11-04,,,438,,,,
1986-11-05,,,468,,,,
1986-11-06,,,458,,,,
1986-11-07,,,468,,,,
1986-11-11,,,495,,,,
1986-11-12,,,505,,,,
1986-11-13,,,528,,,,
1986-11-14,,,548,,,,
1986-11-17,,,502,,,,
1986-11-18,,,506,,,,
1986-11-19,,,524,,,,
1986-11-20,,,515,,,,
1986-11-26,,,529,,,,
1986-11-27,,,547,,,,
1986-11-28,,,570,,,,
1986-12-01,,,587,,,,
1986-12-02,,,580,,,,
1986-12-03,,,571,,,,
1986-12-05,,,618,,,,
1986-12-08,,,629,,,,
1986-12-09,,,636,,,,
1986-12-10,,,615,,,,
1986-12-12,,,608,,,,
1986-12-15,,,623,,,,
1986-12-16,,,632,,,,
1986-12-17,,,617,,,,
1986-12-18,,,630,,,,
1986-12-19,,,615,,,,
1986-12-23,,,611,,,,
1986-12-24,,,606,,,,
1986-12-29,,,605,,,,
1986-12-30,,,601,,,,
1986-12-31,,,588,,,,
1987-01-02,,,602,,,,
1987-01-05,,,620,,,,
1987-01-06,,,666,,,,
1987-01-07,,,664,,,,
1987-01-08,,,660,,,,
1987-01-09,,,670,,,,
1987-01-13,,,708,,,,
1987-01-15,,,760,,,,
1987-01-16,,,752,,,,
1987-01-19,,,747,,,,
1987-01-20,,,736,,,,
1987-01-21,,,714,,,,
1987-01-22,,,703,,,,
1987-01-23,,,692,,,,
1987-01-26,,,692,,,,
1987-01-27,,,683,,,,
