Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2000-03-13,62.0,47.5,48.0,52.5,,100000
2000-03-14,48.5,45.5,46.0,48.5,,140000
2000-03-15,,,43.0,,,
2000-03-16,,,42.0,,,
2000-03-17,42.0,40.5,42.0,40.5,,75000
2000-03-20,,,40.25,,,
2000-03-21,,,40.25,,,
2000-03-22,40.25,40.0,40.25,40.0,,2500
2000-03-23,42.5,40.0,42.5,40.0,,150000
2000-03-24,,,46.5,,,
2000-03-27,55.5,46.5,54.0,47.5,,175000
2000-03-28,56.0,54.0,56.0,54.0,,10000
2000-03-29,,,56.0,,,
2000-03-30,,,52.0,,,
2000-03-31,,,48.0,,,
2000-04-03,,,48.0,,,
2000-04-04,,,46.5,,,
2000-04-05,,,46.0,,,
2000-04-06,,,44.75,,,
2000-04-07,44.75,44.0,44.0,44.5,,238000
2000-04-10,,,44.0,,,
2000-04-11,,,44.0,,,
2000-04-12,,,44.0,,,
2000-04-13,,,43.5,,,
2000-04-14,,,43.5,,,
2000-04-17,,,39.5,,,
2000-04-18,,,39.5,,,
2000-04-19,,,41.0,,,
2000-04-20,,,41.0,,,
2000-04-25,,,39.5,,,
2000-04-26,,,39.5,,,
2000-04-27,,,38.0,,,
2000-04-28,,,38.0,,,
2000-05-02,,,38.0,,,
2000-05-03,,,33.0,,,
2000-05-04,,,32.5,,,
2000-05-05,,,31.5,,,
2000-05-08,,,31.5,,,
2000-05-09,,,31.5,,,
2000-05-10,,,31.5,,,
2000-05-11,,,31.5,,,
2000-05-12,,,31.5,,,
2000-05-15,,,31.5,,,
2000-05-16,,,31.5,,,
2000-05-17,,,31.5,,,
2000-05-18,,,31.5,,,
2000-05-19,,,31.5,,,
2000-05-22,,,30.0,,,
2000-05-23,,,29.5,,,
2000-05-24,29.5,28.0,28.0,29.0,,175000
2000-05-25,,,27.5,,,
2000-05-26,,,27.5,,,
2000-05-30,,,27.5,,,
2000-05-31,,,28.5,,,
2000-06-01,,,28.5,,,
2000-06-02,,,29.0,,,
2000-06-05,30.0,28.0,29.0,28.0,,4387
2000-06-06,30.0,28.0,29.0,30.0,,22000
2000-06-07,28.0,28.0,29.0,28.0,,62000
