Date,CLOSE,SHROUT,COUNT,HIGH,LOW,OPEN,VOLUME
1999-02-16,1.036,,,,,,
1999-04-23,1.007,,,,,,
1999-04-29,1.071,,,,,,
1999-05-04,1.021,,,,,,
1999-05-05,1.024,,,,,,
1999-05-11,1.014,,,,,,
1999-05-25,1.026,,,,,,
1999-06-02,1.01,,,,,,
1999-06-16,1.013,,,,,,
1999-06-17,1.069,,,,,,
1999-06-18,1.02,,,,,,
1999-06-21,1.034,,,,,,
1999-06-24,1.037,,,,,,
1999-06-28,1.036,,,,,,
1999-06-30,1.037,,,,,,
1999-07-05,1.045,,,,,,
1999-07-08,1.063,,,,,,
1999-07-22,1.072,,,,,,
1999-08-09,1.027,,,,,,
1999-08-11,1.026,,,,,,
1999-08-16,1.029,,,,,,
1999-08-18,1.049,,,,,,
1999-08-20,1.046,,,,,,
1999-09-28,1.045,,,,,,
1999-10-12,1.055,,,,,,
1999-10-21,1.087,,,,,,
1999-11-23,1.121,,,,,,
2000-10-10,1.315,,,,,,
2000-10-13,1.277,,,,,,
