Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2005-11-17,57.5,56.5,57.5,56.5,,594380
2005-11-18,57.5,57.5,57.5,57.5,,234925
2005-11-21,57.5,56.5,56.5,57.5,,112200
2005-11-22,56.5,56.5,56.5,56.5,,561
2005-11-23,56.5,56.5,56.5,56.5,,4317
2005-11-24,56.5,56.5,56.5,56.5,,186380
2005-11-25,56.5,56.5,56.5,56.5,,17662
2005-11-28,56.5,56.5,56.5,56.5,,107860
2005-11-29,56.5,56.5,56.5,56.5,,2264
2005-11-30,,,56.5,,,
2005-12-01,,,56.5,,,
2005-12-02,,,56.5,,,
2005-12-05,56.5,56.5,56.5,56.5,,20000
2005-12-06,56.5,56.5,56.5,56.5,,178
2005-12-07,,,56.5,,,
2005-12-08,,,56.5,,,
2005-12-09,56.5,56.5,56.5,56.5,,19999
2005-12-12,,,56.5,,,
2005-12-13,56.5,56.5,56.5,56.5,,18181
2005-12-14,56.5,56.5,56.5,56.5,,1090820
2005-12-15,,,56.5,,,
2005-12-16,,,56.5,,,
2005-12-19,56.5,56.5,56.5,56.5,,25000
2005-12-20,,,56.5,,,
2005-12-21,,,56.5,,,
2005-12-22,,,56.5,,,
2005-12-23,,,56.5,,,
2005-12-28,,,56.5,,,
2005-12-29,,,56.5,,,
2005-12-30,,,56.5,,,
2006-01-03,56.5,56.5,56.5,56.5,,1698
2006-01-04,56.5,56.5,56.5,56.5,,5454
2006-01-05,,,56.5,,,
2006-01-06,,,56.5,,,
2006-01-09,,,56.5,,,
2006-01-10,56.5,56.5,56.5,56.5,,3181
2006-01-11,,,56.5,,,
2006-01-12,,,56.5,,,
2006-01-13,,,56.5,,,
2006-01-16,56.5,56.5,56.5,56.5,,22272
2006-01-17,,,56.5,,,
2006-01-18,,,56.5,,,
2006-01-19,,,56.5,,,
2006-01-20,56.5,56.5,56.5,56.5,,375000
2006-01-23,56.5,56.5,56.5,56.5,,25869
2006-01-24,56.5,56.5,56.5,56.5,,135000
2006-01-25,61.5,56.5,61.5,56.5,,191409
2006-01-26,,,61.5,,,
2006-01-27,,,61.0,,,
2006-01-30,61.5,61.0,61.5,61.0,,6399
2006-01-31,63.0,62.5,63.0,63.0,,278036
2006-02-01,63.0,60.0,60.0,63.0,,7430256
2006-02-02,,,60.0,,,
2006-02-03,60.0,60.0,60.0,60.0,,20000
2006-02-06,,,60.5,,,
2006-02-07,,,60.5,,,
2006-02-08,,,60.5,,,
2006-02-09,60.5,60.0,60.0,60.5,,43190
2006-02-10,60.0,60.0,60.0,60.0,,6399
2006-02-13,64.0,61.0,62.5,61.0,,291995
2006-02-14,62.5,62.5,62.5,62.5,,41437
2006-02-15,62.75,62.5,62.75,62.5,,28015
2006-02-16,63.25,62.75,63.25,62.75,,92100
2006-02-17,62.75,62.75,62.75,62.75,,56421
2006-02-20,62.75,62.75,62.75,62.75,,7422
2006-02-21,,,62.75,,,
2006-02-22,62.75,62.75,62.75,62.75,,27556
2006-02-23,,,62.75,,,
2006-02-24,62.75,62.75,62.75,62.75,,81453
2006-02-27,62.75,62.75,62.75,62.75,,14545
2006-02-28,62.75,62.75,62.75,62.75,,44017
2006-03-01,62.75,62.75,62.75,62.75,,60993
2006-03-02,62.25,61.75,61.75,62.25,,50000
2006-03-03,61.75,61.75,61.75,61.75,,1612
2006-03-06,61.75,61.75,61.75,61.75,,53000
2006-03-07,61.75,61.5,61.5,61.75,,20698
2006-03-08,61.5,60.5,60.5,61.5,,53182
2006-03-09,60.5,60.5,60.5,60.5,,10000
2006-03-10,60.5,60.5,60.5,60.5,,105000
2006-03-13,61.5,61.5,61.5,61.5,,38479
2006-03-14,61.5,61.5,61.5,61.5,,31000
2006-03-15,61.5,61.5,61.5,61.5,,45454
2006-03-16,61.5,61.5,61.5,61.5,,200
2006-03-17,61.5,61.5,61.5,61.5,,10909
2006-03-20,61.5,61.5,61.5,61.5,,12600
2006-03-21,,,61.5,,,
2006-03-22,61.5,61.5,61.5,61.5,,14547
2006-03-23,61.5,61.0,61.0,61.5,,7349
2006-03-24,61.0,61.0,61.0,61.0,,1613
2006-03-27,61.0,55.0,56.0,61.0,,51106
2006-03-28,58.0,56.0,58.0,56.0,,405996
2006-03-29,58.5,58.5,58.5,58.5,,87511
2006-03-30,58.5,58.5,58.5,58.5,,2140
2006-03-31,59.0,58.5,59.0,58.5,,51396
2006-04-03,59.0,59.0,59.0,59.0,,22166
2006-04-04,59.0,58.5,58.5,59.0,,8500
2006-04-05,,,58.5,,,
2006-04-06,58.5,58.5,58.5,58.5,,237094
2006-04-07,58.5,58.0,58.0,58.5,,95525
2006-04-10,59.0,59.0,59.0,59.0,,86362
2006-04-11,59.0,58.0,58.0,59.0,,28000
2006-04-12,58.0,57.5,57.5,58.0,,3000
2006-04-13,,,57.5,,,
2006-04-18,62.5,62.5,62.5,62.5,,473435
2006-04-19,62.5,62.0,62.0,62.5,,248514
2006-04-20,62.0,61.5,61.5,62.0,,22579
2006-04-21,61.5,61.0,61.0,61.5,,162789
2006-04-24,61.0,61.0,61.0,61.0,,11090
2006-04-25,61.0,61.0,61.0,61.0,,12493
2006-04-26,61.0,61.0,61.0,61.0,,38208
2006-04-27,61.5,60.5,60.5,61.5,,16849
2006-04-28,60.5,60.5,60.5,60.5,,34445
2006-05-02,60.5,60.5,60.5,60.5,,2800
2006-05-03,60.5,60.5,60.5,60.5,,45007
2006-05-04,60.5,60.5,60.5,60.5,,58436
2006-05-05,60.5,60.0,60.0,60.5,,2744
2006-05-08,60.0,59.5,60.0,59.5,,500
2006-05-09,60.0,60.0,60.0,60.0,,1640
2006-05-10,60.0,60.0,60.0,60.0,,3241
2006-05-11,60.0,60.0,60.0,60.0,,20000
2006-05-12,60.0,60.0,60.0,60.0,,12357
2006-05-15,60.0,60.0,60.0,60.0,,10071
2006-05-16,60.0,58.5,59.0,60.0,,10994
2006-05-17,59.0,58.5,59.0,59.0,,10000
2006-05-18,59.0,59.0,59.0,59.0,,10894
2006-05-19,59.5,58.5,59.0,58.5,,65525
2006-05-22,59.0,58.5,58.5,59.0,,14762
2006-05-23,58.5,58.5,58.5,58.5,,62900
2006-05-24,58.5,58.5,58.5,58.5,,20000
2006-05-25,58.5,58.5,58.5,58.5,,3728823
2006-05-26,58.5,58.5,58.5,58.5,,55000
2006-05-30,58.5,58.5,58.5,58.5,,1114
2006-05-31,,,58.5,,,
2006-06-01,58.5,58.5,58.5,58.5,,500
2006-06-02,,,58.5,,,
2006-06-05,58.5,58.5,58.5,58.5,,500
2006-06-06,58.5,58.0,58.0,58.5,,2547
2006-06-07,,,58.0,,,
2006-06-08,58.0,58.0,58.0,58.0,,24154
2006-06-09,,,58.0,,,
2006-06-12,58.0,58.0,58.0,58.0,,3500
2006-06-13,57.5,57.5,57.5,57.5,,13500
2006-06-14,57.5,57.5,57.5,57.5,,5000
2006-06-15,57.5,57.5,57.5,57.5,,13500
2006-06-16,57.5,57.5,57.5,57.5,,4000
2006-06-19,57.5,57.5,57.5,57.5,,396171
2006-06-20,57.5,57.0,57.0,57.5,,17695
2006-06-21,57.0,57.0,57.0,57.0,,14545
2006-06-22,57.0,57.0,57.0,57.0,,10000
2006-06-23,,,57.0,,,
2006-06-26,,,57.0,,,
2006-06-27,57.0,57.0,57.0,57.0,,3292
2006-06-28,57.0,56.5,56.5,57.0,,15000
2006-06-29,56.5,56.5,56.5,56.5,,1880125
2006-06-30,56.5,56.5,56.5,56.5,,101349
2006-07-03,,,56.5,,,
2006-07-04,,,56.5,,,
2006-07-05,56.5,56.5,56.5,56.5,,24984
2006-07-06,,,56.5,,,
2006-07-07,,,56.5,,,
2006-07-10,,,57.5,,,
2006-07-11,57.5,57.5,57.5,57.5,,12000
2006-07-12,57.5,57.5,57.5,57.5,,147655
2006-07-13,57.5,57.5,57.5,57.5,,7500
2006-07-14,57.5,57.5,57.5,57.5,,87000
2006-07-17,,,57.5,,,
2006-07-18,57.5,57.5,57.5,57.5,,3388
2006-07-19,57.5,57.5,57.5,57.5,,26370
2006-07-20,57.5,57.5,57.5,57.5,,131158
2006-07-21,57.5,57.5,57.5,57.5,,1772255
2006-07-24,57.5,57.5,57.5,57.5,,8103
2006-07-25,57.5,57.5,57.5,57.5,,53604
2006-07-26,57.5,57.5,57.5,57.5,,317
2006-07-27,57.5,57.5,57.5,57.5,,8550
2006-07-28,57.5,57.0,57.0,57.5,,47903
2006-07-31,57.0,57.0,57.0,57.0,,5897
2006-08-01,57.0,57.0,57.0,57.0,,5591
2006-08-02,57.0,57.0,57.0,57.0,,2000
2006-08-03,,,57.0,,,
2006-08-04,57.0,57.0,57.0,57.0,,5983
2006-08-07,,,57.0,,,
2006-08-08,57.0,57.0,57.0,57.0,,463
2006-08-09,57.5,56.5,57.0,57.0,,142715
2006-08-10,57.0,57.0,57.0,57.0,,24933
2006-08-11,57.0,57.0,57.0,57.0,,1400
2006-08-14,57.0,57.0,57.0,57.0,,8550
2006-08-15,57.0,57.0,57.0,57.0,,24311
2006-08-16,57.0,57.0,57.0,57.0,,13727
2006-08-17,57.0,57.0,57.0,57.0,,12289
2006-08-18,57.0,57.0,57.0,57.0,,7650
2006-08-21,59.0,57.0,58.25,57.0,,486311
2006-08-22,58.25,58.25,58.25,58.25,,104496
2006-08-23,58.25,58.25,58.25,58.25,,37394
2006-08-24,58.25,58.25,58.25,58.25,,82234
2006-08-25,58.25,58.25,58.25,58.25,,57930
2006-08-29,58.25,58.25,58.25,58.25,,500
2006-08-30,59.0,58.25,59.0,58.25,,62512
2006-08-31,64.75,60.0,64.75,60.0,,134181
2006-09-01,66.25,64.75,66.25,64.75,,107298
2006-09-04,68.0,66.25,68.0,66.25,,231778
2006-09-05,68.0,67.25,67.25,68.0,,87028
2006-09-06,67.25,65.5,65.5,67.25,,63908
2006-09-07,66.0,65.5,66.0,65.5,,40190
2006-09-08,66.5,66.0,66.5,66.0,,16561
2006-09-11,66.5,66.5,66.5,66.5,,49303
2006-09-12,66.0,66.0,66.0,66.0,,30516
2006-09-13,66.0,65.5,65.5,66.0,,21496
2006-09-14,65.5,65.5,65.5,65.5,,24323
2006-09-15,65.5,65.5,65.5,65.5,,43787
2006-09-18,65.5,65.5,65.5,65.5,,52305
2006-09-19,65.5,65.5,65.5,65.5,,36785
2006-09-20,,,65.5,,,
2006-09-21,65.5,65.5,65.5,65.5,,16653
2006-09-22,65.5,65.5,65.5,65.5,,32310
2006-09-25,65.5,61.5,61.5,65.5,,68677
2006-09-26,61.75,61.5,61.75,61.5,,25855
2006-09-27,61.75,61.75,61.75,61.75,,88852
2006-09-28,61.75,61.75,61.75,61.75,,30294
2006-09-29,61.75,61.75,61.75,61.75,,11406
2006-10-02,63.5,61.75,63.5,61.75,,29322
2006-10-03,65.0,63.5,65.0,63.5,,115912
2006-10-04,67.5,65.5,67.5,65.5,,81262
2006-10-05,67.5,67.5,67.5,67.5,,1428548
2006-10-06,68.75,67.5,67.5,68.75,,70694
2006-10-09,67.0,66.0,66.75,67.0,,774011
2006-10-10,66.75,66.75,66.75,66.75,,38690
2006-10-11,66.75,66.5,66.5,66.75,,26987
2006-10-12,66.5,66.5,66.5,66.5,,10426
2006-10-13,66.5,66.5,66.5,66.5,,6102
2006-10-16,66.5,66.5,66.5,66.5,,10439
2006-10-17,66.5,66.25,66.25,66.5,,159152
2006-10-18,66.25,66.25,66.25,66.25,,11500
2006-10-19,66.25,66.25,66.25,66.25,,5000
2006-10-20,66.25,66.25,66.25,66.25,,24263
2006-10-23,66.25,66.25,66.25,66.25,,5335
2006-10-24,66.25,64.5,64.75,66.25,,42322
2006-10-25,64.75,64.75,64.75,64.75,,15339
2006-10-26,64.75,64.75,64.75,64.75,,1500
2006-10-27,64.75,64.75,64.75,64.75,,1903
2006-10-30,64.75,63.75,63.75,64.5,,55304
2006-10-31,63.75,63.75,63.75,63.75,,13964
2006-11-01,63.75,63.75,63.75,63.75,,16070
2006-11-02,62.75,60.0,61.0,62.75,,166810
2006-11-03,61.25,61.0,61.25,61.0,,48746
2006-11-06,61.25,61.25,61.25,61.25,,7032
2006-11-07,62.5,61.25,62.5,61.25,,42340
2006-11-08,62.5,62.5,62.5,62.5,,86088
2006-11-09,62.5,62.5,62.5,62.5,,947384
2006-11-10,62.5,62.5,62.5,62.5,,53494
2006-11-13,62.5,61.5,61.5,62.5,,11365
2006-11-14,61.5,61.5,61.5,61.5,,1000
2006-11-15,61.5,61.5,61.5,61.5,,51175
2006-11-16,61.5,61.5,61.5,61.5,,127913
2006-11-17,61.5,61.0,61.0,61.5,,261414
2006-11-20,61.0,61.0,61.0,61.0,,25717
2006-11-21,61.5,61.0,61.0,61.0,,16765
2006-11-22,61.0,61.0,61.0,61.0,,16369
2006-11-23,61.5,61.0,61.0,61.0,,21783
2006-11-24,61.5,61.0,61.5,61.0,,500
2006-11-27,61.5,61.5,61.5,61.5,,154344
2006-11-28,61.5,60.0,60.0,61.5,,657636
2006-11-29,,,60.0,,,
2006-11-30,60.0,60.0,60.0,60.0,,929
2006-12-01,60.0,60.0,60.0,60.0,,6639
2006-12-04,60.0,60.0,60.0,60.0,,12639
2006-12-05,59.0,57.5,57.5,59.0,,514437
2006-12-06,57.5,57.5,57.5,57.5,,163425
2006-12-07,60.25,57.5,60.25,57.5,,89114
2006-12-08,60.25,60.25,60.25,60.25,,8889
2006-12-11,60.75,60.25,60.75,60.25,,88138
2006-12-12,60.75,60.75,60.75,60.75,,469031
2006-12-13,60.75,60.75,60.75,60.75,,28580
2006-12-14,60.75,60.0,60.0,60.75,,76009
2006-12-15,60.0,60.0,60.0,60.0,,52162
2006-12-18,60.0,60.0,60.0,60.0,,351012
2006-12-19,60.0,60.0,60.0,60.0,,6228
2006-12-20,60.0,59.5,59.5,60.0,,83789
2006-12-21,59.5,59.5,59.5,59.5,,774621
2006-12-22,59.5,59.5,59.5,59.5,,3838
2006-12-27,59.5,59.5,59.5,59.5,,23463
2006-12-28,59.5,59.5,59.5,59.5,,43264
2006-12-29,59.5,59.5,59.5,59.5,,7000
2007-01-02,59.5,59.5,59.5,59.5,,36102
2007-01-03,60.0,59.5,60.0,59.5,,33000
