Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME,SHROUT
2008-05-06,272.0,254.0,260.0,254.0,,1448673.0,
2008-05-07,267.25,250.0,256.25,255.0,,834015.0,
2008-05-08,341.0,257.0,264.25,340.0,,813918.0,
2008-05-09,402.0,335.0,338.25,374.5,,2791867.0,
2008-05-12,386.25,351.0,386.25,365.0,,700667.0,
2008-05-13,366.0,333.0,366.0,359.0,,1698916.0,
2008-05-14,365.0,335.0,364.5,365.0,,402271.0,
2008-05-15,367.0,332.5,365.0,342.0,,480361.0,
2008-05-16,355.0,344.5,351.5,355.0,,483101.0,
2008-05-19,350.0,335.0,349.0,350.0,,279893.0,
2008-05-20,349.75,294.75,349.75,294.75,,649355.0,
2008-05-21,317.25,286.75,294.75,295.25,,1434480.0,
2008-05-22,317.75,288.5,300.0,315.0,,1368852.0,
2008-05-23,370.0,315.0,315.0,370.0,,739084.0,
2008-05-27,347.0,347.0,347.0,347.0,,88814.0,
2008-05-28,,,,347.0,,,
