Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2017-05-15,101.9,100.0,101.25,102.5,42,801242
2017-05-16,101.5,100.36,101.5,101.5,32,419169
2017-05-17,101.59,100.5,101.5,102.0,31,377559
2017-05-18,101.56,99.0,100.0,102.0,25,361594
2017-05-19,100.76,100.0,100.0,99.75,23,234249
2017-05-22,100.7,99.11,100.25,100.0,17,127351
2017-05-23,100.99,100.11,101.0,100.25,20,417443
2017-05-24,101.5,100.11,101.0,101.0,7,76300
2017-05-25,101.8,100.11,100.875,101.25,12,372120
2017-05-26,102.0,99.81,101.125,100.75,19,2846825
2017-05-30,102.32,100.2925,101.75,101.125,27,262694
2017-05-31,102.5,101.26,102.0,101.75,10,550201
2017-06-01,103.95,101.61,103.25,102.0,19,824137
2017-06-02,104.24,102.0,103.25,103.25,21,245726
2017-06-05,104.19,102.11,103.25,103.25,13,57165
2017-06-06,104.18,102.1,103.25,103.25,17,113107
2017-06-07,104.5,102.76,103.5,103.25,12,82598
2017-06-08,104.16,102.76,103.5,103.5,15,173297
2017-06-09,105.4694,103.26,104.25,103.5,16,300736
2017-06-12,105.35,103.26,104.25,104.25,17,89377
2017-06-13,105.125,103.26,104.25,104.25,10,73241
2017-06-14,105.075,103.31,104.25,104.25,7,21866
2017-06-15,105.74,103.31,104.75,104.25,16,73472
2017-06-16,106.0,103.75,104.75,104.75,13,71920
2017-06-19,106.0,103.975,104.75,104.75,22,125971
2017-06-20,106.5,104.11,105.5,104.75,13,189601
2017-06-21,106.5,104.5,105.5,105.5,14,79117
2017-06-22,106.75,104.7289,105.625,105.5,17,341778
2017-06-23,106.6875,105.11,106.125,105.875,16,61649
2017-06-26,106.75,105.65,106.125,106.125,17,67357
2017-06-27,105.9,104.5,105.375,106.75,8,72777
2017-06-28,105.9,104.51,105.375,105.375,16,116359
2017-06-29,105.9,105.0,105.375,105.375,13,46469
2017-06-30,105.88,105.01,105.375,105.75,11,67417
2017-07-03,105.86,105.01,105.375,105.375,10,42967
2017-07-04,106.0,105.01,105.375,105.375,10,184836
2017-07-05,105.9937,104.8,105.125,105.75,17,120570
2017-07-06,105.73,104.82,105.125,105.125,14,92903
2017-07-07,106.0,104.16,105.125,105.125,11,67783
2017-07-10,105.4,102.5,104.75,105.0,9,172690
2017-07-11,105.05,103.51,104.75,104.75,13,72378
2017-07-12,104.99,103.51,104.75,104.75,8,49990
2017-07-13,104.975,103.5,104.75,104.75,7,64100
2017-07-14,104.975,103.51,104.75,104.75,7,28779
2017-07-17,104.975,102.5,104.75,104.75,14,130825
2017-07-18,104.5,104.5,104.75,104.75,7,32865
2017-07-19,105.1562,103.5,104.75,104.75,11,136071
2017-07-20,105.175,103.51,104.75,104.75,15,80975
2017-07-21,105.16,103.51,104.75,104.75,9,40418
2017-07-24,105.16,103.51,104.75,104.75,10,31065
2017-07-25,105.15,103.51,104.75,104.75,7,70045
2017-07-26,105.5,103.525,105.25,104.75,12,100797
2017-07-27,105.96,104.51,105.25,105.25,11,118655
2017-07-28,106.8,104.5,105.75,105.25,14,189560
2017-07-31,106.775,104.5,105.5,105.75,9,90928
2017-08-01,106.27,104.01,105.0,105.5,10,66822
2017-08-02,105.175,103.5,104.75,105.0,12,70359
2017-08-03,105.175,103.525,104.75,104.75,11,47406
2017-08-04,105.51,103.525,104.75,104.75,8,60727
2017-08-07,105.51,103.54,104.75,104.75,7,25497
2017-08-08,105.51,103.3,104.75,104.75,13,169355
2017-08-09,105.0,103.51,104.75,104.75,8,50661
2017-08-10,106.5,103.525,105.25,104.75,14,143084
2017-08-11,104.495,102.025,103.25,104.25,17,133125
2017-08-14,105.48,103.41,104.5,103.25,12,87169
2017-08-15,105.84,103.84,104.75,104.75,9,72915
2017-08-16,106.0,104.6,105.0,104.75,13,51311
2017-08-17,106.0,105.99,105.5,105.0,6,37041
2017-08-18,106.3425,104.6,105.375,105.25,4,12793
2017-08-21,107.0,104.82,105.75,105.375,15,63946
2017-08-22,107.0,104.5,105.75,105.75,18,187646
2017-08-23,106.9,106.725,105.875,105.75,9,59078
2017-08-24,107.25,105.5375,106.25,105.875,8,54267
2017-08-25,107.5,105.9,106.875,106.25,10,84510
