Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
1995-09-22,36.0,30.0,36.0,30.0,,
1995-09-25,38.0,36.0,38.0,36.0,,
1995-09-26,38.0,38.0,38.0,38.0,,
1995-09-27,38.0,38.0,38.0,38.0,,
1995-09-28,38.0,38.0,38.0,38.0,,
1995-09-29,38.0,37.0,37.0,38.0,,
1995-10-02,37.0,36.0,36.0,37.0,,
1995-10-03,36.0,36.0,36.0,36.0,,
1995-10-04,36.0,36.0,36.0,36.0,,
1995-10-05,36.0,36.0,36.0,36.0,,
1995-10-06,36.0,36.0,36.0,36.0,,
1995-10-09,36.0,36.0,36.0,36.0,,
1995-10-10,36.0,36.0,36.0,36.0,,
1995-10-11,36.0,36.0,36.0,36.0,,
1995-10-12,36.0,36.0,36.0,36.0,,
1995-10-13,36.0,36.0,36.0,36.0,,
1995-10-16,36.0,36.0,36.0,36.0,,
1995-10-17,36.0,36.0,36.0,36.0,,
1995-10-18,36.0,36.0,36.0,36.0,,
1995-10-19,36.0,36.0,36.0,36.0,,
1995-10-20,36.0,36.0,36.0,36.0,,
1995-10-23,36.0,36.0,36.0,36.0,,
1995-10-24,36.0,36.0,36.0,36.0,,
1995-10-25,36.0,36.0,36.0,36.0,,
1995-10-26,36.0,36.0,36.0,36.0,,
1995-10-27,36.0,36.0,36.0,36.0,,
1995-10-30,36.0,36.0,36.0,36.0,,
1995-10-31,36.0,36.0,36.0,36.0,,
1995-11-01,36.0,36.0,36.0,36.0,,
1995-11-02,36.0,36.0,36.0,36.0,,
1995-11-03,36.0,36.0,36.0,36.0,,
1995-11-06,36.0,36.0,36.0,36.0,,
1995-11-07,36.0,36.0,36.0,36.0,,
1995-11-08,36.0,36.0,36.0,36.0,,
1995-11-09,36.0,36.0,36.0,36.0,,
1995-11-10,36.0,36.0,36.0,36.0,,
1995-11-13,36.0,36.0,36.0,36.0,,
1995-11-14,38.0,36.0,38.0,36.0,,
1995-11-15,38.0,38.0,38.0,38.0,,
1995-11-16,38.0,38.0,38.0,38.0,,
1995-11-17,38.0,38.0,38.0,38.0,,
1995-11-20,38.0,38.0,38.0,38.0,,
1995-11-21,38.0,38.0,38.0,38.0,,
1995-11-22,38.0,38.0,38.0,38.0,,
1995-11-23,38.0,38.0,38.0,38.0,,
1995-11-24,38.0,38.0,38.0,38.0,,
1995-11-27,38.0,38.0,38.0,38.0,,
1995-11-28,40.0,38.0,40.0,38.0,,
1995-11-29,40.0,40.0,40.0,40.0,,
1995-11-30,40.0,40.0,40.0,40.0,,
1995-12-01,40.0,40.0,40.0,40.0,,
1995-12-04,40.0,40.0,40.0,40.0,,
1995-12-05,40.0,40.0,40.0,40.0,,
1995-12-06,40.0,40.0,40.0,40.0,,
1995-12-07,40.0,40.0,40.0,40.0,,
1995-12-08,40.0,40.0,40.0,40.0,,
1995-12-11,40.0,40.0,40.0,40.0,,
1995-12-12,40.0,40.0,40.0,40.0,,
1995-12-13,40.0,40.0,40.0,40.0,,
