Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2007-03-12,29.0,21.75,21.75,29.0,,3403739
2007-03-13,23.75,23.25,23.75,23.25,,2057648
2007-03-14,24.0,22.75,23.0,23.75,,1271228
2007-03-15,24.25,23.5,24.25,23.5,,2735319
2007-03-16,24.25,23.5,24.25,24.25,,1587355
2007-03-19,24.25,23.25,24.0,24.25,,344370
2007-03-20,24.0,23.5,24.0,24.0,,605261
2007-03-21,24.0,24.0,24.0,24.0,,714241
2007-03-22,24.0,24.0,24.0,24.0,,126511
2007-03-23,24.0,24.0,24.0,24.0,,902624
2007-03-26,24.0,23.25,23.25,23.5,,1154262
2007-03-27,23.25,22.75,22.75,23.25,,966476
2007-03-28,23.25,23.0,23.0,23.25,,2111122
2007-03-29,23.75,22.75,23.75,23.0,,1210187
2007-03-30,23.75,23.75,23.75,23.75,,1512483
2007-04-02,23.75,23.0,23.25,23.75,,1046560
2007-04-03,23.75,23.75,23.75,23.75,,215133
2007-04-04,23.75,23.75,23.75,23.75,,1418000
2007-04-05,23.75,22.75,23.0,23.75,,412739
2007-04-10,23.25,22.75,23.0,23.0,,204941
2007-04-11,23.0,22.75,23.0,23.0,,178284
2007-04-12,23.0,23.0,23.0,23.0,,142997
2007-04-13,24.0,23.0,24.0,23.0,,622441
2007-04-16,27.75,25.0,25.0,26.0,,1488646
2007-04-17,25.0,24.75,24.75,25.0,,251082
2007-04-18,25.0,24.75,25.0,24.75,,1923906
2007-04-19,25.75,25.0,25.25,25.0,,317476
2007-04-20,25.25,25.0,25.25,25.25,,2713388
2007-04-23,25.5,25.25,25.5,25.25,,1725508
2007-04-24,25.75,25.25,25.5,25.5,,514493
2007-04-25,25.5,25.25,25.5,25.5,,189563
2007-04-26,25.5,25.5,25.5,25.5,,384289
2007-04-27,27.0,25.5,26.5,25.5,,850268
2007-04-30,27.5,26.25,26.75,26.5,,2041049
2007-05-01,27.5,26.75,27.25,26.75,,2085222
2007-05-02,29.75,27.25,29.75,27.25,,2846458
2007-05-03,29.75,27.75,28.0,29.75,,2598967
2007-05-04,29.0,28.25,28.5,28.25,,536144
2007-05-08,28.75,28.5,28.75,28.5,,354563
2007-05-09,28.75,26.75,27.0,28.75,,1023398
2007-05-10,27.0,26.25,26.75,27.0,,6625568
2007-05-11,26.75,25.0,25.75,26.75,,3934125
2007-05-14,26.5,26.25,26.5,26.25,,2235282
2007-05-15,27.0,25.75,26.25,26.75,,1310822
2007-05-16,27.5,26.75,27.25,27.0,,5105725
2007-05-17,28.25,27.25,27.75,27.25,,936145
2007-05-18,28.25,27.75,28.0,27.75,,362000
2007-05-21,28.75,28.0,28.5,28.0,,1345921
2007-05-22,33.0,28.75,33.0,28.75,,3906252
2007-05-23,37.5,33.0,36.0,33.0,,6166311
