Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
1998-06-04,158.0,146.0,150.5,157.0,,3929052
1998-06-05,154.0,147.0,149.5,152.0,,827669
1998-06-08,152.0,145.0,147.5,152.0,,444224
1998-06-09,150.0,145.0,147.5,147.0,,11404
1998-06-10,150.0,145.0,147.5,150.0,,21940
1998-06-11,155.0,147.0,153.0,149.0,,217722
1998-06-12,159.0,151.0,156.5,151.0,,61778
1998-06-15,160.0,155.0,155.5,160.0,,78949
1998-06-16,155.0,150.0,151.5,152.0,,185767
1998-06-17,153.0,148.0,150.0,153.0,,28170
1998-06-18,152.0,148.0,150.0,152.0,,16271
1998-06-19,150.0,145.0,145.0,148.0,,146818
1998-06-22,146.0,141.0,143.0,143.0,,17534
1998-06-23,144.0,135.0,137.5,141.0,,45456
1998-06-24,140.0,135.0,137.5,135.0,,15574
1998-06-25,139.0,138.0,138.0,139.0,,26766
1998-06-26,150.0,141.0,149.0,141.0,,31160
1998-06-29,152.0,149.0,150.0,149.0,,13660
1998-06-30,152.0,147.0,149.5,147.0,,10229
1998-07-01,147.0,147.0,148.5,147.0,,4500
1998-07-02,,,148.5,,,
1998-07-03,150.0,147.0,147.5,147.0,,11000
1998-07-06,146.0,145.0,147.5,146.0,,3640
1998-07-07,143.0,138.0,139.5,143.0,,16233
1998-07-08,142.0,142.0,140.0,142.0,,300
1998-07-09,143.0,138.0,140.5,142.0,,3550
1998-07-10,142.0,142.0,140.5,142.0,,6860
1998-07-13,143.0,137.0,137.5,138.0,,14367
1998-07-14,138.0,135.0,136.5,135.0,,13803
1998-07-15,140.0,137.0,138.5,138.0,,7400
1998-07-16,137.0,137.0,138.5,137.0,,682
1998-07-17,,,138.5,,,
1998-07-20,137.0,137.0,138.5,137.0,,1000
1998-07-21,140.0,135.0,137.0,140.0,,6960
1998-07-22,135.0,132.0,132.5,135.0,,5710
1998-07-23,135.0,124.0,127.5,135.0,,38360
1998-07-24,127.0,123.0,125.0,125.0,,281545
1998-07-27,,,125.0,,,
1998-07-28,127.0,123.0,125.0,123.0,,943
1998-07-29,123.0,123.0,124.0,123.0,,7014
1998-07-30,125.0,123.0,124.0,123.5,,524500
1998-07-31,,,124.0,,,
1998-08-03,123.0,123.0,124.0,123.0,,7431
1998-08-04,126.0,125.0,125.0,125.0,,5000
1998-08-05,121.0,117.0,120.0,117.0,,1310
1998-08-06,122.0,118.0,120.0,118.0,,3440
1998-08-07,123.0,119.0,120.5,123.0,,5050
1998-08-10,121.0,121.0,122.5,121.0,,2000
1998-08-11,125.0,118.0,120.0,125.0,,4507
1998-08-12,,,120.0,,,
1998-08-13,120.0,117.0,118.5,118.0,,4960
1998-08-14,117.0,113.0,113.5,117.0,,16938
1998-08-17,112.0,112.0,113.0,112.0,,395
1998-08-18,115.5,113.0,115.0,114.5,,
1998-08-19,115.5,114.5,115.0,114.5,,
1998-08-20,115.5,114.5,115.0,115.5,,
1998-08-21,115.5,113.5,113.5,115.5,,
1998-08-24,114.5,113.5,113.5,114.5,,
1998-08-25,114.5,113.5,113.5,114.5,,
1998-08-26,114.5,109.5,111.0,114.5,,
1998-08-27,112.5,109.5,111.0,109.5,,
1998-08-28,110.5,106.5,106.5,110.5,,
1998-09-01,105.5,97.5,98.5,105.5,,
1998-09-02,102.5,100.0,101.5,100.5,,
1998-09-03,101.5,100.5,101.5,100.5,,
1998-09-04,101.5,97.5,98.5,100.5,,
1998-09-07,99.5,98.5,98.5,99.5,,
1998-09-08,101.0,98.5,101.0,99.5,,
1998-09-09,103.5,102.5,103.5,102.5,,
1998-09-10,103.5,100.5,101.5,102.5,,
1998-09-11,102.5,100.5,101.5,102.5,,
1998-09-14,101.5,100.0,100.0,100.5,,
1998-09-15,100.0,99.5,100.0,99.5,,
1998-09-16,100.0,99.5,100.0,99.5,,
1998-09-17,100.0,99.5,99.5,99.5,,
1998-09-18,99.0,96.0,96.0,98.5,,
1998-09-21,97.5,94.5,96.0,97.5,,
1998-09-22,97.5,96.0,96.0,97.5,,
1998-09-23,97.5,94.5,96.0,97.5,,
1998-09-24,97.5,96.0,96.0,97.5,,
1998-09-25,97.5,89.5,90.5,97.5,,
1998-09-28,91.5,90.5,90.5,91.5,,
1998-09-29,91.5,82.5,82.5,91.5,,
1998-09-30,82.5,82.5,82.5,82.5,,
1998-10-01,80.0,77.5,77.5,77.5,,
1998-10-02,78.5,75.5,77.5,75.5,,
1998-10-05,79.5,76.5,76.5,79.5,,
1998-10-06,77.5,76.5,76.5,77.5,,
1998-10-07,79.0,77.5,78.5,77.5,,
1998-10-08,78.5,77.5,78.5,77.5,,33000
1998-10-09,78.5,78.0,78.0,78.5,,
1998-10-12,78.5,77.5,78.0,77.5,,
1998-10-13,78.0,77.5,78.0,77.5,,
1998-10-14,78.0,77.5,78.0,77.5,,
1998-10-15,79.5,77.5,79.5,77.5,,
1998-10-16,81.5,77.5,79.5,77.5,,
1998-10-19,81.5,79.5,79.5,80.5,,
1998-10-20,81.5,79.5,79.5,81.5,,
1998-10-21,80.5,77.5,79.5,80.5,,
1998-10-22,81.5,79.0,79.5,81.5,,
1998-10-23,81.5,79.0,79.5,80.5,,
1998-10-26,81.5,79.5,79.5,81.5,,
1998-10-27,81.5,79.5,79.5,80.5,,
1998-10-28,81.5,77.5,79.5,77.5,,
1998-10-29,80.5,77.5,79.5,80.5,,
1998-10-30,80.5,75.0,75.0,80.5,,
1998-11-02,75.5,74.5,74.5,75.5,,
1998-11-03,75.0,72.0,73.0,74.5,,
1998-11-04,74.5,72.5,73.0,74.5,,
1998-11-05,74.5,72.0,73.0,74.5,,
1998-11-06,73.5,70.5,71.0,72.5,,
1998-11-09,71.0,69.5,71.0,70.5,,
1998-11-10,72.5,70.0,71.0,70.5,,
1998-11-11,71.5,70.0,71.0,70.5,,
1998-11-12,72.5,70.0,71.0,70.5,,
1998-11-13,72.5,70.0,71.0,70.5,,
1998-11-16,72.5,70.0,71.0,70.5,,
1998-11-17,71.5,70.0,71.0,70.5,,
1998-11-18,72.5,70.0,71.0,70.5,,
1998-11-19,71.0,69.5,71.0,70.5,,
1998-11-20,71.5,69.5,71.0,69.5,,
1998-11-23,72.5,71.0,71.0,72.5,,
1998-11-24,71.5,69.5,70.5,69.5,,
1998-11-25,71.0,69.5,70.5,69.5,,
1998-11-26,71.0,69.5,70.5,69.5,,
1998-11-27,72.5,68.5,70.5,68.5,,
1998-11-30,71.5,69.5,70.5,69.5,,
1998-12-01,72.5,63.5,70.5,72.5,,
1998-12-02,63.5,61.5,63.0,62.5,,
1998-12-03,62.5,57.5,57.5,62.5,,
1998-12-04,58.5,55.5,57.5,55.5,,
1998-12-07,57.5,55.0,56.0,55.5,,1000
1998-12-08,56.0,54.5,56.0,54.5,,
1998-12-09,56.0,54.0,54.0,54.5,,
1998-12-10,53.0,50.0,50.0,50.5,,
1998-12-11,50.5,49.5,49.5,50.5,,
1998-12-14,50.5,48.0,49.0,48.5,,
1998-12-15,49.0,47.5,49.0,48.5,,85000
1998-12-16,50.5,47.5,49.0,50.5,,
1998-12-17,50.5,49.0,49.0,50.5,,50000
1998-12-18,50.5,47.5,50.5,47.5,,
1998-12-21,51.5,49.0,51.5,50.5,,
1998-12-22,52.5,51.0,51.5,52.5,,
1998-12-23,54.0,52.0,54.0,52.5,,
1998-12-24,54.0,53.5,54.0,53.5,,
1998-12-29,60.5,53.5,59.0,53.5,,
1998-12-30,73.0,57.5,73.0,57.5,,
1999-01-04,74.5,72.0,72.5,74.5,,220000
1999-01-05,72.5,72.5,72.5,72.5,,
1999-01-06,72.5,64.5,64.5,72.5,,
1999-01-07,64.5,63.5,63.5,64.5,,
1999-01-08,64.5,63.0,63.0,64.5,,
1999-01-11,64.5,62.0,62.5,64.5,,
1999-01-12,63.0,62.0,62.5,62.5,,
1999-01-13,63.5,62.5,62.5,62.5,,
1999-01-14,63.0,62.5,62.5,62.5,,
1999-01-15,62.5,61.5,61.5,62.5,,
1999-01-18,62.5,61.5,61.5,62.5,,
1999-01-19,62.5,61.5,61.5,62.5,,
1999-01-20,62.5,61.5,61.5,62.5,,
1999-01-21,62.5,61.5,62.0,62.5,,
1999-01-22,62.5,62.0,62.0,62.5,,
1999-01-25,62.5,62.0,62.0,62.5,,
1999-01-26,62.5,60.5,61.5,62.5,,3820
1999-01-27,62.5,60.5,61.5,62.5,,
1999-01-28,62.5,60.5,61.5,62.5,,
1999-01-29,61.5,60.0,61.0,60.5,,
1999-02-01,62.5,60.5,61.0,60.5,,
1999-02-02,62.5,60.5,61.0,62.5,,
1999-02-03,62.5,60.5,61.0,62.5,,
1999-02-04,62.5,60.5,61.0,62.5,,
1999-02-05,62.5,61.5,61.5,62.5,,
1999-02-08,62.5,61.5,61.5,62.5,,
1999-02-09,62.5,60.5,60.5,62.5,,
1999-02-10,62.5,59.5,61.5,59.5,,
1999-02-11,62.5,60.5,61.5,62.5,,
1999-02-12,61.5,60.5,61.5,60.5,,
1999-02-15,61.5,60.5,61.5,60.5,,
1999-02-16,62.5,60.5,61.5,62.5,,
1999-02-17,62.5,60.5,61.5,62.5,,
1999-02-18,62.5,57.5,58.5,62.5,,
1999-02-19,59.5,57.5,58.5,57.5,,
1999-02-22,61.0,58.5,61.0,59.5,,
1999-02-23,61.0,59.5,60.0,59.5,,
1999-02-24,60.5,51.5,53.0,60.5,,
1999-02-25,53.5,52.0,52.0,53.5,,
1999-02-26,53.5,52.0,52.0,53.5,,
1999-03-01,53.5,52.0,52.0,53.5,,
1999-03-02,53.0,52.0,52.0,52.5,,
1999-03-03,53.5,51.5,52.0,53.5,,
