Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
2000-08-16,56.0,52.0,54.5,52.0,,971646.0,
2000-08-17,57.0,54.0,55.0,54.0,,423016.0,
2000-08-18,56.0,54.0,55.0,56.0,,518040.0,
2000-08-21,56.0,54.0,55.0,56.0,,45373.0,
2000-08-22,56.0,54.0,55.0,56.0,,17891.0,
2000-08-23,56.0,54.0,55.0,56.0,,19960.0,
2000-08-24,56.0,53.5,55.0,54.0,,187416.0,
2000-08-25,56.0,53.5,55.0,56.0,,261534.0,
2000-08-29,56.0,54.0,55.0,54.2,,13713.0,
2000-08-30,56.0,54.0,55.0,54.0,,249547.0,
2000-08-31,56.0,54.0,55.0,54.25,,103183.0,
2000-09-01,57.0,54.0,55.0,56.5,,480556.0,
2000-09-04,59.0,55.5,58.0,56.0,,1295706.0,
2000-09-05,62.5,59.0,60.5,60.0,,475497.0,
2000-09-06,62.0,59.5,60.5,61.5,,188400.0,
2000-09-07,62.0,59.0,60.5,59.0,,160605.0,
2000-09-08,62.0,59.0,60.5,61.64,,77682.0,
2000-09-11,62.0,59.0,60.5,61.5,,17040.0,
2000-09-12,59.76,56.5,58.0,59.5,,4149029.0,
2000-09-13,58.76,56.0,58.0,58.75,,273820.0,
2000-09-14,59.0,56.0,57.5,56.0,,28973.0,
2000-09-15,59.0,56.0,57.5,56.5,,137901.0,
2000-09-18,59.0,56.0,57.5,56.0,,31461.0,
2000-09-19,59.0,56.0,57.5,56.5,,63036.0,
2000-09-20,56.5,56.0,57.5,56.0,,41233.0,
2000-09-21,56.5,55.0,56.0,56.0,,116738.0,
2000-09-22,55.0,52.0,54.0,55.0,,182780.0,
2000-09-25,53.25,53.0,54.0,53.25,,15692.0,
2000-09-26,55.0,53.0,54.0,53.25,,8983.0,
2000-09-27,53.76,52.0,53.0,53.0,,29656.0,
2000-09-28,53.76,51.0,53.0,52.0,,177225.0,
2000-09-29,54.0,52.0,53.0,52.25,,14926.0,
2000-10-02,53.75,52.0,53.0,52.25,,30572.0,
2000-10-03,53.0,51.0,52.0,52.0,,141172.0,
2000-10-04,51.64,49.0,50.5,50.0,,251982.0,
2000-10-05,50.0,49.0,50.5,49.0,,170385.0,
2000-10-06,52.0,49.0,50.5,49.0,,104753.0,
2000-10-09,49.5,49.0,50.5,49.5,,25066.0,
2000-10-10,49.5,49.0,50.5,49.5,,106576.0,
2000-10-11,50.75,48.0,49.0,49.5,,48205.0,
2000-10-12,48.24,47.0,48.5,48.0,,60206.0,
2000-10-13,46.875,45.0,46.5,45.5,,275061.0,
2000-10-16,47.64,45.0,46.5,47.64,,11336.0,
2000-10-17,48.0,45.0,46.5,45.25,,15384.0,
2000-10-18,47.76,45.0,47.0,45.0,,76651.0,
2000-10-19,47.0,46.0,46.5,46.0,,46270.0,
2000-10-20,47.5,46.0,46.5,46.0,,38598.0,
2000-10-23,47.0,46.0,46.5,46.0,,12631.0,
2000-10-24,46.0,45.0,46.0,46.0,,88556.0,
2000-10-25,47.0,45.0,46.0,46.75,,432500.0,
2000-10-26,45.24,45.0,46.0,45.0,,15096.0,
2000-10-27,47.0,45.0,46.0,45.0,,79173.0,
2000-10-30,45.5,45.0,46.0,45.0,,8767.0,
2000-10-31,45.5,45.0,46.0,45.5,,16121.0,
2000-11-01,46.5,45.0,46.0,46.5,,11136.0,
2000-11-02,45.24,43.0,46.0,45.24,,543661.0,
2000-11-03,47.0,43.0,46.0,45.0,,196802.0,
2000-11-06,49.0,45.0,46.0,49.0,,818196.0,
2000-11-07,47.5,45.0,47.0,46.75,,334501.0,
2000-11-08,48.0,45.0,47.0,48.0,,383440.0,
2000-11-09,48.0,45.0,46.5,45.36,,62953.0,
2000-11-10,48.0,45.0,46.5,48.0,,55598.0,
2000-11-13,45.5,44.0,45.5,45.5,,35456.0,
2000-11-14,44.0,44.0,45.5,44.0,,7702.0,
2000-11-15,47.0,44.0,45.5,44.0,,41606.0,
2000-11-16,47.0,44.0,45.5,46.75,,50680.0,
2000-11-17,45.0,43.0,44.0,44.0,,124990.0,
2000-11-20,45.0,41.0,42.0,43.0,,133673.0,
2000-11-21,43.0,39.0,40.5,41.0,,105258.0,
2000-11-22,41.0,39.0,41.0,40.0,,440485.0,
2000-11-23,42.0,39.0,40.5,40.0,,148922.0,
2000-11-24,40.1,40.0,40.5,40.1,,7343.0,
2000-11-27,40.0,35.0,40.5,40.0,,23513750.0,
2000-11-28,41.0,40.0,40.5,40.5,,445729.0,
2000-11-29,40.0,38.0,39.0,40.0,,22007.0,
2000-11-30,38.0,38.0,39.0,38.0,,35790.0,
2000-12-01,40.0,37.0,38.5,38.5,,45604.0,
2000-12-04,38.0,37.0,38.5,37.0,,44420.0,
2000-12-05,38.0,37.0,38.0,37.0,,185962.0,
2000-12-06,37.0,35.0,38.0,37.0,,227685.0,
2000-12-07,39.0,36.0,37.5,36.0,,56621.0,
2000-12-08,36.5,36.0,37.5,36.5,,14244.0,
2000-12-11,38.64,36.0,37.5,38.64,,8335.0,
2000-12-12,39.0,35.25,37.0,39.0,,56040.0,
2000-12-13,38.2,36.0,39.0,36.0,,172334.0,
2000-12-14,38.0,37.0,38.5,37.3,,31160.0,
2000-12-15,37.36,36.0,37.0,37.36,,279909.0,
2000-12-18,38.0,36.0,37.0,36.0,,12013.0,
2000-12-19,36.0,36.0,37.0,36.0,,5000.0,
2000-12-20,38.0,35.0,36.0,35.0,,183041.0,
2000-12-21,36.5,35.0,36.0,35.0,,770650.0,
2000-12-22,36.0,34.5,35.5,35.0,,314350.0,
2000-12-27,35.12,35.0,35.5,35.0,,11457.0,
2000-12-28,35.88,35.0,35.5,35.0,,62236.0,
2000-12-29,36.0,35.0,35.5,35.0,,29000.0,
2001-01-02,35.25,35.0,35.5,35.0,,72148.0,
2001-01-03,36.0,34.0,35.5,35.0,,702465.0,
2001-01-04,35.12,35.0,35.5,35.0,,33369.0,
2001-01-05,35.12,35.0,35.5,35.0,,13117.0,
2001-01-08,35.88,35.0,35.5,35.0,,16542.0,
2001-01-09,36.0,35.0,35.5,35.1,,37146.0,
2001-01-10,35.5,34.5,35.5,35.0,,448368.0,
2001-01-11,36.0,35.0,35.5,35.0,,82999.0,
2001-01-12,35.0,35.0,35.5,35.0,,4643.0,
2001-01-15,36.0,35.0,35.5,35.0,,153998.0,
2001-01-16,35.12,35.0,35.5,35.0,,3631.0,
