Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
1990-06-29,117.5,116.25,,117.5,,
1990-07-02,117.5,116.25,,117.5,,
1990-07-03,117.5,116.25,,117.5,,
1990-07-04,117.5,116.25,,117.5,,
1990-07-05,117.5,116.25,,117.5,,
1990-07-06,117.5,116.25,,117.5,,
1990-07-09,117.5,116.25,,117.5,,
1990-07-10,117.5,116.25,,117.5,,
1990-07-11,117.5,116.25,,117.5,,
1990-07-12,117.5,117.5,,117.5,,
1990-07-13,117.5,117.5,,117.5,,
1990-07-16,117.5,116.25,,117.5,,
1990-07-17,117.5,116.25,,117.5,,
1990-07-18,117.5,116.25,,116.25,,
1990-07-19,116.25,116.25,,116.25,,
1990-07-20,116.25,116.25,,116.25,,
1990-07-23,116.25,116.25,,116.25,,
1990-07-24,116.75,116.25,,116.25,,
1990-07-25,116.75,116.25,,116.75,,
1990-07-26,116.75,116.25,,116.75,,
1990-07-27,116.75,116.25,,116.75,,
1990-07-30,116.75,116.25,,116.25,,
1990-07-31,116.75,116.25,,116.75,,
1990-08-01,116.25,116.25,,116.25,,
1990-08-02,116.25,116.25,,116.25,,
1990-08-03,116.25,116.25,,116.25,,
1990-08-06,116.25,116.25,,116.25,,
1990-08-07,116.25,115.75,,116.25,,
1990-08-08,116.25,115.5,,115.75,,
1990-08-09,116.25,115.5,,115.75,,
1990-08-10,116.25,115.5,,115.5,,
1990-08-13,116.25,113.75,,115.5,,
1990-08-14,116.25,113.75,,113.75,,
1990-08-15,116.25,113.75,,113.75,,
1990-08-16,113.75,112.5,,113.75,,
1990-08-17,113.75,112.5,,112.5,,
1990-08-20,113.75,112.5,,112.5,,
1990-08-21,113.75,112.5,,113.75,,
1990-08-22,113.75,112.5,,112.5,,
1990-08-23,113.75,112.5,,112.5,,
1990-08-24,113.75,112.5,,112.5,,
1990-08-28,113.75,112.5,,112.5,,
1990-08-29,113.75,111.25,,112.5,,
1990-08-30,112.5,111.25,,112.5,,
1990-08-31,112.5,111.25,,112.5,,
1990-09-03,112.5,111.25,,112.5,,
1990-09-04,111.25,111.25,,111.25,,
1990-09-05,111.25,111.25,,111.25,,
1990-09-06,111.25,111.25,,111.25,,
1990-09-07,111.25,111.25,,111.25,,
1990-09-10,111.25,111.25,,111.25,,
1990-09-11,111.25,111.25,,111.25,,
1990-09-12,111.25,111.25,,111.25,,
1990-09-13,111.25,111.25,,111.25,,
1990-09-14,111.25,111.25,,111.25,,
1990-09-17,111.25,110.0,,111.25,,
1990-09-18,111.25,110.0,,111.25,,
1990-09-19,111.25,110.0,,111.25,,
1990-09-20,111.25,110.0,,110.0,,
1990-09-21,111.25,110.0,,111.25,,
1990-09-24,110.0,110.0,,110.0,,
1990-09-25,110.0,110.0,,110.0,,
1990-09-27,110.0,110.0,,110.0,,
1990-09-28,110.0,110.0,,110.0,,
1990-10-01,110.0,110.0,,110.0,,
1990-10-02,110.0,110.0,,110.0,,
1990-10-03,110.0,110.0,,110.0,,
1990-10-04,110.0,108.75,,110.0,,
1990-10-05,110.0,108.75,,108.75,,
1990-10-08,110.0,110.0,,110.0,,
1990-10-09,110.0,107.5,,110.0,,
1990-10-10,110.0,107.5,,110.0,,
1990-10-11,110.0,107.5,,110.0,,
1990-10-12,110.0,107.5,,110.0,,
1990-10-15,110.0,107.5,,107.5,,
1990-10-16,110.0,107.5,,110.0,,
1990-10-17,110.0,106.25,,110.0,,
1990-10-18,110.0,106.25,,110.0,,
1990-10-19,108.75,106.25,,108.75,,
1990-10-22,108.75,106.25,,108.75,,
1990-10-23,108.75,106.25,,108.75,,
1990-10-24,108.75,106.25,,108.75,,
1990-10-25,108.75,106.25,,108.75,,
1990-10-26,108.75,106.25,,108.75,,
1990-10-29,108.75,106.25,,108.75,,
1990-10-30,108.75,106.25,,108.75,,
1990-10-31,108.75,106.25,,108.75,,
1990-11-01,108.75,106.25,,108.75,,
1990-11-02,108.75,106.25,,108.75,,
1990-11-05,108.75,106.25,,108.75,,
1990-11-06,108.75,106.25,,108.75,,
1990-11-07,108.75,106.25,,108.75,,
1990-11-08,108.75,106.25,,108.75,,
1990-11-09,108.75,106.25,,108.75,,
1990-11-12,108.75,106.25,,108.75,,
1990-11-13,108.75,106.25,,108.75,,
1990-11-14,108.75,106.25,,108.75,,
1990-11-15,108.75,106.25,,108.75,,
1990-11-16,108.75,106.25,,108.75,,
1990-11-19,108.75,106.25,,107.5,,
1990-11-20,108.75,106.25,,108.75,,
1990-11-21,108.75,106.25,,106.25,,
1990-11-22,108.75,106.25,,108.75,,
1990-11-23,108.75,106.25,,108.75,,
1990-11-26,108.75,106.25,,106.25,,
1990-11-27,108.75,106.25,,106.25,,
1990-11-28,108.75,108.75,,108.75,,
1990-11-29,108.75,108.75,,108.75,,
1990-11-30,108.75,108.75,,108.75,,
1990-12-03,108.75,108.75,,108.75,,
1990-12-04,108.75,108.75,,108.75,,
1990-12-05,108.75,108.75,,108.75,,
1990-12-06,108.75,108.75,,108.75,,
1990-12-07,108.75,108.75,,108.75,,
1990-12-10,108.75,107.5,,107.5,,
1990-12-11,107.5,107.5,,107.5,,
