Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2007-12-12,9.192,9.192,9.192,9.192,2.0,5492.0
2008-01-08,8.48,8.48,8.48,8.48,3.0,61194.0
2008-01-09,8.4473,8.4473,8.4473,8.4473,0.0,1.0
2008-01-10,8.4385,8.4385,8.4385,8.4385,2.0,41764.0
2008-01-14,8.0,8.0,8.0,8.0,1.0,15000.0
2008-01-16,7.66,7.66,7.66,7.66,19.0,11500.0
2008-01-18,7.36,7.36,7.36,7.36,8.0,3500.0
2008-01-21,7.02,7.02,7.02,7.02,1.0,500.0
2008-01-24,6.76,6.76,6.76,6.76,5.0,3000.0
2008-01-25,7.06,7.06,7.06,7.06,10.0,8000.0
2008-01-28,6.82,6.82,6.82,6.82,5.0,1500.0
2008-01-29,6.96,6.96,6.96,6.96,1.0,500.0
2008-02-01,6.8,6.8,6.8,6.8,2.0,1000.0
2008-02-04,6.7464,6.7464,6.7464,6.7464,2.0,80000.0
2008-02-05,6.64,6.64,6.64,6.64,4.0,4000.0
2008-02-06,6.7503,6.7503,6.7503,6.7503,0.0,1.0
2008-02-07,6.7464,6.7464,6.7464,6.7464,0.0,1.0
2008-02-11,6.62,6.62,6.62,6.62,1.0,10000.0
2008-02-12,6.92,6.92,6.92,6.92,4.0,5000.0
2008-02-15,7.1239,7.1239,7.1239,7.1239,3.0,360000.0
2008-02-18,7.123,7.123,7.123,7.123,0.0,1.0
2008-02-19,7.0819,7.0819,7.0819,7.0819,4.0,56500.0
2008-02-20,7.2,7.2,7.2,7.2,1.0,10000.0
2008-02-21,7.311,7.311,7.311,7.311,1.0,16081.0
2008-02-28,6.3338,6.3338,6.3338,6.3338,4.0,63157.0
2008-02-29,6.772,6.772,6.772,6.772,0.0,1.0
2008-03-03,6.131,6.131,6.131,6.131,1.0,163000.0
2008-03-12,6.168,6.168,6.168,6.168,1.0,14913.0
2008-03-13,5.88,5.88,5.88,5.88,1.0,6433.0
2008-03-18,5.58,5.58,5.58,5.58,1.0,100.0
2008-03-19,5.52,5.52,5.52,5.52,29.0,23932.0
2008-03-20,5.08,5.08,5.08,5.08,1.0,500.0
2008-03-26,5.13,5.13,5.13,5.13,1.0,646600.0
2008-03-27,5.46,5.46,5.46,5.46,5.0,5000.0
2008-03-28,5.5,5.5,5.5,5.5,3.0,2000.0
2008-04-01,5.22,5.22,5.22,5.22,8.0,14950.0
2008-04-02,5.5012,5.5012,5.5012,5.5012,7.0,30183.0
2008-04-03,5.626,5.626,5.626,5.626,1.0,50000.0
2008-04-04,5.48,5.48,5.48,5.48,1.0,40000.0
2008-04-10,5.28,5.28,5.28,5.28,1.0,500.0
2008-04-14,4.78,4.78,4.78,4.78,3.0,2000.0
2008-04-17,5.0,5.0,5.0,5.0,5.0,102000.0
2008-04-22,5.32,5.32,5.32,5.32,1.0,21965.0
2008-04-23,5.28,5.28,5.28,5.28,21.0,13736.0
2008-05-02,5.9814,5.9814,5.9814,5.9814,2.0,6000.0
2008-05-12,5.81,5.81,5.81,5.81,0.0,1.0
2008-05-16,5.78,5.78,5.78,5.78,136.0,251100.0
2008-05-19,5.7704,5.7704,5.7704,5.7704,194.0,700000.0
2008-05-20,5.86,5.86,5.86,5.86,3.0,600.0
2008-05-21,5.78,5.78,5.78,5.78,8.0,35000.0
2008-05-28,5.16,5.16,5.16,5.16,1.0,400.0
2008-05-30,5.5,5.5,5.5,5.5,267.0,952681.0
2008-06-02,5.5,5.5,5.5,5.5,8.0,10000.0
2008-06-04,5.54,5.54,5.54,5.54,1.0,200.0
2008-06-06,5.54,5.54,5.54,5.54,1.0,200.0
2008-06-11,5.06,5.06,5.06,5.06,128.0,250000.0
2008-06-12,5.04,5.04,5.04,5.04,144.0,257700.0
2008-06-13,5.02,5.02,5.02,5.02,1.0,500.0
2008-06-18,5.02,5.02,5.02,5.02,211.0,430000.0
2008-06-19,5.0,5.0,5.0,5.0,102.0,170000.0
2008-06-23,4.8,4.8,4.8,4.8,5.0,17000.0
2008-06-24,4.56,4.56,4.56,4.56,1.0,5000.0
2008-06-25,4.98,4.98,4.98,4.98,11.0,9500.0
2008-07-01,4.44,4.44,4.44,4.44,3.0,8256.0
2008-07-02,4.3,4.3,4.3,4.3,6.0,7500.0
2008-07-03,4.1398,4.1398,4.1398,4.1398,1.0,465000.0
2008-07-14,4.2,4.2,4.2,4.2,5.0,7900.0
2008-07-15,4.08,4.08,4.08,4.08,6.0,9269.0
2008-07-16,4.0,4.0,4.0,4.0,7.0,335000.0
2008-07-17,3.9765,3.9765,3.9765,3.9765,1.0,65000.0
2008-07-22,4.7,4.7,4.7,4.7,2.0,10000.0
2008-07-28,4.856,4.856,4.856,4.856,0.0,1.0
2008-07-30,4.7417,4.7417,4.7417,4.7417,1.0,100000.0
2008-08-05,4.5,4.5,4.5,4.5,2.0,10000.0
2008-08-06,4.66,4.66,4.66,4.66,9.0,10000.0
2008-08-14,4.26,4.26,4.26,4.26,3.0,15000.0
2008-09-15,3.86,3.86,3.86,3.86,1.0,12369.0
2008-09-22,4.0,4.0,4.0,4.0,87.0,200000.0
2008-09-23,3.74,3.74,3.74,3.74,219.0,500000.0
2008-10-02,3.68,3.68,3.68,3.68,1.0,100000.0
2008-10-06,3.38,3.38,3.5465,3.2135,6.0,5000.0
2008-10-08,3.0,3.0,3.0,3.0,2.0,10000.0
2008-10-10,2.82,2.65,2.71,2.76,19.0,25000.0
2008-10-13,2.7404,2.7404,2.7404,2.7404,0.0,1.0
2008-10-15,3.24,3.18,3.18,3.2399999999999998,52.0,123000.0
2008-10-16,2.9996,2.9996,2.9996,2.9996,2.0,400000.0
2008-10-24,2.1746,2.1746,2.1746,2.1746,1.0,170.0
2008-10-27,2.2182,2.2182,2.2182,2.2182,1.0,99000.0
2008-10-28,2.2182,2.2182,2.2182,2.2182,0.0,0.0
2008-10-29,2.1746,2.1746,2.1746,2.1746,0.0,1.0
2008-10-30,2.2254,2.2254,2.2254,2.2254,0.0,1.0
2009-01-16,1.92,1.9,1.9,1.92,78.0,150000.0
2009-01-22,1.72,1.72,1.7214,1.7186,1.0,165000.0
2009-01-27,1.732,1.732,1.732,1.732,0.0,1.0
2009-02-13,1.66,1.66,1.6597,1.6602999999999999,1.0,250000.0
2009-04-30,1.78,1.78,1.78,1.78,0.0,1.0
2009-05-22,2.74,2.74,2.74,2.74,1.0,4120.0
2009-05-27,2.44,2.44,2.44,2.43,1.0,4000.0
2009-06-03,2.56,2.54,2.54,2.56,21.0,40000.0
2009-06-12,2.48,2.41,2.44,2.48,77.0,40000.0
2009-06-15,2.41,2.35,2.37,2.36,20.0,40000.0
2009-06-30,2.1,2.1,2.1005,2.1005,1.0,104796.0
2009-07-01,2.1005,2.1005,2.1005,2.1005,0.0,0.0
2009-07-06,2.04,2.04,2.04,2.04,3.0,4237.0
2009-08-03,2.4,2.4,2.4,2.4,1.0,290000.0
2009-08-21,2.55,2.55,2.55,2.55,10.0,30000.0
2009-08-24,2.6,2.6,2.6,2.6,9.0,10000.0
2009-09-03,2.35,2.35,2.3493,2.3493,1.0,179700.0
