Date,CLOSE,HIGH,LOW,OPEN,COUNT,VOLUME
2021-05-13,370.0,370.0,370.0,370.0,12381.0,40137596.0
2021-05-14,370.0,370.0,370.0,370.0,4183.0,5454089.0
2021-05-17,370.0,370.0,370.0,370.0,6039.0,5411112.0
2021-05-18,370.0,370.0,370.0,370.0,3706.0,6434149.0
2021-05-19,370.0,370.0,370.0,370.0,2901.0,3610968.0
2021-05-20,370.0,370.0,370.0,370.0,1706.0,1584227.0
2021-05-21,370.0,370.0,370.0,370.0,1323.0,1695607.0
2021-05-24,370.0,370.0,370.0,370.0,574.0,1206196.0
2021-05-25,370.0,370.0,370.0,370.0,1661.0,1387644.0
2021-05-26,370.0,370.0,370.0,370.0,1331.0,1877183.0
2021-05-27,370.0,370.0,370.0,370.0,420.0,311035.0
2021-05-28,370.0,370.0,370.0,370.0,203.0,628942.0
2021-05-31,370.0,370.0,370.0,370.0,0.0,0.0
2021-06-01,370.0,370.0,370.0,370.0,332.0,462714.0
2021-06-02,370.0,370.0,370.0,370.0,149.0,469532.0
2021-06-03,370.0,370.0,370.0,370.0,407.0,541860.0
2021-06-04,370.0,370.0,370.0,370.0,265.0,295342.0
2021-06-07,370.0,370.0,370.0,370.0,176.0,170638.0
2021-06-08,370.0,370.0,370.0,370.0,221.0,209917.0
2021-06-09,370.0,370.0,370.0,370.0,209.0,332421.0
2021-06-10,370.0,370.0,370.0,370.0,362.0,385468.0
2021-06-11,370.0,370.0,370.0,370.0,152.0,157944.0
2021-06-14,370.0,370.0,370.0,370.0,231.0,285967.0
2021-06-15,370.0,370.0,370.0,370.0,507.0,2059668.0
2021-06-16,370.0,370.0,370.0,370.0,386.0,502542.0
2021-06-17,370.0,370.0,370.0,370.0,454.0,544643.0
2021-06-18,370.0,370.0,370.0,370.0,355.0,288833.0
2021-06-21,370.0,370.0,370.0,370.0,306.0,652824.0
2021-06-22,370.0,370.0,370.0,370.0,160.0,195077.0
2021-06-23,370.0,370.0,370.0,370.0,308.0,1843869.0
2021-06-24,370.0,370.0,370.0,370.0,286.0,532350.0
2021-06-25,370.0,370.0,370.0,370.0,384.0,458429.0
