Date,CLOSE,HIGH,LOW,OPEN,COUNT,VOLUME
2006-03-23,107.0,107.0,107.0,107.0,0.0,16966.0
2006-03-24,107.0,107.0,107.0,107.0,0.0,6000.0
2006-03-27,106.5,106.5,106.5,106.5,0.0,1.0
2006-03-28,106.5,106.5,106.5,106.5,0.0,8200.0
2006-03-29,106.5,106.5,106.5,106.5,0.0,7240.0
2006-03-30,106.5,106.5,106.5,106.5,0.0,12820.0
2006-03-31,106.5,106.5,106.5,106.5,0.0,13200.0
2006-04-03,106.5,106.5,106.5,106.5,0.0,1800.0
2006-04-04,106.5,106.5,106.5,106.5,0.0,4400.0
2006-04-05,106.5,106.5,106.5,106.5,0.0,5895.0
2006-04-06,106.5,106.5,106.5,106.5,0.0,7680.0
2006-04-07,106.5,106.5,106.5,106.5,0.0,8825.0
2006-04-10,106.5,106.5,106.5,106.5,0.0,2095.0
2006-04-11,106.5,106.5,106.5,106.5,0.0,6700.0
2006-04-12,110.5,110.5,110.5,110.5,0.0,1.0
2006-04-13,110.5,110.5,110.5,110.5,0.0,4000.0
2006-04-14,110.5,110.5,110.5,110.5,0.0,0.0
2006-04-17,110.5,110.5,110.5,110.5,0.0,0.0
2006-04-18,110.5,110.5,110.5,110.5,0.0,10858.0
2006-04-19,110.5,110.5,110.5,110.5,0.0,6750.0
2006-04-20,112.5,112.5,112.5,112.5,0.0,1.0
2006-04-21,112.5,112.5,112.5,112.5,0.0,13450.0
2006-04-24,112.5,112.5,112.5,112.5,0.0,5451.0
2006-04-25,112.5,112.5,112.5,112.5,0.0,7670.0
2006-04-26,113.5,113.5,113.5,113.5,0.0,1.0
2006-04-27,115.5,115.5,115.5,115.5,0.0,1.0
2006-04-28,115.5,115.5,115.5,115.5,0.0,0.0
2006-05-01,115.5,115.5,115.5,115.5,0.0,0.0
2006-05-02,115.5,115.5,115.5,115.5,0.0,0.0
2006-05-03,115.5,115.5,115.5,115.5,0.0,0.0
2006-05-04,115.5,115.5,115.5,115.5,0.0,9600.0
2006-05-05,115.5,115.5,115.5,115.5,0.0,0.0
2006-05-08,115.5,115.5,115.5,115.5,0.0,0.0
2006-05-09,115.5,115.5,115.5,115.5,0.0,8300.0
2006-05-10,115.5,115.5,115.5,115.5,0.0,2950.0
2006-05-11,115.5,115.5,115.5,115.5,0.0,6700.0
2006-05-12,116.5,116.5,116.5,116.5,0.0,1.0
2006-05-15,116.5,116.5,116.5,116.5,0.0,12600.0
2006-05-16,116.5,116.5,116.5,116.5,0.0,14030.0
2006-05-17,114.5,114.5,114.5,114.5,0.0,1.0
2006-05-18,114.5,114.5,114.5,114.5,0.0,0.0
2006-05-19,114.5,114.5,114.5,114.5,0.0,5600.0
2006-05-22,113.5,113.5,113.5,113.5,0.0,1.0
2006-05-23,113.5,113.5,113.5,113.5,0.0,25100.0
2006-05-24,113.5,113.5,113.5,113.5,0.0,10200.0
2006-05-25,114.5,114.5,114.5,114.5,0.0,1.0
2006-05-26,114.5,114.5,114.5,114.5,0.0,0.0
2006-05-29,114.5,114.5,114.5,114.5,0.0,0.0
2006-05-30,115.5,115.5,115.5,115.5,0.0,1.0
2006-05-31,115.5,115.5,115.5,115.5,0.0,0.0
2006-06-01,115.5,115.5,115.5,115.5,0.0,1275.0
2006-06-02,114.5,114.5,114.5,114.5,0.0,1.0
2006-06-05,114.5,114.5,114.5,114.5,0.0,5150.0
2006-06-06,114.5,114.5,114.5,114.5,0.0,2150.0
2006-06-07,114.5,114.5,114.5,114.5,0.0,7600.0
2006-06-08,114.5,114.5,114.5,114.5,0.0,5350.0
2006-06-09,114.5,114.5,114.5,114.5,0.0,5800.0
2006-06-12,112.5,112.5,112.5,112.5,0.0,1.0
2006-06-13,112.5,112.5,112.5,112.5,0.0,1740.0
2006-06-14,112.5,112.5,112.5,112.5,0.0,1000.0
2006-06-15,112.5,112.5,112.5,112.5,0.0,0.0
2006-06-16,101.5,101.5,101.5,101.5,0.0,1.0
2006-06-19,103.5,103.5,103.5,103.5,0.0,1.0
2006-06-20,103.5,103.5,103.5,103.5,0.0,1000.0
2006-06-21,103.5,103.5,103.5,103.5,0.0,9225.0
2006-06-22,103.5,103.5,103.5,103.5,0.0,0.0
2006-06-23,107.5,107.5,107.5,107.5,0.0,1.0
2006-06-26,106.5,106.5,106.5,106.5,0.0,1.0
2006-06-27,106.5,106.5,106.5,106.5,0.0,3280.0
2006-06-28,108.5,108.5,108.5,108.5,0.0,1.0
2006-06-29,108.5,108.5,108.5,108.5,0.0,5100.0
2006-06-30,108.5,108.5,108.5,108.5,0.0,0.0
2006-07-03,108.5,108.5,108.5,108.5,0.0,6800.0
