Date,CLOSE,HIGH,LOW,OPEN,COUNT,VOLUME
2021-01-13,14.0,14.0,14.0,14.0,49.0,536833.0
2021-01-14,14.0,14.0,14.0,14.0,47.0,827960.0
2021-01-15,14.0,14.0,14.0,14.0,26.0,545917.0
2021-01-18,14.0,14.0,14.0,14.0,16.0,88774.0
2021-01-19,14.0,14.0,14.0,14.0,22.0,343845.0
2021-01-20,14.0,14.0,14.0,14.0,27.0,138922.0
2021-01-21,14.0,14.0,14.0,14.0,60.0,432284.0
2021-01-22,14.0,14.0,14.0,14.0,39.0,141401.0
2021-01-25,14.0,14.0,14.0,14.0,367.0,3425110.0
2021-01-26,14.0,14.0,14.0,14.0,184.0,2282285.0
2021-01-27,14.0,14.0,14.0,14.0,161.0,1314901.0
2021-01-28,14.0,14.0,14.0,14.0,91.0,704300.0
2021-01-29,14.0,14.0,14.0,14.0,100.0,292874.0
2021-02-01,14.0,14.0,14.0,14.0,221.0,452712.0
2021-02-02,14.0,14.0,14.0,14.0,135.0,192197.0
2021-02-03,14.0,14.0,14.0,14.0,120.0,121172.0
2021-02-04,14.0,14.0,14.0,14.0,111.0,230879.0
2021-02-05,14.0,14.0,14.0,14.0,207.0,735126.0
2021-02-08,14.0,14.0,14.0,14.0,200.0,1237598.0
2021-02-09,14.0,14.0,14.0,14.0,160.0,911794.0
2021-02-10,14.0,14.0,14.0,14.0,321.0,629756.0
2021-02-11,14.0,14.0,14.0,14.0,227.0,402706.0
2021-02-12,14.0,14.0,14.0,14.0,130.0,239905.0
2021-02-15,14.0,14.0,14.0,14.0,215.0,403889.0
2021-02-16,14.0,14.0,14.0,14.0,207.0,315395.0
2021-02-17,14.0,14.0,14.0,14.0,218.0,237299.0
2021-02-18,14.0,14.0,14.0,14.0,140.0,137257.0
2021-02-19,14.0,14.0,14.0,14.0,117.0,136961.0
2021-02-22,14.0,14.0,14.0,14.0,159.0,152223.0
2021-02-23,14.0,14.0,14.0,14.0,122.0,145839.0
2021-02-24,14.0,14.0,14.0,14.0,85.0,69832.0
