Date,CLOSE,HIGH,LOW,OPEN,COUNT,VOLUME
2013-05-21,49.0,49.0,49.0,49.0,4.0,37000.0
2013-05-22,49.0,49.0,49.0,49.0,54.0,182750.0
2013-05-23,49.0,49.0,49.0,49.0,34.0,95174.0
2013-05-24,49.0,49.0,49.0,49.0,21.0,64896.0
2013-05-28,49.0,49.0,49.0,49.0,11.0,49531.0
2013-05-29,49.0,49.0,49.0,49.0,9.0,30304.0
2013-05-30,49.0,49.0,49.0,49.0,3.0,12408.0
2013-05-31,49.0,49.0,49.0,49.0,20.0,64491.0
2013-06-03,49.0,49.0,49.0,49.0,19.0,94337.0
2013-06-04,49.0,49.0,49.0,49.0,17.0,66137.0
2013-06-05,49.0,49.0,49.0,49.0,20.0,56364.0
2013-06-06,49.0,49.0,49.0,49.0,2.0,6000.0
2013-06-07,49.0,49.0,49.0,49.0,3.0,20874.0
2013-06-10,49.0,49.0,49.0,49.0,8.0,45609.0
2013-06-11,49.0,49.0,49.0,49.0,1.0,3000.0
2013-06-12,49.0,49.0,49.0,49.0,4.0,16818.0
2013-06-13,49.0,49.0,49.0,49.0,9.0,7274.0
2013-06-14,49.0,49.0,49.0,49.0,3.0,9036.0
2013-06-17,49.0,49.0,49.0,49.0,9.0,30116.0
2013-06-18,49.0,49.0,49.0,49.0,7.0,14469.0
2013-06-19,49.0,49.0,49.0,49.0,3.0,3800.0
2013-06-20,49.0,49.0,49.0,49.0,1.0,5827.0
2013-06-21,49.0,49.0,49.0,49.0,2.0,14298.0
2013-06-24,49.0,49.0,49.0,49.0,8.0,23270.0
2013-06-25,49.0,49.0,49.0,49.0,3.0,24000.0
2013-06-26,49.0,49.0,49.0,49.0,2.0,4000.0
2013-06-27,49.0,49.0,49.0,49.0,6.0,42245.0
2013-06-28,49.0,49.0,49.0,49.0,4.0,9438.0
2013-07-01,49.0,49.0,49.0,49.0,6.0,36000.0
2013-07-02,49.0,49.0,49.0,49.0,9.0,38473.0
2013-07-03,49.0,49.0,49.0,49.0,2.0,2550.0
2013-07-04,49.0,49.0,49.0,49.0,1.0,3000.0
2013-07-05,49.0,49.0,49.0,49.0,1.0,500.0
2013-07-08,49.0,49.0,49.0,49.0,11.0,32531.0
2013-07-09,49.0,49.0,49.0,49.0,15.0,29482.0
2013-07-10,49.0,49.0,49.0,49.0,3.0,5362.0
2013-07-11,72.5,72.5,72.5,72.5,0.0,0.0
2013-07-12,72.5,72.5,72.5,72.5,1.0,4812.0
2013-07-15,72.5,72.5,72.5,72.5,4.0,9700.0
2013-07-16,72.5,72.5,72.5,72.5,3.0,31437.0
2013-07-17,72.5,72.5,72.5,72.5,1.0,385.0
2013-07-18,72.5,72.5,72.5,72.5,0.0,0.0
2013-07-19,72.5,72.5,72.5,72.5,0.0,0.0
2013-07-22,72.5,72.5,72.5,72.5,0.0,0.0
2013-07-23,72.5,72.5,72.5,72.5,1.0,1529.0
2013-07-24,72.5,72.5,72.5,72.5,1.0,25.0
2013-07-25,72.5,72.5,72.5,72.5,3.0,31154.0
2013-07-26,72.5,72.5,72.5,72.5,2.0,10200.0
2013-07-29,72.5,72.5,72.5,72.5,1.0,1072.0
2013-07-30,72.5,72.5,72.5,72.5,3.0,4925.0
2013-07-31,73.0,73.0,73.0,73.0,0.0,0.0
2013-08-01,73.0,73.0,73.0,73.0,2.0,16000.0
2013-08-02,73.0,73.0,73.0,73.0,3.0,15061.0
2013-08-05,73.0,73.0,73.0,73.0,2.0,80000.0
2013-08-06,73.0,73.0,73.0,73.0,0.0,0.0
2013-08-07,73.0,73.0,73.0,73.0,1.0,2500.0
2013-08-08,73.0,73.0,73.0,73.0,1.0,3980.0
2013-08-09,73.0,73.0,73.0,73.0,1.0,1351.0
2013-08-12,73.0,73.0,73.0,73.0,2.0,20430.0
2013-08-13,73.0,73.0,73.0,73.0,2.0,2670.0
2013-08-14,73.0,73.0,73.0,73.0,1.0,1874.0
2013-08-15,73.0,73.0,73.0,73.0,0.0,0.0
2013-08-16,73.0,73.0,73.0,73.0,3.0,17002.0
2013-08-19,73.0,73.0,73.0,73.0,9.0,49349.0
2013-08-20,73.0,73.0,73.0,73.0,1.0,1192.0
2013-08-21,73.0,73.0,73.0,73.0,1.0,176.0
2013-08-22,73.0,73.0,73.0,73.0,5.0,12390.0
2013-08-23,73.0,73.0,73.0,73.0,5.0,8926.0
2013-08-27,73.0,73.0,73.0,73.0,13.0,42154.0
2013-08-28,73.0,73.0,73.0,73.0,7.0,14875.0
2013-08-29,95.5,95.5,95.5,95.5,0.0,0.0
2013-08-30,95.5,95.5,95.5,95.5,4.0,30000.0
2013-09-02,95.5,95.5,95.5,95.5,9.0,24505.0
2013-09-03,92.5,92.5,92.5,92.5,0.0,0.0
2013-09-04,92.5,92.5,92.5,92.5,1.0,1371.0
2013-09-05,92.5,92.5,92.5,92.5,1.0,1000.0
2013-09-06,92.5,92.5,92.5,92.5,3.0,7750.0
2013-09-09,92.5,92.5,92.5,92.5,1.0,1000.0
2013-09-10,92.5,92.5,92.5,92.5,7.0,29003.0
2013-09-11,92.5,92.5,92.5,92.5,1.0,1000.0
2013-09-12,92.5,92.5,92.5,92.5,4.0,8112.0
2013-09-13,92.5,92.5,92.5,92.5,3.0,3161.0
2013-09-16,92.5,92.5,92.5,92.5,3.0,3385.0
2013-09-17,92.5,92.5,92.5,92.5,1.0,500.0
2013-09-18,93.5,93.5,93.5,93.5,0.0,0.0
2013-09-19,93.5,93.5,93.5,93.5,4.0,6120.0
2013-09-20,93.5,93.5,93.5,93.5,13.0,38404.0
2013-09-23,93.5,93.5,93.5,93.5,4.0,19900.0
2013-09-24,93.5,93.5,93.5,93.5,8.0,21759.0
2013-09-25,93.5,93.5,93.5,93.5,5.0,10617.0
2013-09-26,93.5,93.5,93.5,93.5,3.0,7000.0
2013-09-27,93.5,93.5,93.5,93.5,4.0,12722.0
2013-09-30,93.5,93.5,93.5,93.5,2.0,4705.0
2013-10-01,93.5,93.5,93.5,93.5,3.0,18844.0
2013-10-02,93.5,93.5,93.5,93.5,2.0,2592.0
2013-10-03,93.5,93.5,93.5,93.5,1.0,2067.0
2013-10-04,93.5,93.5,93.5,93.5,1.0,3400.0
2013-10-07,93.5,93.5,93.5,93.5,1.0,1053.0
2013-10-08,93.5,93.5,93.5,93.5,4.0,11708.0
2013-10-09,97.5,97.5,97.5,97.5,0.0,0.0
