Date,CLOSE,HIGH,LOW,OPEN,COUNT,VOLUME
2010-11-18,162.0,162.0,162.0,162.0,137.0,8492272.0
2010-11-19,162.0,162.0,162.0,162.0,68.0,1361679.0
2010-11-22,162.0,162.0,162.0,162.0,60.0,413460.0
2010-11-23,162.0,162.0,162.0,162.0,13.0,567913.0
2010-11-24,162.0,162.0,162.0,162.0,24.0,417332.0
2010-11-25,162.0,162.0,162.0,162.0,17.0,55840.0
2010-11-26,162.0,162.0,162.0,162.0,23.0,155048.0
2010-11-29,162.0,162.0,162.0,162.0,43.0,231835.0
2010-11-30,162.0,162.0,162.0,162.0,13.0,50816.0
2010-12-01,162.0,162.0,162.0,162.0,11.0,1157682.0
2010-12-02,162.0,162.0,162.0,162.0,12.0,498916.0
2010-12-03,162.0,162.0,162.0,162.0,22.0,224798.0
2010-12-06,162.0,162.0,162.0,162.0,144.0,499876.0
2010-12-07,162.0,162.0,162.0,162.0,110.0,617739.0
2010-12-08,162.0,162.0,162.0,162.0,35.0,660923.0
2010-12-09,162.0,162.0,162.0,162.0,18.0,141906.0
2010-12-10,162.0,162.0,162.0,162.0,17.0,46976.0
2010-12-13,162.0,162.0,162.0,162.0,32.0,375991.0
2010-12-14,162.0,162.0,162.0,162.0,32.0,197287.0
2010-12-15,162.0,162.0,162.0,162.0,30.0,172638.0
2010-12-16,162.0,162.0,162.0,162.0,16.0,25769.0
2010-12-17,162.0,162.0,162.0,162.0,22.0,82475.0
2010-12-20,162.0,162.0,162.0,162.0,4.0,25210.0
2010-12-21,162.0,162.0,162.0,162.0,6.0,6151.0
2010-12-22,162.0,162.0,162.0,162.0,12.0,5515606.0
2010-12-23,162.0,162.0,162.0,162.0,17.0,58259.0
2010-12-24,162.0,162.0,162.0,162.0,3.0,2969.0
2010-12-29,162.0,162.0,162.0,162.0,22.0,38890.0
2010-12-30,162.0,162.0,162.0,162.0,46.0,299284.0
2010-12-31,162.0,162.0,162.0,162.0,28.0,161733.0
2011-01-04,162.0,162.0,162.0,162.0,34.0,326079.0
2011-01-05,162.0,162.0,162.0,162.0,22.0,151649.0
2011-01-06,162.0,162.0,162.0,162.0,11.0,347851.0
2011-01-07,162.0,162.0,162.0,162.0,18.0,24063.0
2011-01-10,162.0,162.0,162.0,162.0,30.0,256777.0
2011-01-11,162.0,162.0,162.0,162.0,50.0,291678.0
2011-01-12,162.0,162.0,162.0,162.0,37.0,196172.0
2011-01-13,162.0,162.0,162.0,162.0,10.0,34204.0
2011-01-14,162.0,162.0,162.0,162.0,20.0,67500.0
2011-01-17,162.0,162.0,162.0,162.0,34.0,240840.0
2011-01-18,162.0,162.0,162.0,162.0,9.0,29742.0
2011-01-19,162.0,162.0,162.0,162.0,34.0,240299.0
2011-01-20,162.0,162.0,162.0,162.0,13.0,194916.0
2011-01-21,162.0,162.0,162.0,162.0,37.0,233522.0
2011-01-24,162.0,162.0,162.0,162.0,24.0,128904.0
2011-01-25,162.0,162.0,162.0,162.0,43.0,312623.0
2011-01-26,162.0,162.0,162.0,162.0,32.0,2739879.0
2011-01-27,162.0,162.0,162.0,162.0,44.0,444390.0
2011-01-28,162.0,162.0,162.0,162.0,10.0,18262.0
2011-01-31,162.0,162.0,162.0,162.0,231.0,425043.0
2011-02-01,162.0,162.0,162.0,162.0,22.0,50368.0
2011-02-02,187.5,187.5,187.5,187.5,0.0,0.0
2011-02-03,187.5,187.5,187.5,187.5,8.0,11397.0
2011-02-04,187.5,187.5,187.5,187.5,17.0,81062.0
2011-02-07,187.5,187.5,187.5,187.5,32.0,77443.0
2011-02-08,187.5,187.5,187.5,187.5,68.0,415251.0
2011-02-09,187.5,187.5,187.5,187.5,107.0,3367149.0
2011-02-10,187.5,187.5,187.5,187.5,24.0,83554.0
2011-02-11,187.5,187.5,187.5,187.5,5.0,23700.0
2011-02-14,187.5,187.5,187.5,187.5,25.0,327539.0
2011-02-15,194.0,194.0,186.0,186.0,5.0,202140.0
2011-02-16,194.0,194.0,194.0,194.0,18.0,303246.0
2011-02-17,194.0,194.0,194.0,194.0,12.0,136813.0
2011-02-18,194.0,194.0,194.0,194.0,20.0,937135.0
2011-02-21,194.0,194.0,194.0,194.0,8.0,20974.0
2011-02-22,194.0,194.0,194.0,194.0,14.0,61860.0
2011-02-23,194.0,194.0,194.0,194.0,10.0,322601.0
2011-02-24,194.0,194.0,194.0,194.0,19.0,107295.0
2011-02-25,194.0,194.0,194.0,194.0,3.0,10200.0
2011-02-28,194.0,194.0,194.0,194.0,13.0,26520.0
2011-03-01,194.0,194.0,194.0,194.0,30.0,118853.0
2011-03-02,194.0,194.0,194.0,194.0,38.0,252451.0
2011-03-03,194.0,194.0,194.0,194.0,9.0,118639.0
2011-03-04,194.0,194.0,194.0,194.0,15.0,26572.0
2011-03-07,194.0,194.0,194.0,194.0,4.0,18500.0
2011-03-08,194.0,194.0,194.0,194.0,7.0,16060.0
2011-03-09,194.0,194.0,194.0,194.0,32.0,72052.0
2011-03-10,194.0,194.0,194.0,194.0,19.0,49331.0
2011-03-11,194.0,194.0,194.0,194.0,75.0,232793.0
2011-03-14,194.0,194.0,194.0,194.0,10.0,22671.0
2011-03-15,194.0,194.0,194.0,194.0,73.0,215200.0
2011-03-16,194.0,194.0,194.0,194.0,17.0,43062.0
2011-03-17,194.0,194.0,194.0,194.0,7.0,2547.0
2011-03-18,194.0,194.0,194.0,194.0,12.0,7502.0
2011-03-19,194.0,194.0,194.0,194.0,0.0,0.0
2011-03-21,194.0,194.0,194.0,194.0,5.0,21468.0
2011-03-22,194.0,194.0,194.0,194.0,7.0,14372.0
2011-03-23,194.0,194.0,194.0,194.0,2.0,2372.0
2011-03-24,194.0,194.0,194.0,194.0,28.0,103799.0
2011-03-25,194.0,194.0,194.0,194.0,13.0,29809.0
2011-03-28,194.0,194.0,194.0,194.0,9.0,25651.0
2011-03-29,194.0,194.0,194.0,194.0,16.0,63491.0
2011-03-30,194.0,194.0,194.0,194.0,3.0,3200.0
2011-03-31,194.0,194.0,194.0,194.0,39.0,966324.0
2011-04-01,194.0,194.0,194.0,194.0,8.0,2467226.0
2011-04-04,194.0,194.0,194.0,194.0,19.0,221410.0
2011-04-05,194.0,194.0,194.0,194.0,7.0,44910.0
2011-04-06,194.0,194.0,194.0,194.0,23.0,629377.0
2011-04-07,194.0,194.0,194.0,194.0,12.0,578326.0
2011-04-08,194.0,194.0,194.0,194.0,3.0,3850.0
2011-04-11,194.0,194.0,194.0,194.0,5.0,1800.0
2011-04-12,194.0,194.0,194.0,194.0,19.0,45720.0
2011-04-13,194.0,194.0,194.0,194.0,4.0,12485.0
2011-04-14,194.0,194.0,194.0,194.0,43.0,243671.0
2011-04-15,194.0,194.0,194.0,194.0,4.0,8300.0
2011-04-18,194.0,194.0,194.0,194.0,7.0,25779.0
2011-04-19,194.0,194.0,194.0,194.0,13.0,25000.0
2011-04-20,194.0,194.0,194.0,194.0,5.0,10914.0
2011-04-21,194.0,194.0,194.0,194.0,10.0,35972.0
2011-04-26,194.0,194.0,194.0,194.0,3.0,6200.0
2011-04-27,194.0,194.0,194.0,194.0,12.0,79400.0
2011-04-28,194.0,194.0,194.0,194.0,4.0,32314.0
2011-05-03,194.0,194.0,194.0,194.0,11.0,52283.0
2011-05-04,194.0,194.0,194.0,194.0,2.0,400.0
2011-05-05,194.0,194.0,194.0,194.0,10.0,42510.0
2011-05-06,194.0,194.0,194.0,194.0,2.0,13000.0
2011-05-09,194.0,194.0,194.0,194.0,3.0,2200.0
2011-05-10,194.0,194.0,194.0,194.0,28.0,95412.0
2011-05-11,194.0,194.0,194.0,194.0,97.0,371998.0
2011-05-12,194.0,194.0,194.0,194.0,15.0,142727.0
2011-05-13,194.0,194.0,194.0,194.0,9.0,38462.0
2011-05-16,194.0,194.0,194.0,194.0,1.0,10.0
2011-05-17,194.0,194.0,194.0,194.0,53.0,560886.0
2011-05-18,194.0,194.0,194.0,194.0,24.0,90800.0
2011-05-19,194.0,194.0,194.0,194.0,70.0,307774.0
2011-05-20,194.0,194.0,194.0,194.0,34.0,42814.0
2011-05-23,194.0,194.0,194.0,194.0,27.0,49568.0
2011-05-24,194.0,194.0,194.0,194.0,66.0,287374.0
2011-05-25,194.0,194.0,194.0,194.0,89.0,462691.0
